baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.27236301318060935,-0.2774127678084066,-0.26548604436416007,0.00048828125,12,-39.078672677166665
decay_hl1,12,-0.13654454257072388,-0.13826143789295833,-0.13454441852869006,0.00048828125,12,-24.333318967025363
decay_hl3,12,-0.09467207771685715,-0.0959776081248093,-0.09319768106949271,0.00048828125,12,-18.231769624792832
rolling_14,12,-0.07918416723907935,-0.0819474658758464,-0.07670190383495687,0.00048828125,12,-15.717945681379113
decay_hl7,12,-0.06367756081854398,-0.06479763006130022,-0.06247637591413672,0.00048828125,12,-13.041323230051095
rolling_7,12,-0.05175153589595224,-0.053512613241186835,-0.050090515466293936,0.00048828125,12,-10.864199449069575
rolling_3,12,-0.04209147838721875,-0.0431560830719748,-0.040871546628493106,0.00048828125,12,-9.019166572394205
amgtp_fixed_beta0,12,-0.018335946566955807,-0.025588614467530104,-0.012151886832341119,0.00048828125,12,-4.13965948784957
m5b_smooth0,12,-0.018335946566955807,-0.025588614467530104,-0.012151886832341119,0.00048828125,12,-4.13965948784957
m5b_smooth0.001,12,-0.018164225729430414,-0.022974882649442,-0.013499553232226744,0.00048828125,12,-4.1024810058091
m5b_smooth0.01,12,-0.017480660203703688,-0.022976011233318196,-0.012251580745273806,0.00048828125,12,-3.954199078236249
han_arw,12,-0.016588541080143567,-0.018689451374295486,-0.014486049247526308,0.00048828125,12,-3.759985661950823
diff_forgetting,12,-0.014353017156116804,-0.015673468099786314,-0.01306976250928294,0.00048828125,12,-3.269846736819931
validation_selected(h=expanding),12,-0.009906675137485698,-0.011268520359997944,-0.008570333257735081,0.00048828125,12,-2.279994101291304
expanding,12,-0.009906675137485698,-0.011268520359997944,-0.008570333257735081,0.00048828125,12,-2.279994101291304
uniform5,12,-0.009639710957972128,-0.010455183957847662,-0.00873983022783206,0.00048828125,12,-2.219916968678325
amgtp_uniform_q,12,-0.009639710923185307,-0.010455183931580892,-0.00873983017519577,0.00048828125,12,-2.21991696084515
adamoe,12,-0.008481796564181803,-0.009289912448760118,-0.007591500825141176,0.00048828125,12,-1.958484703162148
m2_context_gate,12,-0.0076821669239333186,-0.00876222762691562,-0.006538707651576236,0.00048828125,12,-1.7771279027760878
amgtp_no_state,12,-0.002300646379433696,-0.003541440580537661,-0.0011591955855202838,0.0068359375,11,-0.5389213050715976
amgtp_hidden8,12,-0.001958534992122271,-0.0041335881308805075,-7.348834504987485e-05,0.17626953125,7,-0.45915043015522555
amgtp_fixed_beta_hi,12,-0.001213968565015447,-0.002790310785308366,0.00033981336468643687,0.20361328125,8,-0.2850951553891306
learn_alpha,12,-0.0004610825102107548,-0.0014099307377964452,0.0004923428158661164,0.33935546875,7,-0.1084749876760913
amgtp_global_q,12,-0.0004485228457922948,-0.0015536358342738395,0.0007085344100726061,0.4697265625,7,-0.10552329952164591
fixed_share,12,-0.00030087434934180274,-0.001254155847814953,0.0006546521713476003,0.67724609375,6,-0.07081085604835997
amgtp_hidden16,12,-1.3270700278895467e-05,-0.0017239966711683644,0.0016773303818649033,0.9697265625,6,-0.00312537824125257
ensemble3,12,0.0019762812062111327,-6.51664931423386e-05,0.00402373004492096,0.1513671875,4,0.467624429395723
m5b_smooth0.3,12,0.004607852941265478,0.0035726372800549276,0.00570658481655049,0.00048828125,0,1.0971342486867246
m5b_smooth0.1,12,0.005974676422452659,0.004766422838043428,0.0072599889530996,0.00048828125,0,1.4272210200819249
m1_global_mix,12,0.008466989317323143,0.007549808567612301,0.009409290196086153,0.00048828125,0,2.034694434852469
