baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.49608143969589413,-0.5033640195527069,-0.486748735233113,0.00048828125,12,-51.82177623534836
decay_hl1,12,-0.12932515050178028,-0.13119256364242618,-0.12731200257755068,0.00048828125,12,-21.89993868590634
rolling_3,12,-0.12441853451957481,-0.1265227502782821,-0.12246247386200129,0.00048828125,12,-21.245578417755937
decay_hl3,12,-0.09014834077219863,-0.09144302959422455,-0.08874403679722931,0.00048828125,12,-16.35045530376669
expanding,12,-0.057813187551022945,-0.059844995692233546,-0.05601968365843759,0.00048828125,12,-11.139010004627119
decay_hl7,12,-0.05671115707901103,-0.05748851837186435,-0.05586395495342709,0.00048828125,12,-10.949929152186291
rolling_7,12,-0.0487595719894233,-0.04995159957083012,-0.04758431224826681,0.00048828125,12,-9.561415130550351
uniform5,12,-0.042768759565701565,-0.04377643136575412,-0.04169926933575952,0.00048828125,12,-8.486352221624617
amgtp_uniform_q,12,-0.04276875951990392,-0.04377643134019729,-0.041699269298035614,0.00048828125,12,-8.486352213308447
m1_global_mix,12,-0.040682113939133256,-0.042055689826203266,-0.039495356933760925,0.00048828125,12,-8.105873079398144
adamoe,12,-0.040481761486637804,-0.04145341335359012,-0.03947361004779723,0.00048828125,12,-8.069174258450943
diff_forgetting,12,-0.030108837923404103,-0.030856687705570738,-0.02937390637105749,0.00048828125,12,-6.1282627936453675
han_arw,12,-0.027296885119934663,-0.02830191990494624,-0.026344575105878308,0.00048828125,12,-5.587907967315421
validation_selected(h=rolling_14),12,-0.027296885119934663,-0.02830191990494624,-0.026344575105878308,0.00048828125,12,-5.587907967315421
rolling_14,12,-0.027296885119934663,-0.02830191990494624,-0.026344575105878308,0.00048828125,12,-5.587907967315421
m2_context_gate,12,-0.02665808287491965,-0.027536841584350442,-0.025834098602108377,0.00048828125,12,-5.464285189271455
amgtp_global_q,12,-0.02310308828875865,-0.024059326581135423,-0.02216474337387921,0.00048828125,12,-4.770355368196649
amgtp_fixed_beta_hi,12,-0.019948627087930156,-0.02066779157552317,-0.01922324600562218,0.00048828125,12,-4.14602275314908
m5b_smooth0.3,12,-0.016232745407259094,-0.017122879732796074,-0.015433856634505362,0.00048828125,12,-3.3999903067071195
m5b_smooth0.1,12,-0.005877914394731408,-0.006415551212071229,-0.005290804698962377,0.00048828125,12,-1.2584378787210435
amgtp_no_state,12,-0.0016481235338791922,-0.0017812813357368925,-0.001504991164877834,0.00048828125,12,-0.35608123815946785
ensemble3,12,0.0012409970637163638,0.001149997925579741,0.0013309967378059332,0.00048828125,0,0.26980466497485883
m5b_smooth0.01,12,0.002026518375328625,0.001830651417838595,0.0022387138197562224,0.00048828125,0,0.4413382495151176
amgtp_fixed_beta0,12,0.002245843103710755,0.0021340666182864815,0.002387391379128125,0.00048828125,0,0.48933685308110436
m5b_smooth0,12,0.002245843103710755,0.0021340666182864815,0.002387391379128125,0.00048828125,0,0.48933685308110436
m5b_smooth0.001,12,0.002300488831288037,0.002211014882289993,0.0023868630687250273,0.00048828125,0,0.5013030574896816
