baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.46429824270003817,-0.4695085208325858,-0.4593476065035904,0.00048828125,12,-48.47015697606243
expanding,12,-0.11743537470113442,-0.12059472209183476,-0.11448912569765737,0.00048828125,12,-19.218854967789373
decay_hl1,12,-0.09464857125142319,-0.0958273662494892,-0.09356009585238191,0.00048828125,12,-16.089698652033306
rolling_3,12,-0.09264969212757955,-0.09370336070541394,-0.09169595312514212,0.00048828125,12,-15.803601261888609
decay_hl3,12,-0.05737061827013055,-0.058316354444488606,-0.05648770155813528,0.00048828125,12,-10.412510741862647
m1_global_mix,12,-0.04255053199830725,-0.04350449396035587,-0.041574038612424244,0.00048828125,12,-7.936197543517862
m2_context_gate,12,-0.04176301987598139,-0.04260543790882609,-0.04087207031423039,0.00048828125,12,-7.800774679321969
decay_hl7,12,-0.030998390921156613,-0.03179947194541723,-0.030154834999547173,0.00048828125,12,-5.908895177658692
diff_forgetting,12,-0.02288652100627103,-0.023731379192713162,-0.021973936254700455,0.00048828125,12,-4.431132990008605
uniform5,12,-0.02189705813173908,-0.02272143594731834,-0.02104630723975548,0.00048828125,12,-4.247697343506789
amgtp_uniform_q,12,-0.021897057747534424,-0.02272143562529902,-0.021046306884018484,0.00048828125,12,-4.247697272142713
adamoe,12,-0.020192756517680464,-0.02099031718754961,-0.0193501242931057,0.00048828125,12,-3.9300818572870733
rolling_7,12,-0.016989702066806323,-0.017617950618041753,-0.016320478771309113,0.00048828125,12,-3.3274201219975903
m5b_smooth0.3,12,-0.008552548366938958,-0.010626383230888539,-0.006560871867377209,0.00048828125,12,-1.703153113293114
amgtp_fixed_beta_hi,12,-0.004465054104845934,-0.0053236731824149505,-0.00352470389234983,0.00048828125,12,-0.896467250584428
m5b_smooth0.1,12,-0.0030081068957987464,-0.004088637755836074,-0.001971790587728379,0.00048828125,12,-0.6057218167005377
rolling_14,12,-0.001098147000332834,-0.001720973731051631,-0.0003576450337491629,0.01611328125,11,-0.2219800412656486
validation_selected(h=rolling_14),12,-0.001098147000332834,-0.001720973731051631,-0.0003576450337491629,0.01611328125,11,-0.2219800412656486
han_arw,12,-0.001098147000332834,-0.001720973731051631,-0.0003576450337491629,0.01611328125,11,-0.2219800412656486
fixed_share,12,-0.0006687107785630688,-0.001276538403792679,5.289441239597902e-05,0.06396484375,9,-0.1352910075305212
amgtp_global_q,12,-0.00039673192455167333,-0.001148483526321004,0.000553224437766636,0.1513671875,8,-0.08030947671881039
learn_alpha,12,-0.00034133371412031766,-0.0009456983121667854,0.0003816254823659735,0.20361328125,9,-0.06910310128518074
amgtp_no_state,12,-8.348594817275216e-05,-0.0008922536211174888,0.000916325309455104,0.423828125,8,-0.016910579982012845
amgtp_hidden8,12,6.217762550289607e-05,-0.0006984972440393849,0.0010325020954774573,0.5693359375,8,0.012598168401462058
ensemble3,12,0.00033364759720358,-0.0005821525218253399,0.0013024348580674293,0.67724609375,7,0.06763947430987957
amgtp_hidden16,12,0.000456356284381898,-0.00029930865447813784,0.001414833355780039,0.5693359375,6,0.0925388946762397
amgtp_fixed_beta0,12,0.001372730207099428,0.0006000746696130177,0.00210429576024214,0.00927734375,2,0.27887733560594097
m5b_smooth0,12,0.001372730207099428,0.0006000746696130177,0.00210429576024214,0.00927734375,2,0.27887733560594097
m5b_smooth0.001,12,0.0015055296303800915,0.0006591421255408311,0.0024235912221725617,0.00927734375,2,0.30593877331614144
m5b_smooth0.01,12,0.002008874948331537,0.001429395961327918,0.002716229023747356,0.00048828125,0,0.4086415862197943
