baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.2679006735031363,-0.28281759619739827,-0.25235336413561427,0.00048828125,12,-40.263313856639925
decay_hl1,12,-0.1708299296386363,-0.18826067615119751,-0.15398673576560104,0.00048828125,12,-30.0597675410554
expanding,12,-0.14854813260672234,-0.18383473307442208,-0.11661860230449758,0.00048828125,12,-27.20566581828036
decay_hl3,12,-0.11543995784078696,-0.12968063965965207,-0.10169601746245385,0.00048828125,12,-22.506823576941763
decay_hl7,12,-0.08840151543680803,-0.09854703195201224,-0.07817715637890114,0.00048828125,12,-18.194385959470317
diff_forgetting,12,-0.07763639521334036,-0.08938635057049377,-0.06551489231125927,0.00048828125,12,-16.34081067755746
m2_context_gate,12,-0.0325077640514913,-0.04519433175408007,-0.01982086466706785,0.0009765625,11,-7.560319013079738
rolling_14,12,-0.03234217996472991,-0.046950815948663537,-0.019081680312610934,0.00146484375,11,-7.524706933445638
rolling_3,12,-0.03185264671896547,-0.04204141607983234,-0.021662563454322423,0.00048828125,12,-7.419262628709031
m1_global_mix,12,-0.018902171471051235,-0.031380054668794656,-0.006369277986719936,0.02685546875,10,-4.539719195853851
uniform5,12,-0.014600150732418687,-0.026432801549998265,-0.0023228642271882027,0.06396484375,8,-3.5431142746006756
amgtp_uniform_q,12,-0.014600148964373888,-0.02643279934400818,-0.0023228629916203685,0.06396484375,8,-3.5431138607398474
adamoe,12,-0.011645930599829999,-0.02324954843393281,0.0004196077854639405,0.12939453125,8,-2.846602170883657
m5b_smooth0.01,12,-0.008019496919961724,-0.01688088222902615,-0.0006959303465253436,0.09228515625,9,-1.9777276055044422
m5b_smooth0.1,12,-0.004429989047686457,-0.010149194410458421,0.001381637934900071,0.20361328125,8,-1.102258886904167
m5b_smooth0,12,-0.0028452696920397563,-0.008297969379915853,0.001655948953238263,0.38037109375,6,-0.7107554986430025
amgtp_fixed_beta0,12,-0.0028452696920397563,-0.008297969379915853,0.001655948953238263,0.38037109375,6,-0.7107554986430025
ensemble3,12,-0.0025525981189875543,-0.009284758060033305,0.0034321670541569093,0.38037109375,8,-0.6381119305504608
m5b_smooth0.001,12,-0.002369756352862439,-0.006021780366098629,0.0009345374817028363,0.26611328125,7,-0.5926750806714796
amgtp_global_q,12,-0.0017391090159172469,-0.006139600907339277,0.002760520115253862,0.38037109375,8,-0.43563755109592867
m5b_smooth0.3,12,-0.0015481479925109805,-0.008677447195530805,0.005652792253770524,0.7333984375,6,-0.38798842440663395
rolling_7,12,-0.0012275985223195636,-0.007624136433746552,0.005710737304072981,0.4697265625,7,-0.3079014113513232
validation_selected(h=rolling_7),12,-0.0012275985223195636,-0.007624136433746552,0.005710737304072981,0.4697265625,7,-0.3079014113513232
amgtp_fixed_beta_hi,12,-0.0007106027470729359,-0.008226288398297171,0.0072051295697873165,0.791015625,6,-0.17846198671287064
amgtp_no_state,12,0.0014710556323097774,-0.001977750391305123,0.005418587644803544,0.791015625,6,0.3714787745038578
han_arw,12,0.005605802548239304,-0.00252913058868569,0.01471708868633822,0.38037109375,5,1.4305437177985025
