baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.3498420819506875,-0.35762241155978386,-0.33995474453834384,0.00048828125,12,-44.52266491372285
decay_hl1,12,-0.13032610127486663,-0.13230645932674234,-0.12806136766480655,0.00048828125,12,-23.015817982249455
decay_hl3,12,-0.08909087925093545,-0.09052118687389525,-0.08744600408940101,0.00048828125,12,-16.96934957305564
rolling_3,12,-0.08291726196699906,-0.0838431702778901,-0.0818906452659113,0.00048828125,12,-15.98137164674359
rolling_7,12,-0.061679235816645285,-0.0628410678166492,-0.060649593056276645,0.00048828125,12,-12.395371509283986
decay_hl7,12,-0.053705399079176895,-0.05456814525075597,-0.05277834484826044,0.00048828125,12,-10.968677868065352
uniform5,12,-0.015104149957713647,-0.015490528141878103,-0.014689625323378818,0.00048828125,12,-3.3488584258643552
amgtp_uniform_q,12,-0.015104149440999096,-0.015490527583080975,-0.014689624813639543,0.00048828125,12,-3.3488583151361704
rolling_14,12,-0.014982186452067961,-0.0154237655245371,-0.014554671667074928,0.00048828125,12,-3.322715460851569
adamoe,12,-0.01399234854922067,-0.014357362977718897,-0.01361126597015516,0.00048828125,12,-3.110018685023699
diff_forgetting,12,-0.0038249810631606576,-0.004169404042726516,-0.0034600617911521485,0.00048828125,12,-0.8698186223320237
amgtp_fixed_beta_hi,12,-0.00106626250761901,-0.0013952013822604496,-0.0007513360161033039,0.00048828125,12,-0.2440038392302214
han_arw,12,-5.029295462586255e-05,-0.0003839744122927688,0.0002958597467300611,0.7333984375,8,-0.011535875468493526
expanding,12,-5.029295462586255e-05,-0.0003839744122927688,0.0002958597467300611,0.7333984375,8,-0.011535875468493526
validation_selected(h=expanding),12,-5.029295462586255e-05,-0.0003839744122927688,0.0002958597467300611,0.7333984375,8,-0.011535875468493526
amgtp_global_q,12,1.5197094824665839e-05,-0.0001681584715785368,0.00021406191354547338,0.90966796875,7,0.0034863358780792145
amgtp_hidden16,12,0.0002379381521584086,-0.00015295301077158604,0.0006001581162892275,0.2333984375,4,0.05461283371892899
amgtp_fixed_beta0,12,0.0002751102667671035,-0.00013813821122164738,0.000754978956073036,0.2333984375,6,0.06315016365553885
m5b_smooth0,12,0.0002751102667671035,-0.00013813821122164738,0.000754978956073036,0.2333984375,6,0.06315016365553885
m5b_smooth0.3,12,0.000317298521053259,-0.0009054401817738178,0.0013934245718422236,0.5693359375,5,0.07284131705627532
m5b_smooth0.001,12,0.00034920964557511036,9.25438662148087e-05,0.0006197345680095036,0.0341796875,3,0.0801729362194551
amgtp_no_state,12,0.0004888230780556585,0.00017061876710437984,0.0007867471811934079,0.01611328125,2,0.1122619254057275
amgtp_hidden8,12,0.0006234315263724995,0.00035464686599352506,0.0008904673973337255,0.00244140625,1,0.14322005079540406
m1_global_mix,12,0.0011453503764996171,0.0008536589044762826,0.001450859665179623,0.00048828125,0,0.26343559520138354
m5b_smooth0.01,12,0.0016151768200396432,0.001265024148991049,0.0019408215038527105,0.00048828125,0,0.3718996144314438
m2_context_gate,12,0.0019289908534364103,0.0017198153537885882,0.0021389759599771286,0.00048828125,0,0.44447746119916864
ensemble3,12,0.002869218314824784,0.0025444297606768986,0.0032012925796115325,0.00048828125,0,0.6625597902544973
m5b_smooth0.1,12,0.003284472810965731,0.0027029978687607924,0.0037639670853289136,0.00048828125,0,0.7591783238913682
