baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.2411585419538992,-0.25034794895544443,-0.23174797019414728,0.00048828125,12,-34.35387788027262
decay_hl1,12,-0.11814603694735441,-0.12675759361559724,-0.10962658630932526,0.00048828125,12,-20.40621124723127
decay_hl3,12,-0.07589155340069778,-0.08337961052356829,-0.06866174977511118,0.00048828125,12,-14.13997089263283
rolling_14,12,-0.07317660571929367,-0.0848431747704515,-0.06163441976432006,0.00048828125,12,-13.703445012385947
decay_hl7,12,-0.05592015788654067,-0.06300557455784907,-0.04900411799191089,0.00048828125,12,-10.821613995137797
m5b_smooth0.001,12,-0.03763438450209233,-0.05056074373837144,-0.025150558012941006,0.00048828125,12,-7.550141808876594
expanding,12,-0.03054587544611899,-0.03909490183047832,-0.02285853997971454,0.00048828125,12,-6.216461296342487
diff_forgetting,12,-0.02927521231540695,-0.03858316561488624,-0.020613301863631823,0.00048828125,12,-5.973312444609127
m5b_smooth0,12,-0.028425603027779977,-0.03723855470650265,-0.019896715811110258,0.00048828125,12,-5.810030152732642
amgtp_fixed_beta0,12,-0.028425603027779977,-0.03723855470650265,-0.019896715811110258,0.00048828125,12,-5.810030152732642
rolling_3,12,-0.02266695497243157,-0.030417341471198782,-0.014562057625512008,0.00146484375,11,-4.688176999653034
m5b_smooth0.01,12,-0.02207566262217449,-0.02989104706227687,-0.014842240369037661,0.00048828125,12,-4.5714715045236
rolling_7,12,-0.020258527328675186,-0.03409487005973136,-0.007062304713187595,0.02685546875,9,-4.211021467487454
ensemble3,12,-0.014611124672414202,-0.022334237398210915,-0.005568935020346307,0.01220703125,10,-3.073205065961987
m2_context_gate,12,-0.012649637683643383,-0.019605627313067576,-0.005596240850722641,0.01611328125,11,-2.671661533729393
amgtp_hidden16,12,-0.010270057532207666,-0.02191429943718533,0.0014236116012125589,0.12939453125,9,-2.1800396900709376
m5b_smooth0.1,12,-0.0072414551708809005,-0.014917072760029657,0.0003561187009427007,0.1513671875,8,-1.5471000532689057
amgtp_hidden8,12,-0.006472646023518898,-0.013697650125588047,0.000824356322464894,0.2333984375,7,-1.3851229850380864
amgtp_global_q,12,-0.000627000623905342,-0.008555449559969121,0.007822230969441499,0.90966796875,8,-0.13587561198370413
amgtp_no_state,12,0.0004704780608871621,-0.005073879265166297,0.006357701733877595,0.90966796875,6,0.10219909182133766
amgtp_fixed_beta_hi,12,0.00135290318995554,-0.004719656420575985,0.008107095980293768,0.9697265625,7,0.29444735141768036
han_arw,12,0.008557741482421935,0.00017464597888333192,0.01687625701566689,0.12939453125,3,1.8921871518992366
fixed_share,12,0.010839210908179459,0.004456737136205716,0.01729831826241213,0.00927734375,3,2.408790021655595
uniform5,12,0.011749944029272022,0.005507081302637589,0.018075061583350052,0.0048828125,2,2.6164771152021413
amgtp_uniform_q,12,0.011749944096372167,0.00550708133868297,0.018075061711119157,0.0048828125,2,2.6164771305349497
m1_global_mix,12,0.012622525829134576,0.006003944488070125,0.019185631884346573,0.0068359375,3,2.8162557666715973
adamoe,12,0.013732405118028484,0.007450320503602197,0.02010712231680693,0.00341796875,2,3.071490709155824
m5b_smooth0.3,12,0.014061695324341811,0.006783629776106512,0.02097105957544634,0.00927734375,3,3.1474603288837892
learn_alpha,12,0.01488712138939421,0.00862877696903561,0.02124961071505318,0.00244140625,2,3.3383851667842497
