baseline,n_seeds,mean_diff_logloss,ci95_lo,ci95_hi,wilcoxon_p,mut_better_in_seeds,rel_pct
rolling_1,12,-0.2747617370055981,-0.2848149621070448,-0.26457384072649504,0.00048828125,12,-38.27969782038583
decay_hl1,12,-0.12514226583756546,-0.13415085874395893,-0.11607739142643912,0.00048828125,12,-22.026094783275976
decay_hl3,12,-0.08095136273857326,-0.08787373274158655,-0.07392849211115234,0.00048828125,12,-15.449804373112912
decay_hl7,12,-0.05019945815118887,-0.05585761761351575,-0.04409237134506779,0.00048828125,12,-10.178073838812841
rolling_3,12,-0.043950273916443516,-0.046948582761577255,-0.041041242648379675,0.00048828125,12,-9.025390283452802
validation_selected(h=rolling_14),12,-0.04094269108782842,-0.0486524552248047,-0.03365903472821775,0.00048828125,12,-8.460020213387768
rolling_14,12,-0.04094269108782842,-0.0486524552248047,-0.03365903472821775,0.00048828125,12,-8.460020213387768
rolling_7,12,-0.02668918261584667,-0.03407678905657159,-0.020833829778250663,0.00048828125,12,-5.682158332438196
diff_forgetting,12,-0.012019977904981277,-0.017282547046693585,-0.006566516636447778,0.00244140625,11,-2.6415659219671594
expanding,12,-0.009643055868209077,-0.013502347870490983,-0.005906523171343628,0.00146484375,11,-2.1303306117618446
m5b_smooth0,12,-0.009389515251231306,-0.01317909148568178,-0.005497415884594904,0.00146484375,11,-2.075481283435753
amgtp_fixed_beta0,12,-0.009389515251231306,-0.01317909148568178,-0.005497415884594904,0.00146484375,11,-2.075481283435753
m2_context_gate,12,-0.008911058372403335,-0.012860848682217882,-0.0050788768997486345,0.00341796875,11,-1.9718073806152372
m5b_smooth0.001,12,-0.00858461527251359,-0.012168005621167094,-0.0047002563372922105,0.0068359375,11,-1.900946342507411
m5b_smooth0.01,12,-0.00838532029100858,-0.012331312613161147,-0.0043769077327994255,0.0048828125,10,-1.8576349742496308
han_arw,12,-0.003983769096146367,-0.007670198820699313,-0.0008148566961154404,0.06396484375,9,-0.8912313249082647
ensemble3,12,-0.0022343265230093715,-0.006744162154536055,0.002592693709150471,0.423828125,7,-0.5018177184333942
amgtp_hidden16,12,-0.0015724437333589126,-0.005273384169443506,0.0016222931486779605,0.4697265625,6,-0.35368818047843426
amgtp_fixed_beta_hi,12,-0.0005541115365901942,-0.002988530888968392,0.0020551570081535527,0.5693359375,7,-0.12492188478321813
amgtp_global_q,12,3.637858990560942e-05,-0.002758080129900349,0.003048558885514999,0.9697265625,6,0.008212317455431432
amgtp_no_state,12,0.0002879981196700909,-0.0023438728976221813,0.0031577584959153167,1.0,7,0.06505134473496844
amgtp_hidden8,12,0.0005759282378534162,-0.001652091354393993,0.0026049393000837865,0.4697265625,6,0.13017198832328933
m5b_smooth0.1,12,0.0017306162832898542,-0.0027451236116220745,0.006496472441955323,0.791015625,5,0.3921794853386748
fixed_share,12,0.003034545234916424,0.0007405504960423982,0.005616184663854133,0.02685546875,3,0.6897042223273286
m5b_smooth0.3,12,0.0032962449815774294,-0.002721993009956202,0.008770232341995084,0.2333984375,4,0.7496303247847098
uniform5,12,0.004312581099395543,0.0013174274916463876,0.0076287995146541235,0.05224609375,4,0.9830370969696454
amgtp_uniform_q,12,0.004312581369381781,0.0013174277383106706,0.007628799761017723,0.05224609375,4,0.9830371591170056
adamoe,12,0.005293774356706212,0.0023374313442823765,0.008539328028740937,0.0048828125,2,1.2094014534532047
m1_global_mix,12,0.005725987096181107,0.003412436401859187,0.008209293966730608,0.00048828125,0,1.3094365795665306
learn_alpha,12,0.006169029813945445,0.003689220140395866,0.008885887226000203,0.0009765625,1,1.4121837430098048
