regime,amgtp_adaptive,ensemble3,fixed_beta_0.00,fixed_beta_0.05,fixed_beta_0.10,fixed_beta_0.15,fixed_beta_0.20,fixed_beta_0.25,fixed_beta_0.30,fixed_beta_0.35,fixed_beta_0.40,fixed_beta_0.45,fixed_beta_0.50,fixed_beta_0.55,fixed_beta_0.60,fixed_beta_0.65,fixed_beta_0.70,fixed_beta_0.75,fixed_beta_0.80,fixed_beta_0.85,fixed_beta_0.90,fixed_beta_0.95,fixed_beta_1.00,m5b_smooth0.001,m5b_smooth0.1
s0_none,0.3266189969158817,0.3254246001328635,0.32552237123334704,0.325603253288915,0.32569136929262626,0.3257878986667282,0.3258943109278835,0.32601241944240583,0.3261445256128477,0.32629361929686934,0.3264636240776356,0.3266598918069462,0.3268897377390889,0.3271634248829442,0.32749565857031776,0.32790846912182764,0.3284368453334604,0.32914096377086566,0.33013608639507014,0.33167802418487763,0.33447661922396876,0.3409805661833217,0.3536105466151048,0.3255073292491508,0.3257135994669186
s1_abrupt,0.33911481429505214,0.3393737201112356,0.33840557688786,0.3385036356769825,0.3385919697298815,0.3387028337519168,0.3388104945569447,0.33893546725763807,0.3391183985859053,0.3395280649591467,0.3397553152979277,0.34000105501267397,0.3403054645713444,0.34070112944703246,0.34136758357158176,0.34232015661525894,0.3436848242767035,0.3457349422376902,0.3488972770854054,0.35379661824044867,0.3607812634471315,0.3701088393312557,0.38172231336639884,0.338381339165669,0.3478579262830066
s2_gradual,0.3601383773889653,0.36010154572408953,0.35908157865596046,0.3591463896738091,0.359218351930256,0.35929884553655306,0.35938952727327916,0.35949271540125327,0.35961116863888737,0.35974870554849697,0.3599104380664026,0.3601034060216479,0.3603376030210458,0.3606278208450502,0.3609963957016138,0.3614784394657398,0.3621339403070943,0.3630725478874908,0.36451283287391023,0.366905105350927,0.37111844798930926,0.3783841069175419,0.38758697745782766,0.3590598209403029,0.36146495182324634
s3_recurring,0.42836517554266357,0.4284198524866569,0.4385608572871459,0.4371327668017206,0.4394039921265951,0.43903045589619094,0.44004041475397376,0.4405913602448243,0.4413523979852135,0.4390412983980049,0.4400769112593405,0.4385597465548367,0.43912288855761483,0.4368959678465284,0.4347200899641422,0.43403931532101453,0.43226459695133207,0.4303450100008315,0.4298873707385983,0.430230168982765,0.4304816181300125,0.43291575183057446,0.4378294342471391,0.4361228583291986,0.4256443109175264
s3b_recurring_p9,0.4348664132554331,0.43298800279462263,0.43557499475293704,0.43556241100534304,0.43533381757475553,0.43529831634805255,0.43521279284519915,0.4351439343497401,0.4350200453055629,0.4349073872965927,0.4347304969039627,0.4349471622635009,0.4348795018435524,0.4348884260907474,0.434822395190801,0.4347118439065762,0.4347469919835671,0.4351645436080836,0.4359608724618763,0.4373165130873458,0.4396825621261085,0.445875364058891,0.45697980686438777,0.4354798003944301,0.43216990372223674
s3c_recurring_p11,0.43398701861502703,0.43328187959630343,0.43894895311153465,0.43901272730648533,0.4387613486282116,0.43853567748355643,0.43839583494288564,0.43820278263011714,0.4376131834534441,0.43748108705909755,0.43787425660137425,0.43718098069648775,0.4375581187443886,0.4363141716046382,0.43636973705151777,0.4356961312217074,0.4345863247093793,0.43427396456005984,0.43389903429883797,0.43432838478134933,0.43553234363680504,0.43906659725039354,0.447474894029338,0.43899822749524264,0.4316906960772691
s3d_recurring_p17,0.42485842807011137,0.42399159483409743,0.43907430774614015,0.4433322340581103,0.4423538840886114,0.4447266900213503,0.4429041421234655,0.4435844700164739,0.4423953444330771,0.4439723891104612,0.4393474919006846,0.4389045002528521,0.4363255806177028,0.43426888649399703,0.43111239961509407,0.4271501341801675,0.4270107399707257,0.42610654415348087,0.42441785421943073,0.42592927497718464,0.4269256300904613,0.43210082702747754,0.43415972957961907,0.44074554385438347,0.4197685978311472
s3e_recurring_p21,0.42347206503291834,0.42100306199140036,0.44169047331280076,0.4435944548256189,0.4465809263210639,0.44276909036179835,0.4460469414155177,0.4435533504423151,0.4413589684733033,0.4401860018336709,0.43558690016310264,0.43438096168234586,0.43195850683658005,0.4277522101792915,0.4288859666617308,0.4251342737911735,0.42471463236179796,0.4260375354799606,0.42246701860191777,0.4226715573714605,0.4278429806437248,0.4249282895281736,0.43283720104665474,0.4459183581426797,0.4172246213539506
s4_local,0.46036154768209614,0.4591249992618828,0.45813992098637496,0.4597315271973511,0.4613431830633028,0.46293551293039276,0.464576544277072,0.46624234529305,0.4678107053112422,0.4694225749933985,0.4710008398224526,0.4726373672871374,0.4742309419103165,0.47579610907797587,0.47731413147725554,0.47887232514635336,0.480376634462363,0.4818875961679904,0.48349038759649476,0.4852007303636429,0.48745277399333925,0.4918132033295057,0.5032100138878682,0.458069073789846,0.4660906459805897
s5_opposing_local,0.49523614983390424,0.49476490703417375,0.493796353317256,0.49411013768313244,0.49457861855095375,0.49493848689576037,0.49561821544167645,0.49625473167538486,0.496488661994668,0.4970039298694985,0.4974220341245026,0.49800725533704004,0.4985034643011433,0.4986697253268173,0.49899129000509923,0.4994377508425438,0.4995826744133681,0.4998354564187012,0.5004392547103326,0.5017885787172324,0.5045039078150476,0.5091382540613262,0.5171066545146001,0.4935264069262599,0.49846260560171796
