regime,seed,config,beta,ll
s0_none,3,fixed_beta_0.00,0.0,0.338297213002026
s0_none,3,fixed_beta_0.05,0.05,0.33837646047594294
s0_none,3,fixed_beta_0.10,0.1,0.33846254556492994
s0_none,3,fixed_beta_0.15,0.15,0.3385565675337198
s0_none,3,fixed_beta_0.20,0.2,0.3386598992505734
s0_none,3,fixed_beta_0.25,0.25,0.3387742176050735
s0_none,3,fixed_beta_0.30,0.3,0.3389016236238597
s0_none,3,fixed_beta_0.35,0.35,0.33904483055143714
s0_none,3,fixed_beta_0.40,0.4,0.33920748575767223
s0_none,3,fixed_beta_0.45,0.45,0.33939488532157513
s0_none,3,fixed_beta_0.50,0.5,0.3396147550401443
s0_none,3,fixed_beta_0.55,0.55,0.3398779420552324
s0_none,3,fixed_beta_0.60,0.6,0.3401995829027516
s0_none,3,fixed_beta_0.65,0.65,0.34060172592897664
s0_none,3,fixed_beta_0.70,0.7,0.3411178721583026
s0_none,3,fixed_beta_0.75,0.75,0.3418048727613944
s0_none,3,fixed_beta_0.80,0.8,0.342775816153914
s0_none,3,fixed_beta_0.85,0.85,0.34428631394941683
s0_none,3,fixed_beta_0.90,0.9,0.3470330130516559
s0_none,3,fixed_beta_0.95,0.95,0.35348314366030725
s0_none,3,fixed_beta_1.00,1.0,0.36636714407320237
s0_none,3,amgtp_adaptive,,0.3393292777558005
s0_none,3,m5b_smooth0.001,,0.33825909551473776
s0_none,3,m5b_smooth0.1,,0.3389491675962714
s0_none,3,ensemble3,,0.3383248456097552
