regime,seed,config,beta,ll
s1_abrupt,20,fixed_beta_0.00,0.0,0.3283255593052847
s1_abrupt,20,fixed_beta_0.05,0.05,0.32839016177349
s1_abrupt,20,fixed_beta_0.10,0.1,0.32850388887825344
s1_abrupt,20,fixed_beta_0.15,0.15,0.32867198028405303
s1_abrupt,20,fixed_beta_0.20,0.2,0.3287754305439164
s1_abrupt,20,fixed_beta_0.25,0.25,0.32888434543367406
s1_abrupt,20,fixed_beta_0.30,0.3,0.32902965340417956
s1_abrupt,20,fixed_beta_0.35,0.35,0.3292218412831939
s1_abrupt,20,fixed_beta_0.40,0.4,0.32945339067674867
s1_abrupt,20,fixed_beta_0.45,0.45,0.32974621768352813
s1_abrupt,20,fixed_beta_0.50,0.5,0.330124160635719
s1_abrupt,20,fixed_beta_0.55,0.55,0.3306106678535011
s1_abrupt,20,fixed_beta_0.60,0.6,0.3312157519843039
s1_abrupt,20,fixed_beta_0.65,0.65,0.3320525600694636
s1_abrupt,20,fixed_beta_0.70,0.7,0.3332095232237029
s1_abrupt,20,fixed_beta_0.75,0.75,0.3351074966651409
s1_abrupt,20,fixed_beta_0.80,0.8,0.33806589773873924
s1_abrupt,20,fixed_beta_0.85,0.85,0.3425971765027224
s1_abrupt,20,fixed_beta_0.90,0.9,0.34910545040613883
s1_abrupt,20,fixed_beta_0.95,0.95,0.35785128859912374
s1_abrupt,20,fixed_beta_1.00,1.0,0.3685784199737986
s1_abrupt,20,amgtp_adaptive,,0.3292807737325423
s1_abrupt,20,m5b_smooth0.001,,0.3283329985350963
s1_abrupt,20,m5b_smooth0.1,,0.3400144819016708
s1_abrupt,20,ensemble3,,0.32939178012716097
