regime,seed,config,beta,ll
s2_gradual,4,fixed_beta_0.00,0.0,0.3600660278943496
s2_gradual,4,fixed_beta_0.05,0.05,0.36013021706807846
s2_gradual,4,fixed_beta_0.10,0.1,0.36020174654297615
s2_gradual,4,fixed_beta_0.15,0.15,0.3602817527138021
s2_gradual,4,fixed_beta_0.20,0.2,0.3603718984033948
s2_gradual,4,fixed_beta_0.25,0.25,0.3604745036436531
s2_gradual,4,fixed_beta_0.30,0.3,0.36059245388698735
s2_gradual,4,fixed_beta_0.35,0.35,0.36072929740404175
s2_gradual,4,fixed_beta_0.40,0.4,0.36088965815278934
s2_gradual,4,fixed_beta_0.45,0.45,0.361080199985142
s2_gradual,4,fixed_beta_0.50,0.5,0.36131062523170937
s2_gradual,4,fixed_beta_0.55,0.55,0.3615955879605956
s2_gradual,4,fixed_beta_0.60,0.6,0.3619574948921773
s2_gradual,4,fixed_beta_0.65,0.65,0.3624320238353789
s2_gradual,4,fixed_beta_0.70,0.7,0.3630812513901998
s2_gradual,4,fixed_beta_0.75,0.75,0.3640201769507373
s2_gradual,4,fixed_beta_0.80,0.8,0.3654721344202365
s2_gradual,4,fixed_beta_0.85,0.85,0.36790240418834463
s2_gradual,4,fixed_beta_0.90,0.9,0.37220607061484784
s2_gradual,4,fixed_beta_0.95,0.95,0.3796481005286693
s2_gradual,4,fixed_beta_1.00,1.0,0.3890345897069177
s2_gradual,4,amgtp_adaptive,,0.36109642825654653
s2_gradual,4,m5b_smooth0.001,,0.3600252194760138
s2_gradual,4,m5b_smooth0.1,,0.36237177356279293
s2_gradual,4,ensemble3,,0.3610957193693187
