regime,seed,config,beta,ll
s3_recurring,31,fixed_beta_0.00,0.0,0.44270715715521247
s3_recurring,31,fixed_beta_0.05,0.05,0.44098536646150815
s3_recurring,31,fixed_beta_0.10,0.1,0.4458614022064218
s3_recurring,31,fixed_beta_0.15,0.15,0.4477193758246446
s3_recurring,31,fixed_beta_0.20,0.2,0.44774918872584263
s3_recurring,31,fixed_beta_0.25,0.25,0.4462672603704478
s3_recurring,31,fixed_beta_0.30,0.3,0.4525130576318865
s3_recurring,31,fixed_beta_0.35,0.35,0.4456795009304715
s3_recurring,31,fixed_beta_0.40,0.4,0.4502912523630493
s3_recurring,31,fixed_beta_0.45,0.45,0.4469024019524749
s3_recurring,31,fixed_beta_0.50,0.5,0.45095303895181305
s3_recurring,31,fixed_beta_0.55,0.55,0.4430319468905215
s3_recurring,31,fixed_beta_0.60,0.6,0.44025282744731503
s3_recurring,31,fixed_beta_0.65,0.65,0.4397174952336307
s3_recurring,31,fixed_beta_0.70,0.7,0.4374450329330958
s3_recurring,31,fixed_beta_0.75,0.75,0.43670362960535275
s3_recurring,31,fixed_beta_0.80,0.8,0.4347296305026942
s3_recurring,31,fixed_beta_0.85,0.85,0.4362032155385188
s3_recurring,31,fixed_beta_0.90,0.9,0.43596024282467094
s3_recurring,31,fixed_beta_0.95,0.95,0.4382305407976262
s3_recurring,31,fixed_beta_1.00,1.0,0.4431619052148702
s3_recurring,31,amgtp_adaptive,,0.43311666375095803
s3_recurring,31,m5b_smooth0.001,,0.4412562713919539
s3_recurring,31,m5b_smooth0.1,,0.4332232067106715
s3_recurring,31,ensemble3,,0.43797856588917633
