regime,seed,config,beta,ll
s3b_recurring_p9,0,fixed_beta_0.00,0.0,0.4226087609295874
s3b_recurring_p9,0,fixed_beta_0.05,0.05,0.4229541171485535
s3b_recurring_p9,0,fixed_beta_0.10,0.1,0.422567818933505
s3b_recurring_p9,0,fixed_beta_0.15,0.15,0.4227282456239336
s3b_recurring_p9,0,fixed_beta_0.20,0.2,0.4223564459632118
s3b_recurring_p9,0,fixed_beta_0.25,0.25,0.42214303023917615
s3b_recurring_p9,0,fixed_beta_0.30,0.3,0.42212735398931983
s3b_recurring_p9,0,fixed_beta_0.35,0.35,0.4223722713649062
s3b_recurring_p9,0,fixed_beta_0.40,0.4,0.4214408382794105
s3b_recurring_p9,0,fixed_beta_0.45,0.45,0.4218788628579411
s3b_recurring_p9,0,fixed_beta_0.50,0.5,0.4216578073319255
s3b_recurring_p9,0,fixed_beta_0.55,0.55,0.4226405312020225
s3b_recurring_p9,0,fixed_beta_0.60,0.6,0.4214650253766982
s3b_recurring_p9,0,fixed_beta_0.65,0.65,0.4219167452655713
s3b_recurring_p9,0,fixed_beta_0.70,0.7,0.4218001226164988
s3b_recurring_p9,0,fixed_beta_0.75,0.75,0.4223683483249542
s3b_recurring_p9,0,fixed_beta_0.80,0.8,0.42317143288312226
s3b_recurring_p9,0,fixed_beta_0.85,0.85,0.4243409151745109
s3b_recurring_p9,0,fixed_beta_0.90,0.9,0.42642276207859947
s3b_recurring_p9,0,fixed_beta_0.95,0.95,0.4323487311172566
s3b_recurring_p9,0,fixed_beta_1.00,1.0,0.4426055819594577
s3b_recurring_p9,0,amgtp_adaptive,,0.42177093274652616
s3b_recurring_p9,0,m5b_smooth0.001,,0.42220622465084034
s3b_recurring_p9,0,m5b_smooth0.1,,0.4193753443050667
s3b_recurring_p9,0,ensemble3,,0.42011359057803166
