regime,seed,config,beta,ll
s3c_recurring_p11,3,fixed_beta_0.00,0.0,0.4483007363606718
s3c_recurring_p11,3,fixed_beta_0.05,0.05,0.4474353772683429
s3c_recurring_p11,3,fixed_beta_0.10,0.1,0.44588454859250076
s3c_recurring_p11,3,fixed_beta_0.15,0.15,0.4457203031110685
s3c_recurring_p11,3,fixed_beta_0.20,0.2,0.4447679895610168
s3c_recurring_p11,3,fixed_beta_0.25,0.25,0.4471162086168008
s3c_recurring_p11,3,fixed_beta_0.30,0.3,0.4455640243963319
s3c_recurring_p11,3,fixed_beta_0.35,0.35,0.444042673048533
s3c_recurring_p11,3,fixed_beta_0.40,0.4,0.4461285177944192
s3c_recurring_p11,3,fixed_beta_0.45,0.45,0.44548067754716614
s3c_recurring_p11,3,fixed_beta_0.50,0.5,0.44502728190264235
s3c_recurring_p11,3,fixed_beta_0.55,0.55,0.44450763700791557
s3c_recurring_p11,3,fixed_beta_0.60,0.6,0.442371100003467
s3c_recurring_p11,3,fixed_beta_0.65,0.65,0.44294164808713526
s3c_recurring_p11,3,fixed_beta_0.70,0.7,0.44189218711475725
s3c_recurring_p11,3,fixed_beta_0.75,0.75,0.4412202094019061
s3c_recurring_p11,3,fixed_beta_0.80,0.8,0.4405749445428572
s3c_recurring_p11,3,fixed_beta_0.85,0.85,0.4412632317460759
s3c_recurring_p11,3,fixed_beta_0.90,0.9,0.4420559093880005
s3c_recurring_p11,3,fixed_beta_0.95,0.95,0.4458817703275514
s3c_recurring_p11,3,fixed_beta_1.00,1.0,0.4543827822556923
s3c_recurring_p11,3,amgtp_adaptive,,0.4423546899179544
s3c_recurring_p11,3,m5b_smooth0.001,,0.44634773850640147
s3c_recurring_p11,3,m5b_smooth0.1,,0.4378513610963982
s3c_recurring_p11,3,ensemble3,,0.4392628347776777
