regime,seed,config,beta,ll
s3d_recurring_p17,25,fixed_beta_0.00,0.0,0.4543042954589171
s3d_recurring_p17,25,fixed_beta_0.05,0.05,0.4732428281837177
s3d_recurring_p17,25,fixed_beta_0.10,0.1,0.4609829817823124
s3d_recurring_p17,25,fixed_beta_0.15,0.15,0.4548793002457914
s3d_recurring_p17,25,fixed_beta_0.20,0.2,0.4598897758806427
s3d_recurring_p17,25,fixed_beta_0.25,0.25,0.4772456396523719
s3d_recurring_p17,25,fixed_beta_0.30,0.3,0.4693412051259329
s3d_recurring_p17,25,fixed_beta_0.35,0.35,0.4689583123569141
s3d_recurring_p17,25,fixed_beta_0.40,0.4,0.46764840873441565
s3d_recurring_p17,25,fixed_beta_0.45,0.45,0.4633617451684086
s3d_recurring_p17,25,fixed_beta_0.50,0.5,0.4541590416213929
s3d_recurring_p17,25,fixed_beta_0.55,0.55,0.4598215667559482
s3d_recurring_p17,25,fixed_beta_0.60,0.6,0.456395859534395
s3d_recurring_p17,25,fixed_beta_0.65,0.65,0.4452234055384699
s3d_recurring_p17,25,fixed_beta_0.70,0.7,0.44905402678547884
s3d_recurring_p17,25,fixed_beta_0.75,0.75,0.4442296925818057
s3d_recurring_p17,25,fixed_beta_0.80,0.8,0.4449356648094734
s3d_recurring_p17,25,fixed_beta_0.85,0.85,0.4430163564829126
s3d_recurring_p17,25,fixed_beta_0.90,0.9,0.4458682568272888
s3d_recurring_p17,25,fixed_beta_0.95,0.95,0.4514923251115374
s3d_recurring_p17,25,fixed_beta_1.00,1.0,0.4533939813024589
s3d_recurring_p17,25,amgtp_adaptive,,0.4434961846271719
s3d_recurring_p17,25,m5b_smooth0.001,,0.45316888461181076
s3d_recurring_p17,25,m5b_smooth0.1,,0.44041853063992464
s3d_recurring_p17,25,ensemble3,,0.447054200446476
