regime,seed,config,beta,ll
s3e_recurring_p21,30,fixed_beta_0.00,0.0,0.4483593166061715
s3e_recurring_p21,30,fixed_beta_0.05,0.05,0.45135677757094417
s3e_recurring_p21,30,fixed_beta_0.10,0.1,0.4663641184280732
s3e_recurring_p21,30,fixed_beta_0.15,0.15,0.4533482139555812
s3e_recurring_p21,30,fixed_beta_0.20,0.2,0.44564921920740247
s3e_recurring_p21,30,fixed_beta_0.25,0.25,0.43851543563690726
s3e_recurring_p21,30,fixed_beta_0.30,0.3,0.44015339435988843
s3e_recurring_p21,30,fixed_beta_0.35,0.35,0.44656833346898156
s3e_recurring_p21,30,fixed_beta_0.40,0.4,0.4392811034489421
s3e_recurring_p21,30,fixed_beta_0.45,0.45,0.4375204050515793
s3e_recurring_p21,30,fixed_beta_0.50,0.5,0.43157073983293637
s3e_recurring_p21,30,fixed_beta_0.55,0.55,0.43221297071852494
s3e_recurring_p21,30,fixed_beta_0.60,0.6,0.42970031272617876
s3e_recurring_p21,30,fixed_beta_0.65,0.65,0.4292118029071288
s3e_recurring_p21,30,fixed_beta_0.70,0.7,0.42711561973969636
s3e_recurring_p21,30,fixed_beta_0.75,0.75,0.4282699337955486
s3e_recurring_p21,30,fixed_beta_0.80,0.8,0.42503635615193525
s3e_recurring_p21,30,fixed_beta_0.85,0.85,0.4259409448850663
s3e_recurring_p21,30,fixed_beta_0.90,0.9,0.43068889069201916
s3e_recurring_p21,30,fixed_beta_0.95,0.95,0.42786713160786927
s3e_recurring_p21,30,fixed_beta_1.00,1.0,0.43586563785281157
s3e_recurring_p21,30,amgtp_adaptive,,0.42680045073566947
s3e_recurring_p21,30,m5b_smooth0.001,,0.4452671518727831
s3e_recurring_p21,30,m5b_smooth0.1,,0.42128747074449946
s3e_recurring_p21,30,ensemble3,,0.42055514329332844
