regime,seed,config,beta,ll
s4_local,24,fixed_beta_0.00,0.0,0.4647547269717549
s4_local,24,fixed_beta_0.05,0.05,0.4663399256546971
s4_local,24,fixed_beta_0.10,0.1,0.467881986894548
s4_local,24,fixed_beta_0.15,0.15,0.4694691511201506
s4_local,24,fixed_beta_0.20,0.2,0.47108029057002654
s4_local,24,fixed_beta_0.25,0.25,0.4726903358519714
s4_local,24,fixed_beta_0.30,0.3,0.47431320079598877
s4_local,24,fixed_beta_0.35,0.35,0.4759812683387697
s4_local,24,fixed_beta_0.40,0.4,0.47754452690879684
s4_local,24,fixed_beta_0.45,0.45,0.47910587881438615
s4_local,24,fixed_beta_0.50,0.5,0.48071872269683247
s4_local,24,fixed_beta_0.55,0.55,0.4822779692418575
s4_local,24,fixed_beta_0.60,0.6,0.4839759120151386
s4_local,24,fixed_beta_0.65,0.65,0.4855067435131048
s4_local,24,fixed_beta_0.70,0.7,0.48698130642888804
s4_local,24,fixed_beta_0.75,0.75,0.4883582046538946
s4_local,24,fixed_beta_0.80,0.8,0.49012813243456443
s4_local,24,fixed_beta_0.85,0.85,0.49160405403056456
s4_local,24,fixed_beta_0.90,0.9,0.493708425662895
s4_local,24,fixed_beta_0.95,0.95,0.4979361927710265
s4_local,24,fixed_beta_1.00,1.0,0.5095785799822784
s4_local,24,amgtp_adaptive,,0.4669756799332055
s4_local,24,m5b_smooth0.001,,0.4647306280848876
s4_local,24,m5b_smooth0.1,,0.47307992812370214
s4_local,24,ensemble3,,0.46579341450230394
