regime,seed,config,beta,ll
s5_opposing_local,2,fixed_beta_0.00,0.0,0.5228314693550838
s5_opposing_local,2,fixed_beta_0.05,0.05,0.5237405849945828
s5_opposing_local,2,fixed_beta_0.10,0.1,0.525781820463814
s5_opposing_local,2,fixed_beta_0.15,0.15,0.5260038535191506
s5_opposing_local,2,fixed_beta_0.20,0.2,0.5269936889583237
s5_opposing_local,2,fixed_beta_0.25,0.25,0.527373329072478
s5_opposing_local,2,fixed_beta_0.30,0.3,0.5268324006546903
s5_opposing_local,2,fixed_beta_0.35,0.35,0.5277342045505455
s5_opposing_local,2,fixed_beta_0.40,0.4,0.529263176215276
s5_opposing_local,2,fixed_beta_0.45,0.45,0.5307259286625807
s5_opposing_local,2,fixed_beta_0.50,0.5,0.5322432081661114
s5_opposing_local,2,fixed_beta_0.55,0.55,0.5323040932391451
s5_opposing_local,2,fixed_beta_0.60,0.6,0.5312958279736801
s5_opposing_local,2,fixed_beta_0.65,0.65,0.5313913815458643
s5_opposing_local,2,fixed_beta_0.70,0.7,0.5307761072217908
s5_opposing_local,2,fixed_beta_0.75,0.75,0.5305235380664869
s5_opposing_local,2,fixed_beta_0.80,0.8,0.5304033884574633
s5_opposing_local,2,fixed_beta_0.85,0.85,0.531176731128322
s5_opposing_local,2,fixed_beta_0.90,0.9,0.5335462499973223
s5_opposing_local,2,fixed_beta_0.95,0.95,0.5383731341129722
s5_opposing_local,2,fixed_beta_1.00,1.0,0.5473052396898153
s5_opposing_local,2,amgtp_adaptive,,0.525018429369275
s5_opposing_local,2,m5b_smooth0.001,,0.522708461179233
s5_opposing_local,2,m5b_smooth0.1,,0.528383461598358
s5_opposing_local,2,ensemble3,,0.5245847978853273
