regime,seed,config,beta,ll
s6_mixed,0,fixed_beta_0.00,0.0,0.41878659443597477
s6_mixed,0,fixed_beta_0.05,0.05,0.4115419801312259
s6_mixed,0,fixed_beta_0.10,0.1,0.40907051093621927
s6_mixed,0,fixed_beta_0.15,0.15,0.41402385157966654
s6_mixed,0,fixed_beta_0.20,0.2,0.41869289267625365
s6_mixed,0,fixed_beta_0.25,0.25,0.4193172337285947
s6_mixed,0,fixed_beta_0.30,0.3,0.41141600239907267
s6_mixed,0,fixed_beta_0.35,0.35,0.4301200799104097
s6_mixed,0,fixed_beta_0.40,0.4,0.4258808526230181
s6_mixed,0,fixed_beta_0.45,0.45,0.42260083295950873
s6_mixed,0,fixed_beta_0.50,0.5,0.4202663562481182
s6_mixed,0,fixed_beta_0.55,0.55,0.41082052487356496
s6_mixed,0,fixed_beta_0.60,0.6,0.4126429216102508
s6_mixed,0,fixed_beta_0.65,0.65,0.4085803368450838
s6_mixed,0,fixed_beta_0.70,0.7,0.4042054707879554
s6_mixed,0,fixed_beta_0.75,0.75,0.404001485067602
s6_mixed,0,fixed_beta_0.80,0.8,0.4044488789756384
s6_mixed,0,fixed_beta_0.85,0.85,0.4051605298064891
s6_mixed,0,fixed_beta_0.90,0.9,0.40952846006964816
s6_mixed,0,fixed_beta_0.95,0.95,0.4113519524446421
s6_mixed,0,fixed_beta_1.00,1.0,0.4187647338079715
s6_mixed,0,amgtp_adaptive,,0.4110326662625251
s6_mixed,0,m5b_smooth0.001,,0.41696322341440306
s6_mixed,0,m5b_smooth0.1,,0.3998307034487333
s6_mixed,0,ensemble3,,0.40399527208803
