regime,seed,config,beta,ll
s7_opposing_recurring,26,fixed_beta_0.00,0.0,0.43550555022545007
s7_opposing_recurring,26,fixed_beta_0.05,0.05,0.4356685031917216
s7_opposing_recurring,26,fixed_beta_0.10,0.1,0.43677636345509957
s7_opposing_recurring,26,fixed_beta_0.15,0.15,0.4369067220194556
s7_opposing_recurring,26,fixed_beta_0.20,0.2,0.437089019061166
s7_opposing_recurring,26,fixed_beta_0.25,0.25,0.437030385002236
s7_opposing_recurring,26,fixed_beta_0.30,0.3,0.43686494660441594
s7_opposing_recurring,26,fixed_beta_0.35,0.35,0.4365941554165017
s7_opposing_recurring,26,fixed_beta_0.40,0.4,0.4368978944536307
s7_opposing_recurring,26,fixed_beta_0.45,0.45,0.4365983692734595
s7_opposing_recurring,26,fixed_beta_0.50,0.5,0.43649745758456426
s7_opposing_recurring,26,fixed_beta_0.55,0.55,0.4359436274997463
s7_opposing_recurring,26,fixed_beta_0.60,0.6,0.436671558717778
s7_opposing_recurring,26,fixed_beta_0.65,0.65,0.4379270144948421
s7_opposing_recurring,26,fixed_beta_0.70,0.7,0.43831690181142724
s7_opposing_recurring,26,fixed_beta_0.75,0.75,0.4388986795621236
s7_opposing_recurring,26,fixed_beta_0.80,0.8,0.43964290746449053
s7_opposing_recurring,26,fixed_beta_0.85,0.85,0.439814383771185
s7_opposing_recurring,26,fixed_beta_0.90,0.9,0.4407437534277549
s7_opposing_recurring,26,fixed_beta_0.95,0.95,0.444857255406557
s7_opposing_recurring,26,fixed_beta_1.00,1.0,0.45318600091045835
s7_opposing_recurring,26,amgtp_adaptive,,0.4375827579774412
s7_opposing_recurring,26,m5b_smooth0.001,,0.436811924631842
s7_opposing_recurring,26,m5b_smooth0.1,,0.4340478640535249
s7_opposing_recurring,26,ensemble3,,0.43473214058071274
