regime,seed,config,beta,ll
s8_irregular_recurring,1,fixed_beta_0.00,0.0,0.4731240040680246
s8_irregular_recurring,1,fixed_beta_0.05,0.05,0.4669651968756423
s8_irregular_recurring,1,fixed_beta_0.10,0.1,0.4813730819495502
s8_irregular_recurring,1,fixed_beta_0.15,0.15,0.47840181516461294
s8_irregular_recurring,1,fixed_beta_0.20,0.2,0.4751234282589978
s8_irregular_recurring,1,fixed_beta_0.25,0.25,0.44351053651790445
s8_irregular_recurring,1,fixed_beta_0.30,0.3,0.45892218906404214
s8_irregular_recurring,1,fixed_beta_0.35,0.35,0.445759280768782
s8_irregular_recurring,1,fixed_beta_0.40,0.4,0.4594480242116982
s8_irregular_recurring,1,fixed_beta_0.45,0.45,0.45940879734929724
s8_irregular_recurring,1,fixed_beta_0.50,0.5,0.4213831724851582
s8_irregular_recurring,1,fixed_beta_0.55,0.55,0.4478567430612951
s8_irregular_recurring,1,fixed_beta_0.60,0.6,0.4569091800511358
s8_irregular_recurring,1,fixed_beta_0.65,0.65,0.4378211144349539
s8_irregular_recurring,1,fixed_beta_0.70,0.7,0.43977317537647526
s8_irregular_recurring,1,fixed_beta_0.75,0.75,0.4340665758059535
s8_irregular_recurring,1,fixed_beta_0.80,0.8,0.4283513691422168
s8_irregular_recurring,1,fixed_beta_0.85,0.85,0.4297147768694804
s8_irregular_recurring,1,fixed_beta_0.90,0.9,0.4295130156027146
s8_irregular_recurring,1,fixed_beta_0.95,0.95,0.42702001618927904
s8_irregular_recurring,1,fixed_beta_1.00,1.0,0.4281748145600873
s8_irregular_recurring,1,amgtp_adaptive,,0.45877461545360615
s8_irregular_recurring,1,m5b_smooth0.001,,0.4299752495691504
s8_irregular_recurring,1,m5b_smooth0.1,,0.4520846819101352
s8_irregular_recurring,1,ensemble3,,0.43772015636022427
