regime,seed,config,beta,ll
s9_heterogeneous,24,fixed_beta_0.00,0.0,0.4494106866005404
s9_heterogeneous,24,fixed_beta_0.05,0.05,0.4487288195876542
s9_heterogeneous,24,fixed_beta_0.10,0.1,0.44606274095137494
s9_heterogeneous,24,fixed_beta_0.15,0.15,0.44632631505552633
s9_heterogeneous,24,fixed_beta_0.20,0.2,0.4406800614211198
s9_heterogeneous,24,fixed_beta_0.25,0.25,0.4414265737871592
s9_heterogeneous,24,fixed_beta_0.30,0.3,0.4435212865492848
s9_heterogeneous,24,fixed_beta_0.35,0.35,0.4415622826702553
s9_heterogeneous,24,fixed_beta_0.40,0.4,0.4403883611918899
s9_heterogeneous,24,fixed_beta_0.45,0.45,0.43661759787630167
s9_heterogeneous,24,fixed_beta_0.50,0.5,0.43284447986130176
s9_heterogeneous,24,fixed_beta_0.55,0.55,0.4370598954672551
s9_heterogeneous,24,fixed_beta_0.60,0.6,0.43415131850011446
s9_heterogeneous,24,fixed_beta_0.65,0.65,0.43477076473175075
s9_heterogeneous,24,fixed_beta_0.70,0.7,0.43104953420944053
s9_heterogeneous,24,fixed_beta_0.75,0.75,0.4290186460262785
s9_heterogeneous,24,fixed_beta_0.80,0.8,0.42556009505546855
s9_heterogeneous,24,fixed_beta_0.85,0.85,0.42402990650150707
s9_heterogeneous,24,fixed_beta_0.90,0.9,0.4240311483298249
s9_heterogeneous,24,fixed_beta_0.95,0.95,0.4257113373936714
s9_heterogeneous,24,fixed_beta_1.00,1.0,0.42975976937810756
s9_heterogeneous,24,amgtp_adaptive,,0.42844879838155725
s9_heterogeneous,24,m5b_smooth0.001,,0.4475175536480153
s9_heterogeneous,24,m5b_smooth0.1,,0.4351438094076853
s9_heterogeneous,24,ensemble3,,0.4392719281528827
