ons_lam,ons_eta,eta_m,tau,mean_dev_loss,mean_worst_day
1.0,4.0,100.0,4.0,0.421257652767018,0.4253232489407546
1.0,4.0,10.0,4.0,0.4212596576335212,0.42532425817591824
1.0,4.0,1.0,4.0,0.4212599069556347,0.425324369583114
1.0,4.0,100.0,16.0,0.42126256040518434,0.42533416654300615
1.0,4.0,10.0,16.0,0.4212688740471135,0.42533573582936635
1.0,4.0,1.0,16.0,0.4212697702617482,0.42533591626999945
1.0,4.0,100.0,64.0,0.4212702494956717,0.4253425776565589
1.0,4.0,100.0,inf,0.42127618839075537,0.42534678562224654
1.0,4.0,10.0,64.0,0.4212840492124892,0.4253444347381603
1.0,4.0,1.0,64.0,0.4212860213509477,0.42534464811789396
0.1,0.25,100.0,4.0,0.42129350642492663,0.4253590939784335
1.0,4.0,10.0,inf,0.42129614163943035,0.4253487410020457
0.1,0.25,100.0,16.0,0.4212961487678741,0.4253678687007982
0.1,0.25,10.0,4.0,0.42129695285233776,0.42536022421305275
0.1,0.25,1.0,4.0,0.42129734754642784,0.42536034409700524
1.0,4.0,1.0,inf,0.4212989207828844,0.42534896500945957
0.1,0.25,100.0,64.0,0.42130317793178546,0.42537452691121436
0.1,0.25,10.0,16.0,0.4213065041588118,0.42537031721377794
0.1,0.25,1.0,16.0,0.4213078295670632,0.4253705822404263
0.1,0.25,100.0,inf,0.4213085519963084,0.42537780207887765
0.1,0.25,10.0,64.0,0.42132235911911087,0.42537789883493415
0.1,0.25,1.0,64.0,0.4213249207657252,0.4253782633911802
0.1,0.25,10.0,inf,0.4213342794187975,0.4253816196880904
0.1,0.25,1.0,inf,0.42133771406179993,0.4253820311721366
1.0,1.0,100.0,4.0,0.4214217778871818,0.42543996050213934
1.0,1.0,10.0,4.0,0.421423291541724,0.4254402472176803
1.0,1.0,1.0,4.0,0.4214234533487476,0.4254402766715368
1.0,1.0,100.0,16.0,0.42142451746086557,0.42544523474328094
1.0,1.0,10.0,16.0,0.42142936475158727,0.42544587372876075
1.0,1.0,1.0,16.0,0.42142990510995043,0.42544593993531316
1.0,1.0,100.0,64.0,0.4214312693324316,0.42544927023198875
1.0,1.0,100.0,inf,0.4214363857463405,0.4254512234037704
1.0,1.0,10.0,64.0,0.4214397241465617,0.42545013970145945
1.0,1.0,1.0,64.0,0.4214406747896118,0.4254502298546294
1.0,1.0,10.0,inf,0.4214471596185074,0.4254522013500582
1.0,1.0,1.0,inf,0.42144836464947705,0.42545230265313533
1.0,0.25,1.0,16.0,0.4215514221077635,0.42551125946646834
1.0,0.25,10.0,16.0,0.42155142822629393,0.42551125884914826
1.0,0.25,100.0,16.0,0.4215514904244892,0.4255112526750515
1.0,0.25,1.0,4.0,0.42155155210371625,0.42551184507229894
1.0,0.25,10.0,4.0,0.4215515560274033,0.42551184475695186
1.0,0.25,1.0,64.0,0.42155157895930895,0.4255108199992445
1.0,0.25,10.0,64.0,0.4215515875471008,0.42551081924429796
1.0,0.25,100.0,4.0,0.42155159572434164,0.42551184160162253
1.0,0.25,100.0,64.0,0.421551674496848,0.42551081169657445
1.0,0.25,1.0,inf,0.4215517597124013,0.425510613914748
1.0,0.25,10.0,inf,0.42155176959989654,0.425510613109299
1.0,0.25,100.0,inf,0.42155186937756284,0.4255106050580702
0.01,0.25,10.0,64.0,0.4218418536018181,0.42616714083446006
0.01,0.25,10.0,inf,0.4218513982809072,0.4261555946968319
0.01,0.25,100.0,16.0,0.4218566581440668,0.42616231673531413
0.1,1.0,100.0,64.0,0.4218787747986759,0.42611419823047725
0.1,1.0,100.0,inf,0.4218863716981384,0.4261154974721833
0.1,1.0,100.0,16.0,0.4218867943101558,0.4261368899598679
0.01,0.25,100.0,64.0,0.4218882718227385,0.42617589218889546
0.01,0.25,10.0,16.0,0.42191811832749826,0.4262213651338218
0.01,0.25,100.0,inf,0.42193056409141755,0.4261968481806746
0.01,0.25,100.0,4.0,0.4219465876899242,0.42627846170504685
0.01,0.25,1.0,inf,0.421970482031974,0.4262537078887534
0.1,1.0,10.0,inf,0.4220287772332032,0.4263939956401945
0.01,0.25,1.0,64.0,0.42202899982211134,0.42627920577396844
0.1,1.0,10.0,64.0,0.4220431828770086,0.42641949785136585
0.001,1.0,100.0,64.0,0.42211680949318886,0.4265569232369262
0.001,1.0,100.0,inf,0.42211797164982245,0.4265418141051926
0.001,1.0,10.0,inf,0.42211821051797216,0.4265422538007302
0.001,1.0,10.0,64.0,0.4221189920302326,0.4265605880638946
0.1,1.0,100.0,4.0,0.42212080371448296,0.42638340201125774
0.01,0.25,1.0,16.0,0.4221577514456716,0.4263450706943794
0.01,0.25,10.0,4.0,0.4221696327962812,0.4264081583479129
0.001,1.0,100.0,16.0,0.42216966851191245,0.42665865789229285
0.001,1.0,10.0,16.0,0.42218190652584386,0.42667810457311434
0.1,1.0,10.0,16.0,0.4222558594819292,0.4265379440010258
0.01,0.25,1.0,4.0,0.42230233897655217,0.4264800633559542
0.001,0.25,100.0,64.0,0.42232616367499404,0.42694582620129734
0.001,0.25,100.0,inf,0.42232941764881726,0.4269310324349042
0.001,0.25,10.0,inf,0.4223302967130116,0.4269326506737173
0.001,0.25,10.0,64.0,0.42233503321362215,0.42696057560438855
0.001,0.25,100.0,16.0,0.42235530141397115,0.42701800620699215
0.001,0.25,10.0,16.0,0.4224920696241628,0.4271473513629671
0.1,1.0,1.0,inf,0.42262212733234944,0.42680033817618496
0.1,4.0,100.0,inf,0.4226503236750407,0.4275217388474863
