method,day,n,log_loss,brier,ece,clicks
current_ops,7,5287222,0.37425841064411103,0.11513132815922142,0.011315474557357118,804622
current_ops,8,3832608,0.3851169039742766,0.11889393368676132,0.00828016454134165,600041
current_ops,9,4218938,0.4059338750799545,0.1264225740940857,0.008719466937361246,714185
ap_ops,7,5287222,0.37400788474524793,0.11510621101492928,0.009466844517582517,804622
ap_ops,8,3832608,0.38475397557658386,0.11880941053665953,0.005399189281529867,600041
ap_ops,9,4218938,0.4057065753454694,0.12641989846493631,0.008068284280315497,714185
single_memory,7,5287222,0.374153841518724,0.11515513024444064,0.008230119369849761,804622
single_memory,8,3832608,0.38478339735102896,0.11882176844621573,0.004434543704217692,600041
single_memory,9,4218938,0.40582583723950416,0.1264702375461694,0.008315815184336408,714185
no_slope,7,5287222,0.3746415152723582,0.11519768281256815,0.013466860827218796,804622
no_slope,8,3832608,0.38529430664025743,0.11891811709840439,0.009724422669464914,600041
no_slope,9,4218938,0.406135244698132,0.12645541329302576,0.009569247072090678,714185
