method,day,n,log_loss,brier,ece,clicks
current_ops,5,3835892,0.4257510367679404,0.13487197937704543,0.010401562612069223,702156
ap_ops,5,3835892,0.42553161850223253,0.1348076325672892,0.009106371809710587,702156
single_memory,5,3835892,0.42552197032748,0.13480446929744277,0.008675969649423595,702156
no_slope,5,3835892,0.4256649814263163,0.1348351514841541,0.010698205327457392,702156
current_ops,6,3225010,0.41689472753830126,0.13198587140312187,0.00813196763542341,585643
ap_ops,6,3225010,0.41646421658024857,0.13186851320806556,0.007997531205141508,585643
single_memory,6,3225010,0.41646682994927353,0.13186578880911667,0.007916373344963036,585643
no_slope,6,3225010,0.4167670264882256,0.13192581477575116,0.008278681480195999,585643
current_ops,7,5287222,0.3741836796771003,0.11510580244611818,0.009832040027305856,804622
ap_ops,7,5287222,0.37386400179519735,0.1150814212307236,0.009192105282942531,804622
single_memory,7,5287222,0.3739730673076023,0.11512455245497608,0.00844895208928335,804622
no_slope,7,5287222,0.3746434907485217,0.11519030622265003,0.012817958010284094,804622
current_ops,8,3832608,0.38526151579763857,0.11889556338828469,0.00723907153950404,600041
ap_ops,8,3832608,0.38502633415351173,0.11884030974247939,0.005670790305935974,600041
single_memory,8,3832608,0.38509383172717593,0.11885734731075435,0.004746613153789311,600041
no_slope,8,3832608,0.3854307032990664,0.11893355913111171,0.008672181688005211,600041
current_ops,9,4218938,0.4063019757990035,0.1264602340445825,0.008660308112240092,714185
ap_ops,9,4218938,0.4061119725454209,0.12641935885092898,0.006473142811614136,714185
single_memory,9,4218938,0.40620707202898243,0.1264439426277799,0.007182232207367448,714185
no_slope,9,4218938,0.4065334716861879,0.12651029329595648,0.010585256358196998,714185
