method,day,n,log_loss,brier,ece,clicks
long_only,7,5287222,0.3759412394959281,0.11541204144496087,0.019110944611133482,804622
long_only,8,3832608,0.3855244834462909,0.11891941734756126,0.009297112414527223,600041
long_only,9,4218938,0.4067057346792158,0.12652975274145972,0.011082703123478716,714185
ops,7,5287222,0.37418367967710026,0.1151058024461182,0.009832040027305856,804622
ops,8,3832608,0.38526151579763857,0.11889556338828469,0.007239071539504038,600041
ops,9,4218938,0.4063019757990035,0.1264602340445825,0.008660308112240103,714185
dualtime,7,5287222,0.3744895837150657,0.11514379788168673,0.011382241006659768,804622
dualtime,8,3832608,0.38539161876968836,0.11891008834274783,0.008283203606400693,600041
dualtime,9,4218938,0.40640714638159586,0.12647023501257992,0.009645208390429696,714185
frozen_v5,7,5287222,0.37411336018448305,0.11517129292926842,0.008551752976015441,804622
frozen_v5,8,3832608,0.3855017492239082,0.11897053435426228,0.006503764269706148,600041
frozen_v5,9,4218938,0.40658048941667624,0.12654837045632059,0.0059764636376869055,714185
