method,day,n,log_loss,brier,ece,clicks
expanding,7,5287222,0.3740301777657669,0.11507945743982814,0.013016052066437609,804622
expanding,8,3832608,0.3857524803748667,0.11896349206695819,0.010037447741207624,600041
expanding,9,4218938,0.40636388813410224,0.12643362691702514,0.010477329811714887,714185
best_fixed,7,5287222,0.3754848065813655,0.11531909039548734,0.0152191104802043,804622
best_fixed,8,3832608,0.38551828895878737,0.11891439639460741,0.01011033581639453,600041
best_fixed,9,4218938,0.4061402592247081,0.1264191746135965,0.011880218616635485,714185
arw,7,5287222,0.3740301777657669,0.11507945743982814,0.013016052066437609,804622
arw,8,3832608,0.38551828895878737,0.11891439639460741,0.01011033581639453,600041
arw,9,4218938,0.4061402592247081,0.1264191746135965,0.011880218616635485,714185
adamoe,7,5287222,0.3739601719685252,0.1150098640912036,0.016074178682697022,804622
adamoe,8,3832608,0.3853778357021791,0.11887979411027806,0.009991852417414836,600041
adamoe,9,4218938,0.4061556558377176,0.1264020172507327,0.011312603527956313,714185
ops,7,5287222,0.3743081888644871,0.1151450681363869,0.010508648225887832,804622
ops,8,3832608,0.3852596767313161,0.11889383962234078,0.006962456003290848,600041
ops,9,4218938,0.4057741465579025,0.12636581306959782,0.00975088714690366,714185
dualtime,7,5287222,0.3744524325778813,0.11514267684106448,0.011503330813594956,804622
dualtime,8,3832608,0.3853796636643465,0.11890455890967563,0.008220329209487207,600041
dualtime,9,4218938,0.40589670381746984,0.12638487719522606,0.010010756817705068,714185
