label,baseline,method,n_days,mean_delta_daywt,median_delta,imp_wt_delta,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days_lost,n_days_tied,frac_days_won,sign_test_p,sign_test_p_notie,sign_test_p_floor,mbb_ci_lo,mbb_ci_hi,loo_reverses_sign,per_seed_spread
"Avazu rolling-origin (5 origins, days 5-9)",expanding,adamoe,5,-0.00033512454739882404,-0.00029701737005338735,-0.0003005713997770344,-0.0005496957295556438,-0.00015050571391996836,True,5,0,0,1.0,0.0625,0.0625,0.0625,-0.0005167106654404563,-0.00021006353660807386,False,0.00011515575704730275
"Avazu rolling-origin (5 origins, days 5-9)",expanding,arw,5,-3.2866245663776275e-05,-4.782883680276573e-06,0.0001222547391709861,-0.0008831706039322707,0.0008759975060113945,False,3,1,1,0.6,1.0,0.625,0.0625,-0.0006338555043327032,0.0005819261636126561,True,0.00030279061741183004
"Avazu rolling-origin (5 origins, days 5-9)",expanding,best_fixed,5,1.6976139000723923e-05,0.0,0.00017340556986762467,-0.0008374436578415745,0.0009207537488105655,False,2,2,1,0.4,1.0,1.0,0.0625,-0.0006287834890228439,0.00058604160218646,True,0.00030279061741183004
"Avazu rolling-origin (5 origins, days 5-9)",expanding,dualtime,5,-0.0003492839721392915,-0.0005433057659083307,-0.0002760785575776905,-0.0006681577704877317,0.00010575836149384621,False,4,1,0,0.8,0.375,0.375,0.0625,-0.0006180434413841307,5.1063170375886815e-05,False,5.6887876647138114e-05
"Avazu rolling-origin (5 origins, days 5-9)",expanding,long_only,5,-1.7796607461118e-05,-0.0002969755006705377,0.00011071605099628441,-0.0005499794749555864,0.0008019635485423504,False,4,1,0,0.8,0.375,0.375,0.0625,-0.0004894695622850387,0.0006990604651040177,True,0.000267754340100268
"Avazu rolling-origin (5 origins, days 5-9)",expanding,ops,5,-0.0004581809909850687,-0.0006741629820825601,-0.0003953108828205663,-0.0007631608956024438,-5.806901481280047e-05,True,4,1,0,0.8,0.375,0.375,0.0625,-0.0006933796048555263,-0.00012785030555971798,False,4.0747215980740936e-05
"Avazu rolling-origin (5 origins, days 5-9)",long_only,adamoe,5,-0.000317327939937706,8.676049567668542e-08,-0.0004112874507733189,-0.0009523884556522199,3.094713756479628e-07,False,2,3,0,0.4,1.0,1.0,0.0625,-0.0009523627296765147,2.286645655491526e-07,True,0.00015259858305296527
"Avazu rolling-origin (5 origins, days 5-9)",long_only,arw,5,-1.5069638202658275e-05,0.00013975481298550418,1.1538688174701706e-05,-0.00037586069213128013,0.00023208028917450773,False,1,3,1,0.2,0.375,0.625,0.0625,-0.00037586069213128013,0.00016919201410049435,True,8.706166930354531e-05
"Avazu rolling-origin (5 origins, days 5-9)",long_only,best_fixed,5,3.477274646184192e-05,0.00016033200585452434,6.268951887134028e-05,-0.00037112298992357794,0.0003276496199297041,False,1,3,1,0.2,0.375,0.625,0.0625,-0.00037586069213128013,0.0002729922220032988,True,9.750176200155058e-05
"Avazu rolling-origin (5 origins, days 5-9)",long_only,dualtime,5,-0.0003314873646781735,-0.00019122189396286737,-0.0003867946085739749,-0.0006747879292265724,-9.621160334615242e-05,True,5,0,0,1.0,0.0625,0.0625,0.0625,-0.000647997294728131,-7.487100184819795e-05,False,0.000226793681653048
"Avazu rolling-origin (5 origins, days 5-9)",long_only,expanding,5,1.7796607461118e-05,0.0002969755006705377,-0.00011071605099628441,-0.0008019635485423504,0.0005499794749555864,False,1,4,0,0.2,0.375,0.375,0.0625,-0.0006990604651040177,0.0004894695622850387,True,0.000267754340100268
"Avazu rolling-origin (5 origins, days 5-9)",long_only,ops,5,-0.0004403843835239507,-0.0003418147250199288,-0.0005060269338168507,-0.0008497542821856108,-0.00014036630580731567,True,5,0,0,1.0,0.0625,0.0625,0.0625,-0.0008269107706637358,-9.611128168576232e-05,False,0.00022700712411952704
