method,day,n,log_loss,brier,ece,clicks
expanding,5,3835892,0.42578249892286796,0.13488025608178156,0.010384786629745341,702156
best_fixed,5,3835892,0.42578249892286796,0.13488025608178156,0.010384786629745341,702156
arw,5,3835892,0.42578249892286796,0.13488025608178156,0.010384786629745341,702156
adamoe,5,3835892,0.4255210507617006,0.1347683849593948,0.009758035712343282,702156
long_only,5,3835892,0.42552106906945175,0.13476839324619025,0.00975725258403866,702156
ops,5,3835892,0.425474536747797,0.13475670872631784,0.009555620125047348,702156
dualtime,5,3835892,0.42544790060806276,0.13473464027624993,0.009851455023804667,702156
expanding,6,3225010,0.4184718878772891,0.13253464879933527,0.009079969125203,585643
best_fixed,6,3225010,0.4170111364774388,0.13200076193951338,0.008709119815347234,585643
arw,6,3225010,0.4170111364774388,0.13200076193951338,0.008709119815347234,585643
adamoe,6,3225010,0.4177052736686653,0.13227000277270604,0.008054578846908194,585643
long_only,6,3225010,0.41770498019652214,0.13226989824765795,0.008054478241919209,585643
ops,6,3225010,0.4175834846491611,0.13224189317284532,0.008056069300384097,585643
dualtime,6,3225010,0.4176456790994854,0.13225286677435835,0.0077426162675744165,585643
expanding,7,5287222,0.3740301777657669,0.11507945743982814,0.013016052066437609,804622
best_fixed,7,5287222,0.3754848065813655,0.11531909039548734,0.0152191104802043,804622
arw,7,5287222,0.3754848065813655,0.11531909039548734,0.0152191104802043,804622
adamoe,7,5287222,0.3739601719685252,0.1150098640912036,0.016074178682697022,804622
long_only,7,5287222,0.3754848065813655,0.11531909039548734,0.0152191104802043,804622
ops,7,5287222,0.3743081888644871,0.1151450681363869,0.010508648225887832,804622
dualtime,7,5287222,0.3744524325778813,0.11514267684106448,0.011503330813594956,804622
expanding,8,3832608,0.3857524803748667,0.11896349206695819,0.010037447741207624,600041
best_fixed,8,3832608,0.3855800205373945,0.11893479297664938,0.009529540074416244,600041
arw,8,3832608,0.38551828895878737,0.11891439639460741,0.01011033581639453,600041
adamoe,8,3832608,0.38537770111822994,0.1188797602709024,0.009992727005923293,600041
long_only,8,3832608,0.38537767258255345,0.1188797530953172,0.009993607259188724,600041
ops,8,3832608,0.3849456540596284,0.11883054930676532,0.007212461241628035,600041
dualtime,8,3832608,0.38508877797221025,0.11884156475083772,0.008674764026728978,600041
expanding,9,4218938,0.40636388813410224,0.12643362691702514,0.010477329811714887,714185
best_fixed,9,4218938,0.40682616341606864,0.12655170976841534,0.012387099002358752,714185
arw,9,4218938,0.4061402592247081,0.1264191746135965,0.011880218616635485,714185
adamoe,9,4218938,0.4061556535359436,0.12640201614021512,0.0113119182233922,714185
long_only,9,4218938,0.40615562169511416,0.12640201130385917,0.011312914724137653,714185
ops,9,4218938,0.4057695678113434,0.12633896676566292,0.009186566509198227,714185
dualtime,9,4218938,0.405898364465145,0.12635813521050682,0.009808907343134627,714185
