ons_lam,ons_eta,eta_m,tau,mean_dev_loss,mean_worst_day
0.1,0.25,1.0,4.0,0.6094711522859404,0.6166552083191609
0.1,0.25,10.0,4.0,0.6094712968989193,0.6166548430925166
0.1,0.25,100.0,4.0,0.6094718958219394,0.6166515451639653
0.1,0.25,1.0,16.0,0.6094731596293975,0.6166563716162496
0.1,0.25,10.0,16.0,0.6094740232426551,0.616655631965377
0.1,0.25,1.0,64.0,0.6094773101356766,0.6166597442605496
0.1,0.25,10.0,64.0,0.6094777688180217,0.6166588503781355
0.1,0.25,100.0,16.0,0.609483046306462,0.616648608506415
0.1,0.25,10.0,inf,0.6094844573169104,0.6166616445887739
0.1,0.25,1.0,inf,0.6094851453429361,0.616662511327705
0.1,0.25,100.0,64.0,0.6094870836383365,0.6166497069768783
0.1,0.25,100.0,inf,0.6094870871365042,0.616653006627592
1.0,1.0,1.0,4.0,0.6094920042156683,0.6166711917224207
1.0,1.0,10.0,4.0,0.6094921157508685,0.616671679710718
1.0,4.0,1.0,64.0,0.6094922856398397,0.6166768719188228
1.0,4.0,1.0,inf,0.6094924167264265,0.6166742609821873
1.0,1.0,100.0,4.0,0.6094928889113351,0.6166767689601277
1.0,1.0,1.0,16.0,0.6094938108404686,0.6166714134903089
1.0,1.0,10.0,16.0,0.609494667164834,0.6166729760184868
1.0,4.0,1.0,16.0,0.6094955425029502,0.6166849439467806
1.0,4.0,1.0,4.0,0.6094962599627762,0.6166933718799813
1.0,1.0,1.0,64.0,0.6094979205386254,0.616673825141065
1.0,4.0,10.0,4.0,0.6094986245751514,0.616698085532987
1.0,1.0,10.0,64.0,0.6094993080266956,0.6166762759018339
1.0,4.0,10.0,16.0,0.6095010754207494,0.6166918097577413
1.0,1.0,100.0,16.0,0.6095033715213264,0.6166892037237099
1.0,4.0,10.0,64.0,0.60950511223389,0.6166880556081069
1.0,1.0,1.0,inf,0.6095055232104708,0.6166760934001311
1.0,4.0,100.0,4.0,0.6095074090726033,0.6167154178693994
1.0,1.0,10.0,inf,0.6095078211693347,0.6166791634524941
1.0,1.0,100.0,64.0,0.6095120270138079,0.6167003431534542
0.01,0.25,10.0,64.0,0.609521200887768,0.6166875314004788
1.0,4.0,10.0,inf,0.6095222298571242,0.6166897274344247
0.01,0.25,100.0,16.0,0.6095246579835594,0.6166965164117264
0.01,0.25,10.0,inf,0.6095255591066213,0.6166789885220888
0.01,0.25,100.0,4.0,0.6095258892522369,0.6167179624713609
1.0,4.0,100.0,16.0,0.6095282673508069,0.6167230691911897
1.0,1.0,100.0,inf,0.6095305377889383,0.6167086224074763
0.1,1.0,10.0,64.0,0.6095316994816693,0.6167098607492588
0.1,1.0,100.0,16.0,0.6095349783899437,0.6167055836534943
0.01,0.25,100.0,64.0,0.6095431343810475,0.6166937803440075
0.1,1.0,10.0,inf,0.6095435681795444,0.6167075788158787
0.1,1.0,100.0,4.0,0.609544770727371,0.6167213806909227
1.0,4.0,100.0,64.0,0.6095479454142284,0.6167135403656063
0.01,0.25,10.0,16.0,0.6095479801455176,0.6167112296327402
0.01,0.25,1.0,inf,0.609549253840648,0.6166960565473417
