method,day,n,log_loss,brier,ece,clicks
ops,16,477680,0.6096349344506448,0.21075141715610035,0.0070357105555728505,178684
reset_ons,16,477680,0.6094188086161041,0.2106633486040411,0.00584576572749872,178684
persistent_ons,16,477680,0.6094139038162275,0.21066111368588022,0.005941287546334852,178684
ap_ops,16,477680,0.6094106542644888,0.21066006354068212,0.006121875541901707,178684
no_slope,16,477680,0.6096642155956625,0.2107442121476655,0.010202833327514541,178684
ops,17,450258,0.6167413014176398,0.2139223584761841,0.005816258932929208,172509
reset_ons,17,450258,0.6165790779028627,0.2138632219979056,0.005358249084441978,172509
persistent_ons,17,450258,0.6165759152906737,0.21386219035102014,0.005322666050650979,172509
ap_ops,17,450258,0.616574679420423,0.213861367727594,0.005350982578987281,172509
no_slope,17,450258,0.6166133815272185,0.21387163071587567,0.006252085529518916,172509
ops,18,538532,0.6155098833788211,0.2133601360627173,0.006677761678910851,204091
reset_ons,18,538532,0.615418966168389,0.21332622193618356,0.0059214301137782525,204091
persistent_ons,18,538532,0.6154162858799697,0.2133252854244414,0.005868008383695468,204091
ap_ops,18,538532,0.6154101821163857,0.2133221444415482,0.005983710986731374,204091
no_slope,18,538532,0.6154273715158204,0.21332320494047485,0.006747594414141855,204091
ops,19,582350,0.6050339543511578,0.20867352026334413,0.004713397544681128,212241
reset_ons,19,582350,0.604879321882005,0.20861990322537852,0.0046839738779277645,212241
persistent_ons,19,582350,0.6048759193659176,0.20861854013079512,0.004625121608671367,212241
ap_ops,19,582350,0.6048771456349029,0.20861805800879307,0.004551874577088184,212241
no_slope,19,582350,0.605146737616133,0.20870367532332862,0.00879190650778964,212241
ops,20,552965,0.6065834069737452,0.2093317249192043,0.005144653919724892,202913
reset_ons,20,552965,0.6064974698552725,0.20930461751169632,0.004966405131205116,202913
persistent_ons,20,552965,0.6064977277484008,0.2093050029384236,0.004922427466238285,202913
ap_ops,20,552965,0.6064887422582773,0.20929996857049524,0.004873108272984098,202913
no_slope,20,552965,0.6065661493294783,0.20932340954631384,0.006770884060589457,202913
ops,21,562085,0.6058720060478403,0.2090306030557735,0.006867413565890232,205782
