method,day,n,log_loss,brier,ece,clicks
current_ops,16,477680,0.6095814229516514,0.2107339741970438,0.007423944641535993,178684
ap_ops,16,477680,0.6094203376593613,0.21067210990831906,0.006868366098980487,178684
single_memory,16,477680,0.609421544922281,0.21067228270698268,0.0066170352789932975,178684
no_slope,16,477680,0.6096549273428359,0.21074889993438184,0.009884423616240517,178684
current_ops,17,450258,0.6167126525194905,0.21390906397827977,0.005707819571398956,172509
ap_ops,17,450258,0.6166527588641108,0.21388937863122312,0.005308483918886134,172509
single_memory,17,450258,0.616634941464665,0.21388454876381113,0.00533558756971389,172509
no_slope,17,450258,0.616633038459085,0.21387684301355236,0.006416614329023181,172509
current_ops,18,538532,0.615577678239366,0.2133930359050952,0.006913144621920141,204091
ap_ops,18,538532,0.6154575166495097,0.2133478996573473,0.006592507186126169,204091
single_memory,18,538532,0.6154618962074244,0.21335014686996456,0.006354144948909088,204091
no_slope,18,538532,0.6154928611293912,0.21335460249499666,0.007137732261815442,204091
current_ops,19,582350,0.605025589407303,0.20866838623020448,0.0048311275285881725,212241
ap_ops,19,582350,0.6049288967532543,0.20863571743946052,0.00437382715172401,212241
single_memory,19,582350,0.6049316799832452,0.20863744581558938,0.004491389093254408,212241
no_slope,19,582350,0.6052507025476441,0.20874199181108868,0.009722874159511988,212241
current_ops,20,552965,0.6065414721343259,0.20931713496077395,0.005618973747911751,202913
ap_ops,20,552965,0.6064395850062236,0.20928270974333738,0.005233850623903943,202913
single_memory,20,552965,0.6064560247446582,0.20929139788741655,0.005079738354283883,202913
no_slope,20,552965,0.6066063733883899,0.2093373346461309,0.00803351294569975,202913
current_ops,21,562085,0.6058453591767538,0.20901835995581544,0.007164159662811571,205782
ap_ops,21,562085,0.6057070821647771,0.2089717852372679,0.006020192002309664,205782
single_memory,21,562085,0.6056955110205259,0.20897293614719925,0.0056670595225729245,205782
no_slope,21,562085,0.6059220333816767,0.20904481077047918,0.010207416238678334,205782
current_ops,22,528347,0.6076327579869746,0.20987620856452976,0.005565108133400693,195055
ap_ops,22,528347,0.6075647589906288,0.2098494748239995,0.005582832225590691,195055
single_memory,22,528347,0.607583728407718,0.20985579344825772,0.005741318605096456,195055
no_slope,22,528347,0.6076571926105415,0.2098714716329442,0.006833869834644516,195055
current_ops,23,506792,0.6077088062550338,0.209946263497984,0.007711269899321999,186589
ap_ops,23,506792,0.6075422190118952,0.20988450540432735,0.006719076757904447,186589
single_memory,23,506792,0.6075187187413063,0.20987535714487857,0.006290923906175107,186589
no_slope,23,506792,0.6077024126369301,0.20993078803640008,0.008056382111847392,186589
current_ops,24,436408,0.6138179200919894,0.21270207038501351,0.007413730282768613,164916
ap_ops,24,436408,0.6137595687668341,0.212682152366842,0.00677570732325949,164916
single_memory,24,436408,0.6137853984758103,0.212693289203095,0.006919306793018923,164916
no_slope,24,436408,0.6137962197223045,0.21268596416317187,0.007929534505161458,164916
current_ops,25,507128,0.6114023494132043,0.21155528305597662,0.007352245666791449,188189
ap_ops,25,507128,0.6113682084011369,0.2115468805370018,0.006988644308245618,188189
single_memory,25,507128,0.6113696771375933,0.21155046318145249,0.006559753688509557,188189
no_slope,25,507128,0.6113737632819257,0.21154308755882278,0.007795706831541554,188189
current_ops,26,581336,0.5990311275423928,0.20604700077454344,0.006896351188342567,206145
ap_ops,26,581336,0.5989455313721022,0.20601677626533382,0.0065039789747722955,206145
single_memory,26,581336,0.5989324235666648,0.2060126273466194,0.006511408730780335,206145
no_slope,26,581336,0.599184967849197,0.20609406047895068,0.00907236345892355,206145
current_ops,27,518487,0.6022470939017162,0.20746449044175672,0.006136470098491936,185940
ap_ops,27,518487,0.6020594541790354,0.20739993897512013,0.005901558260681719,185940
single_memory,27,518487,0.6019566361964039,0.2073645781081258,0.005907209306385563,185940
no_slope,27,518487,0.6021740262725398,0.20743385125400374,0.0078095130269486375,185940
current_ops,28,459375,0.6066384047199637,0.20941825046995302,0.007030116821146574,168527
ap_ops,28,459375,0.606493831576001,0.20936739252467984,0.006334630977142187,168527
single_memory,28,459375,0.6064590895515269,0.2093597811278678,0.006163240937917897,168527
no_slope,28,459375,0.6067461460039901,0.20945645129257381,0.010171788450426919,168527
current_ops,29,493827,0.6078080821441894,0.21000789674815587,0.008191356699273136,185143
ap_ops,29,493827,0.6076156149580476,0.2099372853255805,0.007426907142801567,185143
single_memory,29,493827,0.6076068785111337,0.2099359543983744,0.007130980120199615,185143
no_slope,29,493827,0.6078829081549108,0.210025738064121,0.010684685931394718,185143
current_ops,30,468451,0.6087199344714627,0.21041873943302625,0.007467571874796646,176695
ap_ops,30,468451,0.6085287602444055,0.2103545187427292,0.006838881734292507,176695
single_memory,30,468451,0.608531610562402,0.21035858487535086,0.006718800448538802,176695
no_slope,30,468451,0.6087375052652858,0.21041661697903513,0.01026059382275593,176695
