method,day,n,log_loss,brier,ece,clicks
long_only,22,528347,0.6076915718702043,0.20987604423186934,0.007757600384937236,195055
long_only,23,506792,0.6077455332289985,0.20994404978416498,0.007006108754109242,186589
long_only,24,436408,0.6141059895294976,0.21284351424098857,0.011781027481606003,164916
long_only,25,507128,0.6113741290864151,0.21156320170740384,0.008623432228371152,188189
long_only,26,581336,0.5994809673839936,0.20617367055308175,0.010629183166628774,206145
long_only,27,518487,0.6022179271175262,0.20745270640189573,0.007790869016280997,185940
long_only,28,459375,0.6067656513871347,0.20948137783608503,0.009627721952692486,168527
long_only,29,493827,0.6082298124449806,0.2102203547517355,0.015188929998297641,185143
long_only,30,468451,0.6088987153818894,0.21049880938835097,0.012008531704949294,176695
ops,22,528347,0.6075754095310785,0.20984807302876993,0.005335213525124034,195055
ops,23,506792,0.6077390114579999,0.20995586024855364,0.007446280953176441,186589
ops,24,436408,0.6138537253839915,0.21271721956213208,0.006268308172778035,164916
ops,25,507128,0.611388251610369,0.21155146954013299,0.0076573735896699,188189
ops,26,581336,0.5989949447566735,0.20602774349910521,0.007228365181633728,206145
ops,27,518487,0.6023277261108281,0.20749455762633867,0.005866777285042931,185940
ops,28,459375,0.6065888876298491,0.20940229018777476,0.00731166889977966,168527
ops,29,493827,0.6077520897704798,0.20997923518927805,0.00830582109849604,185143
ops,30,468451,0.608686491062063,0.2104016816568704,0.007571346492524782,176695
dualtime,22,528347,0.6076196468171547,0.20985728093872333,0.005844226196031255,195055
dualtime,23,506792,0.6077763785999211,0.20996286010979673,0.0060973180983170255,186589
dualtime,24,436408,0.6138922767329168,0.21273470373548642,0.0070385863874069445,164916
dualtime,25,507128,0.6115027270007368,0.21161147443915415,0.007922765579513519,188189
dualtime,26,581336,0.5992150469841304,0.20609141175710272,0.006605510021122069,206145
dualtime,27,518487,0.6023525028712527,0.20751741290336445,0.006384299272313707,185940
dualtime,28,459375,0.6066991961729179,0.20944300911850458,0.007888718616960005,168527
dualtime,29,493827,0.6078193067364961,0.2100143808049574,0.008707818374354944,185143
dualtime,30,468451,0.6087015786182695,0.21040829455239082,0.008307230388761263,176695
frozen_v5,22,528347,0.6076915718012984,0.20987604420508899,0.007757600289571877,195055
frozen_v5,23,506792,0.6077455332232456,0.2099440497801606,0.007006108869367253,186589
frozen_v5,24,436408,0.6141059896713759,0.21284351429415502,0.011781027380373149,164916
frozen_v5,25,507128,0.6113741290787011,0.2115632017031495,0.008623432315590665,188189
frozen_v5,26,581336,0.5994809675019624,0.20617367059770714,0.010629183213958863,206145
frozen_v5,27,518487,0.6022179270782538,0.20745270638204183,0.007790868957023119,185940
frozen_v5,28,459375,0.6067656514305088,0.20948137784862988,0.009627721957122406,168527
frozen_v5,29,493827,0.6082298124141786,0.21022035474234768,0.015188929956931762,185143
frozen_v5,30,468451,0.6088987153603619,0.21049880937096696,0.012008531768175967,176695
