method,day,n,log_loss,brier,ece,clicks
expanding,22,528347,0.6086759614366732,0.2103279350386236,0.013846549929366405,195055
expanding,23,506792,0.6086227025824328,0.2103260389877022,0.009922522603521928,186589
expanding,24,436408,0.61538893995025,0.21340885687313504,0.01938021656803825,164916
expanding,25,507128,0.612566413588818,0.21209318278687908,0.014083216568903103,188189
expanding,26,581336,0.6001643849618488,0.20646901843859242,0.010239621738740021,206145
expanding,27,518487,0.6029839876611855,0.20777679643701072,0.01105252570222784,185940
expanding,28,459375,0.6074301504522693,0.20973242483825072,0.01007414934827191,168527
expanding,29,493827,0.6090457943990562,0.21054766223156848,0.014352165147913154,185143
expanding,30,468451,0.610170851931896,0.21106325324567113,0.01542503667505005,176695
best_fixed,22,528347,0.607978433716579,0.21004204767885515,0.011224352980367253,195055
best_fixed,23,506792,0.6082233850397633,0.21013389850713504,0.013396848282025848,186589
best_fixed,24,436408,0.6141002604256232,0.21280975278168396,0.007648240988200744,164916
best_fixed,25,507128,0.6115413859057467,0.21164345742034565,0.008399139661474344,188189
best_fixed,26,581336,0.5993511962884995,0.20614958985685966,0.009584939714375563,206145
best_fixed,27,518487,0.602416693271887,0.20754280952983362,0.00828551696107466,185940
best_fixed,28,459375,0.6073751225619626,0.20971279967679327,0.01375204353175036,168527
best_fixed,29,493827,0.6080161391339657,0.21010479459316533,0.010890693603440886,185143
best_fixed,30,468451,0.6090835600102459,0.21059728028331842,0.011835307805806449,176695
arw,22,528347,0.607978433716579,0.21004204767885515,0.011224352980367253,195055
arw,23,506792,0.6082233850397633,0.21013389850713504,0.013396848282025848,186589
arw,24,436408,0.6139733245251375,0.21276557668963517,0.007061839163332538,164916
arw,25,507128,0.6116031740755418,0.21165817600138923,0.006384778346722854,188189
arw,26,581336,0.5996484203261633,0.20624846867971613,0.01068365090529444,206145
arw,27,518487,0.602416693271887,0.20754280952983362,0.00828551696107466,185940
arw,28,459375,0.6073751225619626,0.20971279967679327,0.01375204353175036,168527
arw,29,493827,0.6080161391339657,0.21010479459316533,0.010890693603440886,185143
arw,30,468451,0.6090835600102459,0.21059728028331842,0.011835307805806449,176695
adamoe,22,528347,0.6077593294834746,0.2099269383039514,0.008763377034999954,195055
adamoe,23,506792,0.6077954856776994,0.20995890972882558,0.007513451949393248,186589
adamoe,24,436408,0.6139378974359749,0.21275220152087632,0.008505066789983279,164916
adamoe,25,507128,0.611475013249642,0.21161137907554334,0.00919834805523318,188189
adamoe,26,581336,0.599341361940532,0.20612072952192514,0.0097695455274076,206145
adamoe,27,518487,0.6021866421060502,0.20745037880418396,0.009153903456260253,185940
adamoe,28,459375,0.6068160140058935,0.20948214612450597,0.010071849150260642,168527
adamoe,29,493827,0.60814284223744,0.21017207209360075,0.013631481626455175,185143
adamoe,30,468451,0.6089952360027685,0.21055731028010333,0.013762257804235943,176695
ops,22,528347,0.6076236188122446,0.20987400892393074,0.005381579259302227,195055
ops,23,506792,0.6077392772327297,0.20995799084631492,0.00714903000346031,186589
ops,24,436408,0.613836094701963,0.2127044424988794,0.006787951417971539,164916
ops,25,507128,0.6114508611115871,0.21158104037607675,0.007606323545721042,188189
ops,26,581336,0.5989307120790877,0.20600355345573462,0.007980570189732557,206145
ops,27,518487,0.6022829713190812,0.20747933941255495,0.006314686077974656,185940
ops,28,459375,0.6066125901891113,0.20940873432053875,0.006905544925647849,168527
ops,29,493827,0.607785686457177,0.20999601426546632,0.008259405045690612,185143
ops,30,468451,0.6086865981841074,0.21040305911771173,0.007663530940217115,176695
dualtime,22,528347,0.6077456397156128,0.20991790794341708,0.006206853981608661,195055
dualtime,23,506792,0.607837461824994,0.209988849680237,0.006451456311205931,186589
dualtime,24,436408,0.6139040364990795,0.21272730293801248,0.007516680089224231,164916
dualtime,25,507128,0.611630117806197,0.2116667635431546,0.007545480816983412,188189
dualtime,26,581336,0.5991841768453259,0.20608612655991249,0.007665662292053543,206145
dualtime,27,518487,0.6023331910745295,0.20751717262582917,0.00728707196428614,185940
dualtime,28,459375,0.6067671390146697,0.20946121058991277,0.008296034818993195,168527
dualtime,29,493827,0.6080119587621255,0.21009445402593446,0.00993674700529646,185143
dualtime,30,468451,0.608839295993603,0.21046845279482893,0.009513945980679344,176695
