seed,outer_day,inner_days,mix_eta,mix_halflife,best_fixed_h,arw_delta,adamoe_lambda,ops_B,ops_eta0,dualtime_B_w
0,16,13;14;15,10.0,10.0,roll7,0.05,0.0,0.25,0.3,2.0
0,17,14;15;16,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
0,18,15;16;17,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
0,19,16;17;18,1000000.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
0,20,17;18;19,1000000.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
0,21,18;19;20,1000000.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
0,22,19;20;21,150.0,3.0,roll7,0.05,0.5,0.25,0.3,2.0
0,23,20;21;22,150.0,3.0,roll7,0.05,0.5,0.25,0.3,2.0
0,24,21;22;23,150.0,3.0,roll7,0.05,0.75,0.25,0.3,2.0
0,25,22;23;24,150.0,3.0,roll7,0.05,0.75,0.25,0.3,2.0
0,26,23;24;25,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
0,27,24;25;26,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
0,28,25;26;27,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
0,29,26;27;28,150.0,3.0,roll7,0.05,0.75,0.25,0.3,2.0
0,30,27;28;29,150.0,3.0,roll7,0.05,0.75,0.25,0.3,2.0
1,16,13;14;15,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
1,17,14;15;16,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
1,18,15;16;17,1000000.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
1,19,16;17;18,1000000.0,3.0,roll3,0.05,0.0,0.25,0.3,2.0
1,20,17;18;19,1000000.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
1,21,18;19;20,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
1,22,19;20;21,150.0,3.0,roll7,0.05,0.75,0.25,0.3,2.0
1,23,20;21;22,150.0,3.0,roll7,0.05,0.75,0.25,0.3,2.0
1,24,21;22;23,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
1,25,22;23;24,150.0,3.0,roll3,0.05,0.75,0.25,0.3,2.0
1,26,23;24;25,150.0,3.0,roll3,0.05,0.0,0.25,0.3,2.0
1,27,24;25;26,1000000.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
1,28,25;26;27,150.0,5.0,roll7,0.05,0.0,0.25,0.3,2.0
1,29,26;27;28,30.0,10.0,roll7,0.05,0.99,0.25,0.3,2.0
1,30,27;28;29,150.0,5.0,roll3,0.05,0.75,0.25,0.3,2.0
2,16,13;14;15,1000000.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
2,17,14;15;16,10.0,3.0,roll7,0.05,0.99,0.25,0.3,2.0
2,18,15;16;17,10.0,3.0,roll3,0.05,0.0,0.25,0.3,2.0
2,19,16;17;18,150.0,3.0,roll3,0.05,0.0,0.25,0.3,2.0
2,20,17;18;19,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
2,21,18;19;20,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
2,22,19;20;21,150.0,3.0,roll7,0.05,0.25,0.25,0.3,2.0
2,23,20;21;22,150.0,3.0,roll7,0.05,0.5,0.25,0.3,2.0
2,24,21;22;23,150.0,3.0,roll3,0.05,0.0,0.25,0.3,2.0
2,25,22;23;24,150.0,3.0,roll3,0.05,0.0,0.25,0.3,2.0
2,26,23;24;25,150.0,3.0,roll3,0.05,0.0,0.25,0.3,2.0
2,27,24;25;26,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
2,28,25;26;27,150.0,3.0,roll7,0.05,0.0,0.25,0.3,2.0
2,29,26;27;28,150.0,3.0,roll7,0.05,0.5,0.25,0.3,2.0
2,30,27;28;29,150.0,3.0,roll7,0.05,0.75,0.25,0.3,2.0
