method,day,n,log_loss,brier,ece,clicks
expanding,16,477680,0.6114460192241064,0.21158604635026237,0.022822165412859537,178684
best_fixed,16,477680,0.6100244916060643,0.21094453110961764,0.013948670592503484,178684
arw,16,477680,0.6100244916060643,0.21094453110961764,0.013948670592503484,178684
adamoe,16,477680,0.6100253731038741,0.21094151552231336,0.014910746990481031,178684
long_only,16,477680,0.6100237329223124,0.21094082974862707,0.014878814128999008,178684
ops,16,477680,0.6095814229516514,0.2107339741970438,0.007423944641535993,178684
dualtime,16,477680,0.6097454201413236,0.2107972148849086,0.009128872278698033,178684
expanding,17,450258,0.6191332884684798,0.21502445274168336,0.02853481804410394,172509
best_fixed,17,450258,0.6170896861195407,0.21410573237584082,0.013360813979391114,172509
arw,17,450258,0.6170896861195407,0.21410573237584082,0.013360813979391114,172509
adamoe,17,450258,0.6173917526473905,0.21425025380227325,0.018469405680319823,172509
long_only,17,450258,0.6173690760341816,0.214239978809719,0.018260446035366105,172509
ops,17,450258,0.6167126525194905,0.21390906397827977,0.005707819571398956,172509
dualtime,17,450258,0.616879115557288,0.2140006368571923,0.006186956105800424,172509
expanding,18,538532,0.6168589850794923,0.21398793902310678,0.018097982178042028,204091
best_fixed,18,538532,0.6164641026516364,0.2138219660626128,0.01869500768664501,204091
arw,18,538532,0.6164641026516364,0.2138219660626128,0.01869500768664501,204091
adamoe,18,538532,0.6163639669647595,0.21378160762210147,0.018802812196750292,204091
long_only,18,538532,0.6164641026516364,0.2138219660626128,0.01869500768664501,204091
ops,18,538532,0.6156791913345043,0.21343556201522035,0.006633314875428251,204091
dualtime,18,538532,0.6157704947460148,0.2134801737874701,0.0070545943612127585,204091
expanding,19,582350,0.6058770520131638,0.2090357366592545,0.013133765183850368,212241
best_fixed,19,582350,0.6063637583166391,0.20918398518149947,0.019107776459582792,212241
arw,19,582350,0.6053123430724372,0.20876636791166675,0.007933850114114769,212241
adamoe,19,582350,0.6053278550729997,0.20876187282235292,0.009564044079875088,212241
long_only,19,582350,0.6053123430724372,0.20876636791166675,0.007933850114114769,212241
ops,19,582350,0.6051202729668962,0.20870995942382545,0.003718658936638709,212241
dualtime,19,582350,0.6052688148642816,0.20875562593990585,0.005583385547792264,212241
expanding,20,552965,0.6075018631319351,0.20975319824939623,0.011769683078378923,202913
best_fixed,20,552965,0.6068285612968607,0.2094217620598376,0.008940589723230394,202913
arw,20,552965,0.6068285612968607,0.2094217620598376,0.008940589723230394,202913
adamoe,20,552965,0.6066574492280306,0.20937028978576475,0.00883430116119163,202913
long_only,20,552965,0.6068285612968607,0.2094217620598376,0.008940589723230394,202913
ops,20,552965,0.6066129857745942,0.2093487299520367,0.00455307564486128,202913
dualtime,20,552965,0.6066891513552067,0.20937263920886107,0.006259728380155253,202913
expanding,21,562085,0.6069442569306462,0.2095141743302405,0.014264551145292388,205782
best_fixed,21,562085,0.6060885210319525,0.20910833472320875,0.009039316438200504,205782
arw,21,562085,0.6060885210319525,0.20910833472320875,0.009039316438200504,205782
adamoe,21,562085,0.605991097854422,0.2090685710834605,0.010209403095236871,205782
long_only,21,562085,0.6059837248112442,0.20906476249138833,0.010189862822980573,205782
ops,21,562085,0.6058453591767538,0.20901835995581544,0.007164159662811571,205782
dualtime,21,562085,0.6059241334245331,0.20904531710277727,0.00765146594189231,205782
expanding,22,528347,0.6086285675723723,0.21030677211953297,0.013101104593031727,195055
best_fixed,22,528347,0.6079428180911415,0.20997500592836874,0.007828714102790483,195055
arw,22,528347,0.6079428180911415,0.20997500592836874,0.007828714102790483,195055
adamoe,22,528347,0.6077161246322278,0.20989802179682016,0.006893920488007252,195055
long_only,22,528347,0.6077107575214978,0.2098952523702254,0.006806959854912782,195055
ops,22,528347,0.6076327579869746,0.20987620856452976,0.005565108133400693,195055
dualtime,22,528347,0.6077149367790607,0.20989990435473138,0.005756647369577045,195055
expanding,23,506792,0.6085714392032008,0.21030464175285044,0.010295755793858023,186589
best_fixed,23,506792,0.6082031174808469,0.21012228474480574,0.013069549283659485,186589
arw,23,506792,0.6082031174808469,0.21012228474480574,0.013069549283659485,186589
adamoe,23,506792,0.607829811443536,0.20996441783469316,0.007733074593147145,186589
long_only,23,506792,0.607828427244627,0.20996340185026294,0.007919527981712233,186589
ops,23,506792,0.6077088062550338,0.209946263497984,0.007711269899321999,186589
dualtime,23,506792,0.6077968119261735,0.2099686504011132,0.006624888170315443,186589
expanding,24,436408,0.6155365662640803,0.21347517572546965,0.020026308267561292,164916
best_fixed,24,436408,0.6143470507233031,0.21296010949272387,0.01323460067097476,164916
arw,24,436408,0.6143470507233031,0.21296010949272387,0.01323460067097476,164916
adamoe,24,436408,0.6143654308918824,0.21296907254383596,0.016147829617084,164916
long_only,24,436408,0.6143475503454767,0.21296125469044133,0.016059358672247507,164916
ops,24,436408,0.6138179200919894,0.21270207038501351,0.007413730282768613,164916
dualtime,24,436408,0.6138754962273506,0.2127237675827241,0.00794342253745417,164916
expanding,25,507128,0.612758407397628,0.2121882490685444,0.017363652890642584,188189
best_fixed,25,507128,0.6116733473380134,0.21168726291217088,0.01021494453902099,188189
arw,25,507128,0.6114889712900445,0.21161038307354094,0.007726914183565459,188189
adamoe,25,507128,0.6115806779414852,0.21166158012720335,0.011667296201716585,188189
long_only,25,507128,0.6115584607941429,0.21165128747123274,0.01141277141944744,188189
ops,25,507128,0.6114023494132043,0.21155528305597662,0.007352245666791449,188189
dualtime,25,507128,0.6115775342493889,0.21163972467741607,0.007286492842149855,188189
expanding,26,581336,0.6000305409141455,0.20642555271384866,0.008862687011747772,206145
best_fixed,26,581336,0.60100881677978,0.20684435608972523,0.0234384168673929,206145
arw,26,581336,0.5995073205383428,0.2061934156539003,0.01069143212412388,206145
adamoe,26,581336,0.5996123555154885,0.20623191379291692,0.01198811651761237,206145
long_only,26,581336,0.5996237399945299,0.2062366818241713,0.012233609595273164,206145
ops,26,581336,0.5990311275423928,0.20604700077454344,0.006896351188342567,206145
dualtime,26,581336,0.5992892690133556,0.20613151097784843,0.006724597060184256,206145
expanding,27,518487,0.6029768680310758,0.20777983059015884,0.01163775810878842,185940
best_fixed,27,518487,0.602580465509308,0.2075924554202791,0.012705740603916807,185940
arw,27,518487,0.602580465509308,0.2075924554202791,0.012705740603916807,185940
adamoe,27,518487,0.6021452946098953,0.20742672805535903,0.008429238867506557,185940
long_only,27,518487,0.602580465509308,0.2075924554202791,0.012705740603916807,185940
ops,27,518487,0.6023654710535471,0.20752704993875343,0.005748408794503784,185940
dualtime,27,518487,0.6024204775236369,0.20755876808719395,0.007906369858918067,185940
expanding,28,459375,0.6074785105415562,0.20976803332594435,0.011447979889703409,168527
best_fixed,28,459375,0.6070100625845478,0.20959216682049855,0.00809106542511733,168527
arw,28,459375,0.6070100625845478,0.20959216682049855,0.00809106542511733,168527
