method,log_loss,brier,pr_auc,mean_train_rows,mean_fit_time_s,n_test_days
m5_multiscale_gate,0.6069668268351603,0.2095951678557104,0.5576274063160649,5450740.375,59.27332627773285,8
adamoe,0.6069738816785065,0.2095983119115081,0.5576214680809886,5450740.375,82.10366389155388,8
m5b_high_smooth,0.6069746249905693,0.2095983352912476,0.5575788639429488,5450740.375,67.17898684740067,8
ensemble3,0.6069994640755565,0.20961150694577088,0.5575950503700811,26687731.25,173.678919672966,8
m2_m5_ensemble,0.6070281909487707,0.2096252366335537,0.5575766081557101,21236990.875,94.08720576763152,8
validation_selected(h=rolling_7),0.6071589047500088,0.2096754319807295,0.5570425850423564,3644246.25,9.306707978248596,8
han_arw,0.6071589047500088,0.2096754319807295,0.5570425850423564,3644246.25,10.615312337875366,8
rolling_7,0.6071589047500088,0.2096754319807295,0.5570425850423564,3644246.25,9.306707978248596,8
m1_global_mix,0.6071716423726585,0.2096929255693621,0.5572988262858871,15786250.5,34.81387948989868,8
m2_context_gate,0.6071883991019972,0.2096992349391792,0.5573723556108541,15786250.5,34.81387948989868,8
rolling_14,0.6072745164455127,0.2097202071922944,0.5569625770283454,7319243.875,18.427064031362534,8
rolling_3,0.6073181268854694,0.2097606702961169,0.5568883842601501,1540650.75,3.7818274796009055,8
expanding,0.6080011627183696,0.2100464613847997,0.5563122605843445,14245599.75,38.322596698999405,8
diff_forgetting,0.6080181457633412,0.2100506639185145,0.5562698253277474,14245599.75,552.6802578866482,8
rolling_1,0.6082610903978741,0.2101617899936964,0.5554813898008322,503962.5,0.9760360419750214,8
decay_hl7,0.6087638128438592,0.2103442607017313,0.5548188438003987,14245599.75,38.23798763751984,8
decay_hl3,0.6106119940477958,0.2111159279584376,0.5515054947019276,14245599.75,38.23071825504303,8
decay_hl1,0.6163021502057395,0.2135523396775041,0.542250417779895,14245599.75,36.83443239331245,8
