day,mean_beta,std_beta
4,0.5,0.0
5,0.4481044411659241,0.006585139315575361
6,0.46425101161003113,0.006963552441447973
7,0.4886569380760193,0.0022830949164927006
8,0.48888006806373596,0.0015236858744174242
9,0.4793153405189514,0.0011767735704779625
10,0.4850221276283264,0.0006736564100719988
11,0.5249665975570679,0.0032707909122109413
12,0.5348751544952393,0.0030228649266064167
13,0.5265288352966309,0.0017831543227657676
14,0.5241799354553223,0.0015787811717018485
15,0.5361648797988892,0.002990549197420478
16,0.5232882499694824,0.0022992645390331745
17,0.5385062098503113,0.004371699411422014
18,0.5588353872299194,0.006521169096231461
19,0.5422196984291077,0.004665140062570572
20,0.5481042861938477,0.004799494985491037
21,0.540810763835907,0.0037599734496325254
22,0.521388053894043,0.0018135405844077468
23,0.5362662076950073,0.0031057619489729404
24,0.5210117101669312,0.0018501327140256763
25,0.5267913341522217,0.0026138306129723787
26,0.5303458571434021,0.0032791211269795895
27,0.5305660963058472,0.003353476757183671
28,0.5260451436042786,0.0027547026984393597
29,0.5227475762367249,0.002436115639284253
30,0.5229929089546204,0.002269656164571643
