method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m1_global_mix,5,0.5951866650059956,0.204079981147032,0.5242062191303813,638165,4367709,8.962376356124878
m1_global_mix,6,0.5986304600019833,0.20569535909472159,0.5287792268283134,580979,5114024,10.677111625671387
m1_global_mix,7,0.6000135568857903,0.20630708597734945,0.5313343091124829,546166,5777386,12.042346000671387
m1_global_mix,8,0.6003311021967246,0.20643829903145866,0.5331330633641391,564794,6278538,13.250306844711304
m1_global_mix,9,0.6045964174469927,0.20840257039301577,0.546726546657069,500383,6769961,14.545031547546387
m1_global_mix,10,0.61568612860464,0.2134382166503906,0.5536342638549079,460907,7189748,15.518994331359863
m1_global_mix,11,0.6116025963415307,0.21154503846401498,0.5464757712939954,574411,7565396,16.374560356140137
m1_global_mix,12,0.5982732648824587,0.20546748521594863,0.539442432044688,609323,8149424,17.706199884414673
m1_global_mix,13,0.6029156497764241,0.20760400564459508,0.5456394929364269,553089,8867687,18.924851894378662
m1_global_mix,14,0.6039138633198763,0.20808032126615675,0.5474822898492826,522063,9512958,20.602568864822388
m1_global_mix,15,0.6066589851449512,0.20933158580715555,0.552930617287431,505808,9982673,21.275171518325806
m1_global_mix,16,0.6102063237431855,0.2110188960735004,0.5646776372694828,477680,10384966,22.44745922088623
m1_global_mix,17,0.6174694074618239,0.21429518737042283,0.56802310052726,450258,10787237,23.838806629180908
m1_global_mix,18,0.615933318021859,0.21358189576794478,0.5618096387661307,538532,11165690,24.505805492401123
m1_global_mix,19,0.605769811470779,0.20894379084892487,0.5552544018601997,582350,11736946,25.825291872024536
m1_global_mix,20,0.6068162536728567,0.20944139993415775,0.5569876908383595,552965,12423966,27.694056034088135
m1_global_mix,21,0.6061590054806857,0.20912941726236875,0.5561296059963714,562085,13079638,29.056233644485474
m1_global_mix,22,0.6077203461611975,0.2098884597195406,0.5588183652005178,528347,13665276,29.59715509414673
m1_global_mix,23,0.6077928868409798,0.2099705052216557,0.5555240845473051,506792,14139620,31.169644355773926
m1_global_mix,24,0.614148803487055,0.21286202131659568,0.5623414542193391,436408,14600239,32.08476638793945
m1_global_mix,25,0.6113849886834144,0.2115642405115502,0.5537247895072787,507128,14910970,32.738829612731934
m1_global_mix,26,0.5996177572875283,0.20623966283826609,0.5454106523882473,581336,15396879,34.12108254432678
m1_global_mix,27,0.6023392483678399,0.20750494872574404,0.547058845907801,518487,16052759,35.32313847541809
m1_global_mix,28,0.6069384539251262,0.20957538698185166,0.5552979034042591,459375,16653325,37.20248198509216
m1_global_mix,29,0.608440973754505,0.2103246129132974,0.5681092918324696,493827,17064947,37.607080936431885
m1_global_mix,30,0.6090517389098111,0.2105709329327789,0.5709235884803971,468451,17471265,38.26401162147522
m2_context_gate,4,0.6065771840028829,0.20919651376576517,0.5359076575770277,591180,3741441,7.417397737503052
m2_context_gate,5,0.5951427193689919,0.20406426230661653,0.5242412452246265,638165,4367709,8.962376356124878
m2_context_gate,6,0.5985072557439435,0.20563756301079658,0.528731109016717,580979,5114024,10.677111625671387
m2_context_gate,7,0.6000036659805734,0.20630245551896273,0.531307199282809,546166,5777386,12.042346000671387
m2_context_gate,8,0.6003171826703952,0.20644013839276235,0.5331591985892846,564794,6278538,13.250306844711304
m2_context_gate,9,0.604589422691574,0.20839864652109424,0.5467241687082444,500383,6769961,14.545031547546387
m2_context_gate,10,0.6156441425708209,0.21342021055074695,0.5536505300796896,460907,7189748,15.518994331359863
m2_context_gate,11,0.6115846805583037,0.2115369102611017,0.5464773346258177,574411,7565396,16.374560356140137
m2_context_gate,12,0.5982180324536261,0.20544340826681895,0.5395491423814205,609323,8149424,17.706199884414673
m2_context_gate,13,0.6027999973759324,0.20755588794760613,0.5458140152232955,553089,8867687,18.924851894378662
m2_context_gate,14,0.6039034650063732,0.20807766178096135,0.5474812696430569,522063,9512958,20.602568864822388
m2_context_gate,15,0.6065963379918391,0.20930633754819247,0.5530372463463761,505808,9982673,21.275171518325806
m2_context_gate,16,0.6101924582497084,0.2110125973023716,0.5646942523429879,477680,10384966,22.44745922088623
m2_context_gate,17,0.617706819006651,0.2144018603123309,0.5680009289181844,450258,10787237,23.838806629180908
m2_context_gate,18,0.6160881865648654,0.2136548035968178,0.5621271834700079,538532,11165690,24.505805492401123
m2_context_gate,19,0.6054490232865238,0.2088143661963131,0.5556011145447973,582350,11736946,25.825291872024536
m2_context_gate,20,0.6067847316306034,0.20943169259467984,0.5572534706174095,552965,12423966,27.694056034088135
m2_context_gate,21,0.6061078683451545,0.2091100378888742,0.5561609613225683,562085,13079638,29.056233644485474
m2_context_gate,22,0.6077382517762672,0.20989516066778152,0.5588089615985942,528347,13665276,29.59715509414673
m2_context_gate,23,0.6077997218137215,0.20997348298074073,0.5555269423934235,506792,14139620,31.169644355773926
m2_context_gate,24,0.6142601771444646,0.2129132588395314,0.5624097880914452,436408,14600239,32.08476638793945
m2_context_gate,25,0.6114851372690314,0.21161343778228522,0.5538134696083306,507128,14910970,32.738829612731934
m2_context_gate,26,0.5995155848033582,0.20619668842424713,0.5456735883786884,581336,15396879,34.12108254432678
m2_context_gate,27,0.6023289792126686,0.2074961518925105,0.5472601606398864,518487,16052759,35.32313847541809
m2_context_gate,28,0.6069605929108565,0.2095743524778551,0.5553874036962295,459375,16653325,37.20248198509216
m2_context_gate,29,0.6084401935682097,0.21032198301543453,0.5680647918669692,493827,17064947,37.607080936431885
m2_context_gate,30,0.6090915171903608,0.2105870675014702,0.5708427002118591,468451,17471265,38.26401162147522
m5_multiscale_gate,4,0.6064882801704851,0.20915584238701856,0.5360936031575381,591180,1710702,17.861666202545166
m5_multiscale_gate,5,0.5951425802409666,0.2040664691642181,0.5242312127680592,638165,2090945,21.719958305358887
m5_multiscale_gate,6,0.5985302847972055,0.20564782981966026,0.5289318921468373,580979,2504871,26.67062997817993
m5_multiscale_gate,7,0.5999542885853367,0.2062792311511188,0.5314686187583413,546166,2858497,30.570319175720215
m5_multiscale_gate,8,0.6001264692514467,0.2063477456169838,0.5335464628105977,564794,3055825,32.72701358795166
m5_multiscale_gate,9,0.604573436367308,0.2083985503934436,0.5467868823048665,500383,3272534,35.42639136314392
m5_multiscale_gate,10,0.6153187506376747,0.21327930476940493,0.5538949652273663,460907,3437759,37.10678458213806
m5_multiscale_gate,11,0.6113407274671617,0.21143347404515547,0.5467077175248591,574411,3589637,38.61977219581604
m5_multiscale_gate,12,0.5982908239834739,0.2054783207922469,0.5393607748100497,609323,3840672,41.300042152404785
