method,day,log_loss,brier,pr_auc,n,n_train,fit_time
han_arw,7,0.6001542307511479,0.20636910335804245,0.5311397455474467,546166,3967062,10.406018495559692
han_arw,8,0.6006992417807542,0.20657342490718136,0.5327249512052203,564794,4513228,11.828200340270996
han_arw,9,0.6049930455013542,0.20859899901621123,0.5462481361749604,500383,3949895,10.357491970062256
han_arw,10,0.6158790418977466,0.21352199491909535,0.55354638419066,460907,3920263,12.2855224609375
han_arw,11,0.6114554711394014,0.21148074663518243,0.5461999326197001,574411,3882574,12.06852912902832
han_arw,12,0.5980972127863008,0.20543610833875084,0.5397849711828322,609323,3865805,11.928869485855103
han_arw,13,0.6027194414818884,0.20753950058299622,0.5455695140394227,553089,3836963,9.883849859237671
han_arw,14,0.6040687481261107,0.20815567598253415,0.5469667078921967,522063,3809073,11.918635129928589
han_arw,15,0.6067873490584422,0.20940559324337024,0.5529743658547122,505808,3784970,11.81906008720398
han_arw,16,0.6099361424449027,0.21084486165615424,0.5645523430833783,477680,3725984,11.595399379730225
han_arw,17,0.6172860326630938,0.2141946083144631,0.567821881445508,450258,3703281,11.656880140304565
han_arw,18,0.6157952257143016,0.21350452741062326,0.5619090957765918,538532,3692632,11.562189102172852
han_arw,19,0.6053927969538174,0.20879665886795637,0.5556479806890093,582350,3656753,11.425584554672241
han_arw,20,0.6066303035131726,0.209359633393203,0.5574431771899435,552965,3629780,11.404534101486206
han_arw,21,0.6061071305004274,0.2091076358435998,0.5561873947870505,562085,3629656,11.148368835449219
han_arw,22,0.6078286349429028,0.2099402780364367,0.5584470774031887,528347,3669678,11.309112787246704
han_arw,23,0.6078715209405201,0.2099865784650871,0.555397467938001,506792,3692217,8.628355026245117
han_arw,24,0.6139842201649789,0.21278144161414878,0.5626289516595522,436408,3721329,9.69970989227295
han_arw,25,0.6115493578788417,0.21163885894554266,0.5531866129208307,507128,3707479,11.569606304168701
han_arw,26,0.5998037763771192,0.20630366376484024,0.5457687371982349,581336,3676075,11.449984788894653
han_arw,27,0.6022836638790272,0.20749200568393342,0.5468090263334509,518487,3675061,12.339484691619873
han_arw,28,0.6068779382054703,0.20952082650012083,0.5547316825492723,459375,3640583,9.360243082046509
han_arw,29,0.6082089481304402,0.21019290747473857,0.5677759219666642,493827,3537873,11.065712690353394
han_arw,30,0.6089686714211594,0.21052675715403513,0.5700422797728447,468451,3503353,10.809402227401733
adamoe,4,0.6064882803590681,0.20915584247249455,0.5360936031575381,591180,1710702,26.172860383987427
adamoe,5,0.5952214631273492,0.20409398852235702,0.5241631825750441,638165,2090945,30.602461099624634
adamoe,6,0.5984686291612287,0.20561791680125877,0.5289555449123424,580979,2504871,38.2435200214386
adamoe,7,0.5999491068355102,0.20627684655243367,0.5314740781441425,546166,2858497,42.803627729415894
adamoe,8,0.6001314915113231,0.20634983601252688,0.5335285295391194,564794,3055825,45.57865881919861
adamoe,9,0.604583054746949,0.20840337686724744,0.5467821431838431,500383,3272534,47.6395206451416
adamoe,10,0.6153220509072501,0.2132808246822422,0.5538875372332599,460907,3437759,53.30423545837402
adamoe,11,0.6114624864672085,0.2114882714673463,0.5466954493203643,574411,3589637,58.18645644187927
adamoe,12,0.5982059431180502,0.20544305842519453,0.5395297234885256,609323,3840672,57.79997444152832
adamoe,13,0.6024835372547658,0.2074329747031855,0.5462998407782491,553089,4107403,61.81177067756653
adamoe,14,0.6037571076836996,0.20802017774366438,0.5476828511384413,522063,4330251,64.36248803138733
adamoe,15,0.6064385348398363,0.20924245316142812,0.5532145065135946,505808,4403173,62.28516173362732
adamoe,16,0.6098132385594196,0.21082564809302223,0.5648999416390018,477680,4458527,70.17011427879333
adamoe,17,0.6176612597199264,0.21437765160723932,0.5681359973125929,450258,4518348,67.25794982910156
adamoe,18,0.6155701785218726,0.2134097313523187,0.5623684197444703,538532,4576757,66.61248111724854
adamoe,19,0.6053753698671427,0.208791283664609,0.5555842250571323,582350,4690957,71.10705947875977
adamoe,20,0.6065579629061493,0.20932305041993818,0.5575689228456826,552965,4820567,72.59612464904785
adamoe,21,0.6058763645369213,0.20902365218522923,0.5564449069297996,562085,4940197,79.20989084243774
adamoe,22,0.6076452854745591,0.20986674120306553,0.5588297791409944,528347,5070337,73.68093061447144
adamoe,23,0.6076824900082504,0.20991961583460797,0.5557880012504441,506792,5155677,78.4230899810791
adamoe,24,0.6140290690130763,0.21281132888483265,0.5628365977004552,436408,5250594,71.83135724067688
adamoe,25,0.611168742157141,0.21146643113795963,0.554210177962017,507128,5290993,80.22899007797241
adamoe,26,0.59954502465834,0.20619556451929463,0.5458956022971688,581336,5382582,81.59873366355896
adamoe,27,0.6021403758925629,0.2074114230262331,0.5475307570814831,518487,5522799,85.68987774848938
adamoe,28,0.6066500810630923,0.20943320803472748,0.5556003377061792,459375,5616526,87.03584790229797
adamoe,29,0.6081277801697462,0.21017607581215933,0.5681788588876233,493827,5653949,81.71771669387817
adamoe,30,0.6087634032823093,0.21043115474656757,0.5709314117625375,468451,5732803,90.30369782447815
diff_forgetting,6,0.5988131958634562,0.20577617950789842,0.5286857857684991,580979,3386083,74.98167729377747
diff_forgetting,7,0.6001774975707799,0.20637823042675071,0.5311090356905255,546166,3967062,97.01713609695435
diff_forgetting,8,0.6007076411305046,0.2065768263186297,0.532697297900069,564794,4513228,95.43816781044006
diff_forgetting,9,0.6049785105031669,0.20858363744973302,0.5463503031578363,500383,5078022,142.36742115020752
diff_forgetting,10,0.6155435677242216,0.21337510925589015,0.5532986517039129,460907,5578405,168.32329177856445
diff_forgetting,11,0.6128147721939223,0.2120843677665458,0.5458390863477086,574411,6039312,175.82600164413452
diff_forgetting,12,0.5984430609622707,0.2055460682417094,0.5391446426547039,609323,6613723,216.3468177318573
diff_forgetting,13,0.602916753398856,0.207618623398389,0.5457581627929189,553089,7223046,249.31927132606506
diff_forgetting,14,0.6042266396817992,0.20823872525329773,0.5467915999108055,522063,7776135,248.39039206504822
diff_forgetting,15,0.6071116352824999,0.20951912170506834,0.5520716043083704,505808,8298198,324.61119842529297
diff_forgetting,16,0.610848482265875,0.21130151638100098,0.5636933054567143,477680,8804006,339.53874707221985
diff_forgetting,17,0.6190669154429091,0.21499477087660146,0.5670699679002169,450258,9281686,350.9423260688782
diff_forgetting,18,0.6173403058816002,0.21421039504684772,0.561431712764781,538532,9731944,271.17742347717285
diff_forgetting,19,0.6061987157346596,0.20917465083534753,0.5546549700200841,582350,10270476,363.61932158470154
diff_forgetting,20,0.6074528658776833,0.2097259050471445,0.5563952794096696,552965,10852826,432.36242175102234
diff_forgetting,21,0.6067582962130401,0.20941318559195266,0.5551706777060204,562085,11405791,375.1506345272064
diff_forgetting,22,0.6084811002285889,0.21020305077024334,0.5577308171815325,528347,11967876,486.3226914405823
diff_forgetting,23,0.6086909474230154,0.210367350425837,0.5545609063828336,506792,12496223,425.9509618282318
diff_forgetting,24,0.6155774852012731,0.21349869469661353,0.5616018574308096,436408,13003015,568.5048336982727
diff_forgetting,25,0.6126298393770121,0.2121241400585258,0.552590943655975,507128,13439423,504.0050313472748
diff_forgetting,26,0.6001542397918566,0.20647732099496377,0.5446241936621892,581336,13946551,608.5618002414703
diff_forgetting,27,0.6029182813528938,0.20773437971534167,0.5465825332043562,518487,14527887,571.2918152809143
diff_forgetting,28,0.6075683555678277,0.20979949201790332,0.5546449121422912,459375,15046374,568.8195338249207
diff_forgetting,29,0.6090887728311922,0.21056459833207725,0.5664842677026083,493827,15505749,590.2567956447601
diff_forgetting,30,0.6099715137685225,0.2109538604523964,0.5690689884409164,468451,15999576,584.0512912273407
