method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.6067162449046631,0.20925267232439357,0.535514762632795,591180,2156738,5.979138135910034
rolling_1,4,0.6072403596023619,0.20947798280783914,0.534544836386897,591180,498596,1.2406649589538574
rolling_3,4,0.6066829145465509,0.2092439392059217,0.5358148754449196,591180,1584703,4.196958541870117
rolling_7,4,0.6067162449046631,0.20925267232439357,0.535514762632795,591180,2156738,5.942533016204834
rolling_14,4,0.6067162449046631,0.20925267232439357,0.535514762632795,591180,2156738,5.95083212852478
decay_hl1,4,0.6084217156952645,0.20995972930561138,0.5323079957799268,591180,2156738,5.987500190734863
decay_hl3,4,0.6070380917277588,0.20938636697083407,0.5349157809674614,591180,2156738,5.9212071895599365
decay_hl7,4,0.60682368999794,0.20929796099419545,0.5353270103473714,591180,2156738,5.921061754226685
expanding,5,0.5950539873705547,0.20404857306918578,0.5242305647399633,638165,2747918,7.478933811187744
rolling_1,5,0.5975329164084419,0.205046895605693,0.5208471809842171,638165,591180,1.5096416473388672
rolling_3,5,0.5958159567117036,0.2043262615247378,0.5235998596983195,638165,1619791,4.282646656036377
rolling_7,5,0.5950539873705547,0.20404857306918578,0.5242305647399633,638165,2747918,7.4307286739349365
rolling_14,5,0.5950539873705547,0.20404857306918578,0.5242305647399633,638165,2747918,7.489852428436279
decay_hl1,5,0.5981540932331754,0.2052758367598156,0.5193302602306813,638165,2747918,7.4475977420806885
decay_hl3,5,0.5957804006139177,0.20432672516743897,0.5230424467713893,638165,2747918,7.441235303878784
decay_hl7,5,0.595304181801209,0.20414291466258297,0.5238029649763218,638165,2747918,7.490908145904541
expanding,6,0.598799818506236,0.2057709225832055,0.5287207112615953,580979,3386083,9.400354862213135
rolling_1,6,0.5989807222759445,0.2058100038912693,0.5275478536484296,580979,638165,1.6290762424468994
rolling_3,6,0.5985816234888405,0.20565728264044214,0.5281488531539523,580979,1727941,4.612184047698975
rolling_7,6,0.598799818506236,0.2057709225832055,0.5287207112615953,580979,3386083,9.377305269241333
rolling_14,6,0.598799818506236,0.2057709225832055,0.5287207112615953,580979,3386083,9.428961515426636
decay_hl1,6,0.6012439083752883,0.2067785945876591,0.52359695211448,580979,3386083,9.434049606323242
decay_hl3,6,0.5993518828982707,0.20599216571307175,0.5274836087847293,580979,3386083,9.380739450454712
decay_hl7,6,0.5989838632664449,0.20584374535705685,0.5282738188239243,580979,3386083,9.38990068435669
expanding,7,0.6001542307511479,0.20636910335804245,0.5311397455474467,546166,3967062,11.201880931854248
rolling_1,7,0.6006039188551066,0.2065479576691704,0.529956891904151,546166,580979,1.4853129386901855
rolling_3,7,0.6001215744065751,0.20635253958999122,0.5308736650921688,546166,1810324,4.89725923538208
rolling_7,7,0.6001542307511479,0.20636910335804245,0.5311397455474467,546166,3967062,11.194305419921875
rolling_14,7,0.6001542307511479,0.20636910335804245,0.5311397455474467,546166,3967062,11.219987392425537
decay_hl1,7,0.6034644603475303,0.2077626050331567,0.5247461606047356,546166,3967062,11.191373348236084
decay_hl3,7,0.6009881422459168,0.2067113282630329,0.5297158578056288,546166,3967062,11.178610563278198
decay_hl7,7,0.6004547142957584,0.20649030982611905,0.530673579678473,546166,3967062,11.214836835861206
expanding,8,0.6006992417807542,0.20657342490718136,0.5327249512052203,564794,4513228,12.886739730834961
rolling_1,8,0.6010063624297652,0.20672426436387092,0.5314367248740304,564794,546166,1.4033479690551758
rolling_3,8,0.6006824812790017,0.20662225718232483,0.5328900816911496,564794,1765310,4.766122102737427
rolling_7,8,0.6003172436581465,0.20644020617742667,0.5330278135068385,564794,3941193,11.064544916152954
rolling_14,8,0.6006992417807542,0.20657342490718136,0.5327249512052203,564794,4513228,12.910261154174805
decay_hl1,8,0.6039444593772397,0.20796404772809818,0.526340974269256,564794,4513228,12.859177589416504
decay_hl3,8,0.6013406366798242,0.20684831754399438,0.5313522624036819,564794,4513228,12.88747501373291
decay_hl7,8,0.6008694981532084,0.20664581779234498,0.53232188695679,564794,4513228,12.908318996429443
expanding,9,0.6049616274046234,0.20857757616399045,0.5463867419572521,500383,5078022,13.22361135482788
rolling_1,9,0.6054228510493334,0.20875976872521568,0.5446456942705473,500383,564794,1.4655826091766357
rolling_3,9,0.6047027519138927,0.20843571465940072,0.5463608295048492,500383,1691939,4.575181007385254
rolling_7,9,0.6049930455013542,0.20859899901621123,0.5462481361749604,500383,3949895,11.248014688491821
rolling_14,9,0.6049616274046234,0.20857757616399045,0.5463867419572521,500383,5078022,13.24778151512146
decay_hl1,9,0.6092007239699464,0.21037215999375397,0.5383113681177287,500383,5078022,13.314513206481934
decay_hl3,9,0.6059683880016452,0.20898825755406766,0.5444804683051712,500383,5078022,13.292194128036499
decay_hl7,9,0.6052647736032277,0.20869632371159608,0.5458008279450729,500383,5078022,13.304932832717896
expanding,10,0.6155054807627711,0.21335800290448953,0.5533407522164592,460907,5578405,14.644022703170776
rolling_1,10,0.6154498975629887,0.21332186345137025,0.5525055563736212,460907,500383,1.1949353218078613
