method,log_loss,brier,pr_auc,mean_train_rows,mean_fit_time_s,n_test_days
han_arw,0.3936129296885235,0.1237378961838524,0.7610324264436591,104742.85714285714,0.2974819251469203,35
rolling_7,0.3976931764939031,0.1261469722985963,0.7444085123517563,21000.0,0.0672775472913469,35
adamoe,0.4105971310716766,0.1302559472979187,0.7357648651477081,76200.0,1.204255281175886,35
rolling_14,0.4218611825790984,0.1341137354823248,0.7153771852074188,42000.0,0.1173659597124372,35
rolling_3,0.4279480637747535,0.1356180615745403,0.7140435886161618,9000.0,0.0351713589259556,35
diff_forgetting,0.4595943256673604,0.1478656174205451,0.735716191629872,306000.0,8.831828805378505,35
decay_hl7,0.4822148486602765,0.1565098852443431,0.7047301658577685,306000.0,0.5458586284092495,35
decay_hl3,0.5098408289539849,0.1670341589758954,0.7344353950051293,306000.0,0.5234797954559326,35
decay_hl1,0.5648897158330588,0.1893417829959613,0.6775492260171825,306000.0,0.5401451996394566,35
expanding,0.6453668531420652,0.2056584700221909,0.4708003626958209,306000.0,0.6856355735233852,35
validation_selected(h=expanding),0.6453668531420652,0.2056584700221909,0.4708003626958209,306000.0,0.6856355735233852,35
rolling_1,0.6615828341468646,0.1902774433664306,0.5695077285817354,3000.0,0.0083209174019949,35
sftl,1.7731924380574908,0.24118299399103438,0.4337026084620003,306000.0,0.003376218250819615,35
