method,day,log_loss,brier,pr_auc,n,n_train,fit_time
sftl,4,0.6082478761672974,0.195264533162117,0.410884936364302,3000,12000,0.003654003143310547
sftl,5,0.6489102244377136,0.19847925007343292,0.41445825685265764,3000,15000,0.0032188892364501953
sftl,6,0.6839074492454529,0.20177042484283447,0.49617707828764623,3000,18000,0.0046215057373046875
sftl,7,0.7502503395080566,0.2071886658668518,0.47425857059804866,3000,21000,0.0032913684844970703
sftl,8,0.7740522623062134,0.21275395154953003,0.4749239686251023,3000,24000,0.003495454788208008
sftl,9,0.7707453370094299,0.20244987308979034,0.5157632839412357,3000,27000,0.0031881332397460938
sftl,10,0.7566174864768982,0.19673407077789307,0.5331486683653479,3000,30000,0.004315376281738281
sftl,11,0.8734913468360901,0.20469067990779877,0.5454852277454684,3000,33000,0.003242015838623047
sftl,12,0.8606364130973816,0.19390714168548584,0.5305023449331722,3000,36000,0.003453969955444336
sftl,13,0.9157902002334595,0.204005166888237,0.5246272444492089,3000,39000,0.0032160282135009766
sftl,14,0.8896747827529907,0.19557902216911316,0.5654397646978114,3000,42000,0.003428220748901367
sftl,15,0.8556264638900757,0.18332917988300323,0.5958427786510713,3000,45000,0.0032155513763427734
sftl,16,0.9935315847396851,0.1913958489894867,0.5954367963454834,3000,48000,0.0033571720123291016
sftl,17,1.022937536239624,0.1920129805803299,0.6181261271272744,3000,51000,0.0032961368560791016
sftl,18,1.0537970066070557,0.18371281027793884,0.661780621390749,3000,54000,0.0045375823974609375
sftl,19,1.0881010293960571,0.18138332664966583,0.6460548462772471,3000,57000,0.003152132034301758
sftl,20,1.2763071060180664,0.19581620395183563,0.6650985082025376,3000,60000,0.0031723976135253906
sftl,21,1.2366751432418823,0.1834530234336853,0.643604827059036,3000,63000,0.003428220748901367
sftl,22,1.3185076713562012,0.18087300658226013,0.6652967962326639,3000,66000,0.0034027099609375
sftl,23,1.3955613374710083,0.17856964468955994,0.6587777680972978,3000,69000,0.004302024841308594
sftl,24,1.3787388801574707,0.17402945458889008,0.675120469232841,3000,72000,0.0031003952026367188
sftl,25,1.390933632850647,0.1706491857767105,0.701488281877257,3000,75000,0.003461122512817383
sftl,26,1.4268463850021362,0.16789622604846954,0.7075540277894101,3000,78000,0.0032052993774414062
sftl,27,1.635663390159607,0.17165623605251312,0.6795141749977228,3000,81000,0.003342151641845703
sftl,28,1.7107874155044556,0.1755989044904709,0.6714636616379889,3000,84000,0.0031702518463134766
sftl,29,1.7542086839675903,0.17079539597034454,0.6803752826072885,3000,87000,0.003409147262573242
