method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.3608911171981444,0.1157478843443922,0.7439994367809701,3000,12000,0.0432667732238769
rolling_1,4,0.5882734773098566,0.1719491269410997,0.5830245572197961,3000,3000,0.008671760559082
rolling_3,4,0.39167621219661,0.1247890393216209,0.7114913001336959,3000,9000,0.0329172611236572
rolling_7,4,0.3608911171981444,0.1157478843443922,0.7439994367809701,3000,12000,0.038501501083374
rolling_14,4,0.3608911171981444,0.1157478843443922,0.7439994367809701,3000,12000,0.0385839939117431
decay_hl1,4,0.3931978863746433,0.1243455855523084,0.7171949279308881,3000,12000,0.0282802581787109
decay_hl3,4,0.3637661217481189,0.1160046762384832,0.741139172092648,3000,12000,0.0332024097442626
decay_hl7,4,0.3607413638333482,0.115474403886585,0.7434715435249168,3000,12000,0.0384778976440429
expanding,5,0.3418049789445022,0.1086727469507486,0.7572097360765042,3000,15000,0.0487043857574462
rolling_1,5,0.606389189413287,0.1760015901550136,0.5500713132050419,3000,3000,0.0079391002655029
rolling_3,5,0.3729568765164638,0.1198818396509182,0.7135761381671444,3000,9000,0.0328295230865478
rolling_7,5,0.3418049789445022,0.1086727469507486,0.7572097360765042,3000,15000,0.048020601272583
rolling_14,5,0.3418049789445022,0.1086727469507486,0.7572097360765042,3000,15000,0.0486249923706054
decay_hl1,5,0.3912400128834222,0.1235587804472209,0.7091709240712846,3000,15000,0.0341937541961669
decay_hl3,5,0.3505892015251217,0.1109854381171409,0.7501387383197999,3000,15000,0.0394027233123779
decay_hl7,5,0.3436563141867091,0.1091621721714047,0.7552324930907378,3000,15000,0.0442640781402587
expanding,6,0.3398268555586084,0.1085508256673273,0.7961268591081654,3000,18000,0.0594828128814697
rolling_1,6,0.6381598591588361,0.1785413193905096,0.5599914364391823,3000,3000,0.008047342300415
rolling_3,6,0.391687903920463,0.1260879411606741,0.7308104507974216,3000,9000,0.0346298217773437
rolling_7,6,0.3398268555586084,0.1085508256673273,0.7961268591081654,3000,18000,0.0596096515655517
rolling_14,6,0.3398268555586084,0.1085508256673273,0.7961268591081654,3000,18000,0.0594284534454345
decay_hl1,6,0.4142584410422951,0.1323340832317943,0.7333723890651725,3000,18000,0.0376265048980712
decay_hl3,6,0.3572554347001329,0.1132685905305708,0.7861525752436495,3000,18000,0.0456752777099609
decay_hl7,6,0.3450621297122188,0.1097368082734013,0.7939639741683256,3000,18000,0.0544409751892089
expanding,7,0.3400682212621205,0.1072639406285179,0.768932693466065,3000,21000,0.0640099048614502
rolling_1,7,0.5988987463416628,0.1756090010003232,0.5441913085965623,3000,3000,0.0081367492675781
rolling_3,7,0.3892517709402276,0.1252958877204387,0.700166019955284,3000,9000,0.033320665359497
rolling_7,7,0.3400682212621205,0.1072639406285179,0.768932693466065,3000,21000,0.0636916160583496
rolling_14,7,0.3400682212621205,0.1072639406285179,0.768932693466065,3000,21000,0.0637989044189453
decay_hl1,7,0.4156021286176302,0.1320923170533471,0.6970850362043494,3000,21000,0.040083885192871
decay_hl3,7,0.3579672359131271,0.1127359211802064,0.7568496912351844,3000,21000,0.0501565933227539
decay_hl7,7,0.3452912258167068,0.1088881531943096,0.7667110049792913,3000,21000,0.0571093559265136
expanding,8,0.3477412614324908,0.1103246329516782,0.764564842638827,3000,24000,0.0698168277740478
rolling_1,8,0.6320133682690426,0.187345296798626,0.5422967152399486,3000,3000,0.0086257457733154
rolling_3,8,0.4008752977184487,0.1296810808755203,0.6958410489189504,3000,9000,0.0325055122375488
rolling_7,8,0.3501915538350507,0.1113415776217017,0.7610263070069161,3000,21000,0.0636565685272216
rolling_14,8,0.3477412614324908,0.1103246329516782,0.764564842638827,3000,24000,0.0696699619293212
decay_hl1,8,0.4219498999258346,0.1346725413850539,0.6951176870404615,3000,24000,0.0459403991699218
decay_hl3,8,0.3636675820560601,0.1149425901169598,0.7534675966057643,3000,24000,0.0539026260375976
decay_hl7,8,0.3518175816201228,0.1113671004233886,0.7624234330439623,3000,24000,0.0619878768920898
expanding,9,0.338375195581249,0.1069210751805089,0.7645372527254645,3000,27000,0.0780408382415771
rolling_1,9,0.6433929552588429,0.1818351906574047,0.5239226992529801,3000,3000,0.0086936950683593
rolling_3,9,0.397640679447645,0.1250661701654515,0.6911925942816433,3000,9000,0.0344560146331787
rolling_7,9,0.3439193982222795,0.1089950413742439,0.7562597574869248,3000,21000,0.0703728199005127
rolling_14,9,0.338375195581249,0.1069210751805089,0.7645372527254645,3000,27000,0.07806396484375
decay_hl1,9,0.4241216844718558,0.1338436524096112,0.6860254370865513,3000,27000,0.0467050075531005
decay_hl3,9,0.3612165429781167,0.1128536671500875,0.7486886939169292,3000,27000,0.0558383464813232
decay_hl7,9,0.3452913165343608,0.1083851030424962,0.7613705149026972,3000,27000,0.0691120624542236
expanding,10,0.3397151243837176,0.1077756159363829,0.7553242519918281,3000,30000,0.0860483646392822
rolling_1,10,0.632594885930057,0.179909904451171,0.514038410860171,3000,3000,0.0086328983306884
rolling_3,10,0.3967003040112584,0.1281182371523057,0.6755001849207043,3000,9000,0.0364272594451904
rolling_7,10,0.3513944366416808,0.1123695319058224,0.7365508813597702,3000,21000,0.0639915466308593
rolling_14,10,0.3397151243837176,0.1077756159363829,0.7553242519918281,3000,30000,0.0825669765472412
decay_hl1,10,0.4274190349478742,0.1354279786389136,0.6737243671308383,3000,30000,0.0473339557647705
decay_hl3,10,0.3640611827738343,0.1142101729302293,0.7401088360097365,3000,30000,0.0577120780944824
decay_hl7,10,0.3472924597029765,0.1094322324745869,0.7520864660738181,3000,30000,0.0774703025817871
expanding,11,0.3526238574917981,0.110723162296547,0.7686891208048884,3000,33000,0.0867133140563964
rolling_1,11,0.6798707604211652,0.192810812640513,0.5192923539868535,3000,3000,0.008059024810791
rolling_3,11,0.4323746447110688,0.136344230080655,0.6621762342761528,3000,9000,0.0315566062927246
rolling_7,11,0.3636295610408686,0.1144064489648892,0.7540054235345957,3000,21000,0.063814640045166
rolling_14,11,0.3526238574917981,0.110723162296547,0.7686891208048884,3000,33000,0.0860321521759033
decay_hl1,11,0.4533788404947295,0.1455378313830009,0.6686113132955791,3000,33000,0.0470776557922363
decay_hl3,11,0.3827820273558771,0.1198946693498118,0.7481052145876692,3000,33000,0.0636045932769775
decay_hl7,11,0.361989591104939,0.1131817898193436,0.7641416534876249,3000,33000,0.0802161693572998
expanding,12,0.3407671471550086,0.1071269410424225,0.7536169430441085,3000,36000,0.0971169471740722
rolling_1,12,0.6437706523389481,0.1828422547875419,0.522466587567985,3000,3000,0.0087883472442626
rolling_3,12,0.3984197057729799,0.1264069523499137,0.6770264250443419,3000,9000,0.0329780578613281
rolling_7,12,0.3496120494636602,0.1101566337844932,0.7367138634623804,3000,21000,0.0606496334075927
rolling_14,12,0.3407671471550086,0.1071269410424225,0.7536169430441085,3000,36000,0.0961127281188964
decay_hl1,12,0.4378707708320469,0.138894819305602,0.6757183499823732,3000,36000,0.0524287223815918
decay_hl3,12,0.3702243183170061,0.1154562649128348,0.7438955083793453,3000,36000,0.07625412940979
decay_hl7,12,0.3500648902360381,0.1093742572996709,0.753105529133361,3000,36000,0.0766103267669677
expanding,13,0.338317417539084,0.1056264242209639,0.7609805430176467,3000,39000,0.1049718856811523
rolling_1,13,0.6267845104447264,0.1792409887123421,0.5178147241423403,3000,3000,0.0087144374847412
rolling_3,13,0.4115298530945069,0.1291682903761634,0.6606474983091022,3000,9000,0.0343270301818847
rolling_7,13,0.3594009470229893,0.1127209569415528,0.7314318769198674,3000,21000,0.0671474933624267
rolling_14,13,0.338317417539084,0.1056264242209639,0.7609805430176467,3000,39000,0.1048686504364013
decay_hl1,13,0.4471039592368108,0.1426392426295175,0.6661306886077978,3000,39000,0.0554747581481933
decay_hl3,13,0.3774154646099835,0.1174407438819427,0.7376572107174708,3000,39000,0.0754823684692382
decay_hl7,13,0.3527918911461289,0.1096488125197944,0.7539593369920095,3000,39000,0.0833003520965576
expanding,14,0.3416450332828117,0.1076507733182989,0.758435818354977,3000,42000,0.1064834594726562
rolling_1,14,0.6311471035660371,0.1831529898293544,0.502383967609295,3000,3000,0.0087196826934814
rolling_3,14,0.4076789370583707,0.1316880800370425,0.6661778086343815,3000,9000,0.033121109008789
rolling_7,14,0.358681591635189,0.1143297002243771,0.7296834647023227,3000,21000,0.0636427402496337
rolling_14,14,0.3416450332828117,0.1076507733182989,0.758435818354977,3000,42000,0.1065666675567627
decay_hl1,14,0.4524778688665176,0.1452916922599246,0.6498456416268977,3000,42000,0.0599770545959472
