method,day,log_loss,brier,pr_auc,n,n_train,fit_time
sftl,4,0.6122829914093018,0.1960756033658981,0.3933686537639621,3000,12000,0.0033690929412841
sftl,5,0.635196328163147,0.1949367523193359,0.4022368856855244,3000,15000,0.0033726692199707
sftl,6,0.6957874298095703,0.2035526186227798,0.4683335434338082,3000,18000,0.0031850337982177
sftl,7,0.750535786151886,0.2086491137742996,0.4413576458505006,3000,21000,0.0031723976135253
sftl,8,0.7856534123420715,0.2120504379272461,0.4602765039866313,3000,24000,0.0031869411468505
sftl,9,0.7546262741088867,0.1933153420686721,0.4925734144678092,3000,27000,0.0032477378845214
sftl,10,0.7688767910003662,0.2008262574672699,0.4873163717421539,3000,30000,0.0031988620758056
sftl,11,0.8710512518882751,0.2069949507713318,0.4937428972478072,3000,33000,0.003300666809082
sftl,12,0.8257688283920288,0.1970939487218856,0.4918721121087981,3000,36000,0.0033106803894042
sftl,13,0.8375003337860107,0.1966335922479629,0.4986193577572854,3000,39000,0.0031385421752929
sftl,14,0.8693297505378723,0.2028888314962387,0.507979133329375,3000,42000,0.0031642913818359
sftl,15,0.8167660236358643,0.1852471381425857,0.5359586020803594,3000,45000,0.0034563541412353
sftl,16,0.8818374872207642,0.1871554404497146,0.5475073033379012,3000,48000,0.0032076835632324
sftl,17,0.8972705006599426,0.193425714969635,0.579720008097001,3000,51000,0.0031437873840332
sftl,18,0.9333752393722534,0.1843731254339218,0.583701705238481,3000,54000,0.0032978057861328
sftl,19,1.039556622505188,0.1916611790657043,0.5723510929098173,3000,57000,0.0031232833862304
sftl,20,1.1427032947540283,0.2033225893974304,0.5849324181164631,3000,60000,0.0031640529632568
sftl,21,0.97171550989151,0.1783594787120819,0.615910749879046,3000,63000,0.0033574104309082
sftl,22,1.1874626874923706,0.1880241334438324,0.5827299005992972,3000,66000,0.0031657218933105
sftl,23,1.1917705535888672,0.183777630329132,0.5774274857869913,3000,69000,0.0031070709228515
sftl,24,1.2454147338867188,0.189560055732727,0.5951702677448453,3000,72000,0.0033190250396728
sftl,25,1.203681468963623,0.179015427827835,0.6109844823954818,3000,75000,0.0030634403228759
sftl,26,1.2895876169204712,0.1798316389322281,0.6052755987558425,3000,78000,0.0031545162200927
sftl,27,1.4390267133712769,0.1859920173883438,0.5976496134213845,3000,81000,0.0033328533172607
sftl,28,1.3719571828842163,0.1795888692140579,0.5879196480362532,3000,84000,0.0032105445861816
sftl,29,1.5612601041793823,0.1855605095624923,0.600762621421695,3000,87000,0.003091812133789
sftl,30,1.4858874082565308,0.1801406592130661,0.5958664179488989,3000,90000,0.0033445358276367
sftl,31,1.5210771560668943,0.1836089640855789,0.5891726572567875,3000,93000,0.0031671524047851
sftl,32,1.4504667520523071,0.1657765060663223,0.6136141153751273,3000,96000,0.0030906200408935
sftl,33,1.7610113620758057,0.1867120116949081,0.5963695504359345,3000,99000,0.0031194686889648
sftl,34,1.6632698774337769,0.1762766391038894,0.6166786390229368,3000,102000,0.0030736923217773
sftl,35,1.871652126312256,0.1888197362422943,0.5612698487675131,3000,105000,0.0032997131347656
sftl,36,1.7798227071762085,0.1811841279268264,0.6200240959061163,3000,108000,0.0031156539916992
sftl,37,1.8834068775177,0.1913279891014099,0.6152311706474711,3000,111000,0.0030879974365234
sftl,38,1.709716796875,0.1795658022165298,0.5907022789363465,3000,114000,0.0031297206878662
sftl,39,1.815911173820496,0.1833708882331848,0.5717234825122236,3000,117000,0.0031685829162597
sftl,40,1.7943694591522217,0.1754504740238189,0.6143177206559374,3000,120000,0.0033650398254394
sftl,41,1.8985224962234497,0.1872041672468185,0.6085788153249391,3000,123000,0.003124713897705
sftl,42,2.0796427726745605,0.1978541314601898,0.5466154923876344,3000,126000,0.0031878948211669
sftl,43,1.8097378015518188,0.1773409992456436,0.6054252044831023,3000,129000,0.0031793117523193
sftl,44,1.9943549633026123,0.1973994523286819,0.5531449918503402,3000,132000,0.0031349658966064
sftl,45,1.8771432638168333,0.18475341796875,0.6000949196031062,3000,135000,0.0033354759216308
sftl,46,1.9197423458099363,0.1844271719455719,0.5881011523365528,3000,138000,0.0031440258026123
sftl,47,1.7799196243286133,0.1813125759363174,0.57649739849976,3000,141000,0.0031993389129638
sftl,48,1.9278662204742432,0.1908380538225174,0.5662016247152275,3000,144000,0.0031447410583496
sftl,49,1.8824208974838257,0.1792550832033157,0.566195115477871,3000,147000,0.0031957626342773
sftl,50,1.895341157913208,0.1891669034957885,0.5545637148951909,3000,150000,0.0035028457641601
sftl,51,1.7723928689956665,0.1836089938879013,0.5682102836210934,3000,153000,0.0031392574310302
sftl,52,1.935352206230164,0.2008871287107467,0.5274383980008811,3000,156000,0.0031442642211914
sftl,53,1.872125029563904,0.1948858201503753,0.5111533309513645,3000,159000,0.0031657218933105
sftl,54,1.6287819147109983,0.1825825572013855,0.5319492631695378,3000,162000,0.0034983158111572
sftl,55,1.5565645694732666,0.1781613975763321,0.5296763802472871,3000,165000,0.0031318664550781
sftl,56,1.6229350566864014,0.1856870949268341,0.5810525411557622,3000,168000,0.0031826496124267
sftl,57,1.4876677989959717,0.1800443977117538,0.564994326973568,3000,171000,0.0031814575195312
sftl,58,1.6001698970794678,0.1948532462120056,0.5084815082238745,3000,174000,0.0034780502319335
sftl,59,1.3111753463745115,0.1703335344791412,0.5601023859760418,3000,177000,0.0031063556671142
sftl,60,1.3199182748794556,0.1800675094127655,0.5153934434570929,3000,180000,0.0032637119293212
sftl,61,1.2231321334838867,0.1761911660432815,0.5501790446100183,3000,183000,0.003162145614624
sftl,62,1.261515736579895,0.1788539290428161,0.5055929839048203,3000,186000,0.0031783580780029
sftl,63,1.1269463300704956,0.1757130175828933,0.550921816105493,3000,189000,0.0034492015838623
sftl,64,1.0582445859909058,0.1647320091724395,0.5429673338570673,3000,192000,0.0031704902648925
sftl,65,1.12165105342865,0.1686558574438095,0.5197244338955214,3000,195000,0.0031630992889404
sftl,66,0.917382001876831,0.1585965156555175,0.5771075238933256,3000,198000,0.0031216144561767
sftl,67,0.998422920703888,0.1644759774208068,0.514118729947936,3000,201000,0.0034816265106201
sftl,68,0.9042861461639404,0.1596803814172744,0.5268702600451367,3000,204000,0.0032260417938232
sftl,69,0.7960996627807617,0.1534175425767898,0.4907796947708565,3000,207000,0.0031859874725341
sftl,70,0.8494464755058289,0.1564942449331283,0.4768375216855471,3000,210000,0.0031445026397705
sftl,71,0.8352705836296082,0.1498948782682418,0.5330779317530496,3000,213000,0.0033786296844482
sftl,72,0.8487386107444763,0.1500463485717773,0.5459008771226779,3000,216000,0.0033495426177978
sftl,73,0.792198657989502,0.1583352386951446,0.484862943471617,3000,219000,0.0034332275390625
sftl,74,0.76470947265625,0.1468356549739837,0.4856530060463394,3000,222000,0.0031962394714355
sftl,75,0.8446601629257202,0.150099441409111,0.5210248363378935,3000,225000,0.0033445358276367
sftl,76,0.8069636821746826,0.1466360986232757,0.5231076880584922,3000,228000,0.0032544136047363
sftl,77,0.844306230545044,0.1521560400724411,0.5574375795687629,3000,231000,0.0033309459686279
sftl,78,0.692075252532959,0.1450529992580413,0.5692299625062578,3000,234000,0.0031743049621582
sftl,79,0.8738832473754883,0.1533361822366714,0.5456186242740059,3000,237000,0.0033073425292968
sftl,80,0.739396333694458,0.1470645517110824,0.5525408715295702,3000,240000,0.0032422542572021
sftl,81,0.8291057348251343,0.1519222557544708,0.5543260288954917,3000,243000,0.0034842491149902
sftl,82,0.8127557039260864,0.1543808430433273,0.5569896586215514,3000,246000,0.0032575130462646
sftl,83,0.7662458419799805,0.1460160762071609,0.5828523015240961,3000,249000,0.0031406879425048
sftl,84,0.7827404141426086,0.1548257917165756,0.5278451772176357,3000,252000,0.0032353401184082
sftl,85,0.7497538328170776,0.1473411321640014,0.5469758781100702,3000,255000,0.0033669471740722
sftl,86,0.7570589780807495,0.1485460251569748,0.6033691609862677,3000,258000,0.0033681392669677
sftl,87,0.8561866283416748,0.1570996046066284,0.5712976506295935,3000,261000,0.0031979084014892
sftl,88,0.8113806843757629,0.1483986526727676,0.5713240866608816,3000,264000,0.0031397342681884
