method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m5b_high_smooth,4,0.36798315627757744,0.11801673555179451,0.7372024005227945,3000,9600,0.17345237731933594
m5b_high_smooth,5,0.3526785715916709,0.11276326765678622,0.7378711041613794,3000,11400,0.18455028533935547
m5b_high_smooth,6,0.3581251994966499,0.11506551920433412,0.7705488523961245,3000,13200,0.2270064353942871
m5b_high_smooth,7,0.3474116393838192,0.11001167801013562,0.7568271286627568,3000,15000,0.23835420608520508
m5b_high_smooth,8,0.3535215309998798,0.11298116639518749,0.7547748630058645,3000,16200,0.2501833438873291
m5b_high_smooth,9,0.3479974341076395,0.10968587890765709,0.7513196462100619,3000,17400,0.26712799072265625
m5b_high_smooth,10,0.34795808044775456,0.11050390232792594,0.7432167514475048,3000,18600,0.2870159149169922
m5b_high_smooth,11,0.3618695597250122,0.11366536160532736,0.7569924174451927,3000,19800,0.3034396171569824
m5b_high_smooth,12,0.3451874330026805,0.10819674252980656,0.7499448286159353,3000,21000,0.28557538986206055
m5b_high_smooth,13,0.3455530055695312,0.10778049100167354,0.7519003561943503,3000,22200,0.30020642280578613
m5b_high_smooth,14,0.3465217728172356,0.10952632704012831,0.7509209454000472,3000,23400,0.3379056453704834
m5b_high_smooth,15,0.3278450669428817,0.10243876717618648,0.7680006191788287,3000,24000,0.3821988105773926
m5b_high_smooth,16,0.3420902751639086,0.10775606158471913,0.7560996087522049,3000,24600,0.30808067321777344
m5b_high_smooth,17,0.3408105400886692,0.10667252147795102,0.7669184123138456,3000,25200,0.35216498374938965
m5b_high_smooth,18,0.3372427902127197,0.10621821067274854,0.76391423251422,3000,25800,0.3718984127044678
m5b_high_smooth,19,0.3410026604686677,0.10749966701448828,0.768629980673332,3000,26400,0.3560774326324463
m5b_high_smooth,20,0.38259745980281984,0.12170275908145052,0.7398898269188703,3000,27000,0.38358545303344727
m5b_high_smooth,21,0.336721291660547,0.10608372467201488,0.7422331083834532,3000,27600,0.44333624839782715
m5b_high_smooth,22,0.35130696497752106,0.1105115009141413,0.7336915940961206,3000,28200,0.4358999729156494
m5b_high_smooth,23,0.33239617133698957,0.10343835190696306,0.7417884347499896,3000,28800,0.3554496765136719
m5b_high_smooth,24,0.33945991793866426,0.10621112947560844,0.7607627372814038,3000,29400,0.38751220703125
m5b_high_smooth,25,0.3344907157035127,0.1047354148293238,0.7542662904803822,3000,30000,0.4563467502593994
m5b_high_smooth,26,0.35831154012950933,0.11327225223459504,0.7148728195337148,3000,30600,0.41007018089294434
m5b_high_smooth,27,0.34895325585114334,0.10979637980918816,0.7274891979860129,3000,31200,0.4407210350036621
m5b_high_smooth,28,0.34559198995586515,0.10915644459643954,0.713089708391261,3000,31800,0.35933804512023926
m5b_high_smooth,29,0.3503838765436701,0.1097028224802292,0.7342166505821226,3000,32400,0.40387511253356934
m5b_high_smooth,30,0.33530745562641806,0.10500924897496935,0.7494992383553147,3000,33000,0.5539824962615967
m5b_high_smooth,31,0.33954771362959,0.10718384725535755,0.7220336156736087,3000,33600,0.48607301712036133
m5b_high_smooth,32,0.3242114855345455,0.10038778828778731,0.7302950492565426,3000,34200,0.3823575973510742
m5b_high_smooth,33,0.3646635473978731,0.114428361738162,0.706791760045138,3000,34800,0.3979930877685547
m5b_high_smooth,34,0.3464609831308212,0.10782850107958306,0.738674662302039,3000,35400,0.4908607006072998
m5b_high_smooth,35,0.3619106927445725,0.11389198062559563,0.6923959925520354,3000,36000,0.48871469497680664
m5b_high_smooth,36,0.3658485903946477,0.11531479151589735,0.7309244660199341,3000,36600,0.4762287139892578
m5b_high_smooth,37,0.3671687757046357,0.11707629283606981,0.7063839298526939,3000,37200,0.5350074768066406
m5b_high_smooth,38,0.3450552092472176,0.10809863346281319,0.715243923048608,3000,37800,0.4787445068359375
m5b_high_smooth,39,0.3493622224024928,0.11012828457191196,0.6734538525768929,3000,38400,0.5172677040100098
m5b_high_smooth,40,0.3648386819267422,0.1149955548069253,0.7004744773290871,3000,39000,0.6064968109130859
m5b_high_smooth,41,0.35661660045325455,0.11277914113491759,0.7282703548066144,3000,39600,0.5420026779174805
m5b_high_smooth,42,0.36255753272543634,0.11494461439796706,0.68049457852044,3000,40200,0.49416255950927734
m5b_high_smooth,43,0.35334583772153566,0.11017549703033921,0.6955297390264871,3000,40800,0.5013761520385742
m5b_high_smooth,44,0.36543237979306104,0.11514078288139483,0.6791905620343505,3000,41400,0.5046825408935547
