day,method
85,rolling_14
86,rolling_14
87,rolling_14
88,rolling_14
89,rolling_14
90,rolling_14
91,rolling_14
92,rolling_14
93,rolling_14
94,rolling_14
95,rolling_14
96,rolling_14
97,rolling_14
98,rolling_14
99,rolling_14
100,rolling_14
101,rolling_14
102,rolling_14
103,rolling_14
104,rolling_14
105,rolling_14
106,rolling_14
107,rolling_14
108,rolling_14
109,rolling_14
110,rolling_14
111,rolling_14
112,rolling_14
113,rolling_14
114,rolling_14
115,rolling_14
116,rolling_14
117,rolling_14
118,rolling_14
119,rolling_14
