day,alpha,alpha_oracle,oracle_headroom
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.1,0.0003645604864601082
24,0.0,0.1,3.084842489642359e-05
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.1,0.0005678385807247333
30,0.0,0.1,0.000271026304077715
31,0.0,0.0,0.0
32,0.1,0.1,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.1,2.5402201626500975e-05
36,0.0,0.0,0.0
37,0.0,0.1,0.0010629495134533706
38,0.1,0.1,0.0
39,0.1,0.1,0.0
40,0.1,0.2,0.000299058245983308
41,0.1,0.2,0.00018252071050128826
42,0.1,0.1,0.0
43,0.1,0.2,0.00028909239143110055
44,0.1,0.1,0.0
45,0.1,0.1,0.0
46,0.1,0.1,0.0
47,0.1,0.2,0.0005081756947848959
48,0.1,0.2,0.001018896422117832
49,0.2,0.2,0.0
50,0.2,0.2,0.0
51,0.2,0.3,0.0006203007253538506
52,0.2,0.3,0.00025916291331434804
53,0.3,0.2,0.0007697127721789099
54,0.3,0.3,0.0
55,0.3,0.2,0.0010797108220517715
56,0.2,0.2,0.0
57,0.2,0.4,0.003364030931332751
58,0.3,0.3,0.0
59,0.3,0.2,0.0014849283815400183
60,0.3,0.3,0.0
61,0.2,0.4,0.0032041049469171967
62,0.3,0.4,0.0002770735023296944
63,0.3,0.3,0.0
64,0.4,0.3,0.00021781034241508124
65,0.3,0.3,0.0
66,0.3,0.4,0.0007949263851337318
67,0.4,0.4,0.0
68,0.4,0.4,0.0
69,0.4,0.5,7.67568897955262e-05
70,0.4,0.4,0.0
71,0.4,0.5,0.0005574732562801388
72,0.4,0.4,0.0
73,0.4,0.4,0.0
74,0.4,0.4,0.0
75,0.4,0.5,0.00018802909147919156
76,0.4,0.4,0.0
77,0.4,0.5,2.30136243450918e-07
78,0.4,0.4,0.0
79,0.4,0.6,0.002785878057924962
80,0.5,0.5,0.0
81,0.5,0.5,0.0
82,0.5,0.6,0.00019365968791829058
83,0.5,0.6,0.0011794962160913136
84,0.6,0.6,0.0
85,0.6,0.5,0.0002928348844106199
86,0.6,0.6,0.0
87,0.6,0.6,0.0
88,0.6,0.5,0.0005005025084512393
89,0.6,0.6,0.0
90,0.6,0.6,0.0
91,0.6,0.6,0.0
92,0.6,0.6,0.0
93,0.6,0.6,0.0
94,0.6,0.7,0.0016069462782937194
95,0.6,0.7,0.0007015323485148328
96,0.7,0.6,0.0016871030187964875
97,0.7,0.6,0.0007468150004296126
98,0.6,0.6,0.0
99,0.6,0.7,0.0003190556316510218
100,0.6,0.7,0.0011646769717870153
101,0.7,0.6,0.0008582189233869442
102,0.7,0.7,0.0
103,0.7,0.7,0.0
104,0.7,0.7,0.0
105,0.7,0.7,0.0
106,0.7,0.7,0.0
107,0.7,0.7,0.0
108,0.7,0.7,0.0
109,0.7,0.7,0.0
110,0.7,0.8,0.0001162145196715314
111,0.7,0.8,0.0010280443546599183
112,0.7,0.7,0.0
113,0.7,0.7,0.0
114,0.7,0.8,0.0013320282485938528
115,0.7,0.8,0.001900962973769793
116,0.8,0.8,0.0
117,0.8,0.8,0.0
118,0.8,0.7,0.0003492777480776921
119,0.8,0.7,0.0003694049491677065
