method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m5b_smooth0.001,4,0.36798315627757744,0.11801673555179451,0.7372024005227945,3000,9600,0.20848560333251953
m5b_smooth0.001,5,0.3421855192448819,0.10876809623655934,0.7564430964816077,3000,11400,0.166900634765625
m5b_smooth0.001,6,0.3403909383136726,0.10869264002259643,0.7958204078678632,3000,13200,0.1954028606414795
m5b_smooth0.001,7,0.3402338220582706,0.10733647287343347,0.7686128672902066,3000,15000,0.19492149353027344
m5b_smooth0.001,8,0.3474402139011228,0.1103904235510115,0.7648826258946806,3000,16200,0.20702290534973145
m5b_smooth0.001,9,0.34009282573401295,0.10732339534006789,0.7628441303936415,3000,17400,0.2246532440185547
m5b_smooth0.001,10,0.3415206899989633,0.10836088361832606,0.7526378683018039,3000,18600,0.23745107650756836
m5b_smooth0.001,11,0.3539865370923935,0.11108888369760028,0.7673282278397726,3000,19800,0.23285222053527832
m5b_smooth0.001,12,0.34079843566040124,0.10696833634627356,0.7548424329913852,3000,21000,0.2625114917755127
m5b_smooth0.001,13,0.33972533084592765,0.1059031312430894,0.7599909712189507,3000,22200,0.2749638557434082
m5b_smooth0.001,14,0.342432404841506,0.10788872026976998,0.7574192638984547,3000,23400,0.28133249282836914
m5b_smooth0.001,15,0.32059940308824064,0.0998325874839083,0.7791934826484133,3000,24000,0.2805674076080322
m5b_smooth0.001,16,0.33824066383908824,0.1061597221491358,0.7619892718815454,3000,24600,0.2749495506286621
m5b_smooth0.001,17,0.33741575782396044,0.10544392748188032,0.7720082191203107,3000,25200,0.30208325386047363
m5b_smooth0.001,18,0.3318847947047352,0.10445986647444605,0.7715159920032437,3000,25800,0.3636665344238281
m5b_smooth0.001,19,0.335254209857586,0.10525670408504444,0.7787374009931248,3000,26400,0.33280396461486816
m5b_smooth0.001,20,0.3771606463987796,0.11997557587044977,0.7450692875462899,3000,27000,0.35099196434020996
m5b_smooth0.001,21,0.33201689337015056,0.10470907867496004,0.7458152899024234,3000,27600,0.3659670352935791
m5b_smooth0.001,22,0.3475075423138455,0.1089513039594732,0.7400978939476586,3000,28200,0.29754638671875
m5b_smooth0.001,23,0.3304592348034835,0.10282954005927257,0.7443347028918013,3000,28800,0.3938565254211426
m5b_smooth0.001,24,0.336493508426726,0.10504657150392992,0.7659180521328182,3000,29400,0.36232876777648926
m5b_smooth0.001,25,0.33143540135781235,0.1035969577823685,0.7584310233735448,3000,30000,0.4253363609313965
m5b_smooth0.001,26,0.35407852620855995,0.11186121270725202,0.7203160838856988,3000,30600,0.42070841789245605
m5b_smooth0.001,27,0.344727615851762,0.10823393593357813,0.7348986310083105,3000,31200,0.3635365962982178
m5b_smooth0.001,28,0.34184780850190355,0.10775170474456314,0.7199555473959586,3000,31800,0.3643820285797119
m5b_smooth0.001,29,0.34855176243237446,0.10910713440380915,0.7366838961235576,3000,32400,0.4445157051086426
m5b_smooth0.001,30,0.3340791781042807,0.10458423129422492,0.7501866828328904,3000,33000,0.4641420841217041
m5b_smooth0.001,31,0.339106734187627,0.10702944397109021,0.721871061992751,3000,33600,0.3728642463684082
m5b_smooth0.001,32,0.32408916381840536,0.10021272095822716,0.7321333792048937,3000,34200,0.40538907051086426
m5b_smooth0.001,33,0.36332035625180453,0.11407035911570933,0.7084669302143743,3000,34800,0.44081902503967285
m5b_smooth0.001,34,0.3446423249321259,0.10715885537810653,0.7422608713166098,3000,35400,0.3115885257720947
m5b_smooth0.001,35,0.36046979679088653,0.11360686911623474,0.693682139980605,3000,36000,0.41948390007019043
m5b_smooth0.001,36,0.36408869460634985,0.1148359913590084,0.7335035537377141,3000,36600,0.393557071685791
m5b_smooth0.001,37,0.36488332800086165,0.11639739778781703,0.7090091170393716,3000,37200,0.3781116008758545
m5b_smooth0.001,38,0.3439978921433644,0.10747690602151969,0.7200211769904301,3000,37800,0.4730045795440674
m5b_smooth0.001,39,0.350136919641437,0.11032156055271397,0.6733566792347897,3000,38400,0.5220592021942139
m5b_smooth0.001,40,0.36534364711524736,0.11512118724766106,0.6996810394657655,3000,39000,0.5283806324005127
m5b_smooth0.001,41,0.35693997206613365,0.11287399602401968,0.7283797283048535,3000,39600,0.463543176651001
m5b_smooth0.001,42,0.3621738183735303,0.11485707624273743,0.6810298756144433,3000,40200,0.4728085994720459
m5b_smooth0.001,43,0.352733663737695,0.11008762996395459,0.6964011479134065,3000,40800,0.47439026832580566
m5b_smooth0.001,44,0.3647594256177672,0.11501518207175583,0.6796195134388232,3000,41400,0.4280695915222168
m5b_smooth0.001,45,0.36704412939571,0.11577799391853856,0.7073087039396285,3000,42000,0.4878671169281006
m5b_smooth0.001,46,0.36530826869100047,0.11483499191074938,0.7024674802485771,3000,42600,0.47191739082336426
m5b_smooth0.001,47,0.3581241174978793,0.11266530516043848,0.6731483294810985,3000,43200,0.4985675811767578
m5b_smooth0.001,48,0.3570331835789286,0.11246881315145468,0.6895005868886885,3000,43800,0.5144937038421631
m5b_smooth0.001,49,0.36679754343668675,0.11578257515835279,0.6872148164110673,3000,44400,0.3935282230377197
m5b_smooth0.001,50,0.3621351346928738,0.11506394809849683,0.6688136043396493,3000,45000,0.4767324924468994
m5b_smooth0.001,51,0.35823066779835977,0.11348824775211123,0.6696883789419174,3000,45600,0.5105760097503662
m5b_smooth0.001,52,0.3701098372822563,0.11760383645714496,0.6744246029660983,3000,46200,0.5124728679656982
m5b_smooth0.001,53,0.35919891793116515,0.11378260710497466,0.6486725134482779,3000,46800,0.41612768173217773
m5b_smooth0.001,54,0.3626841596718322,0.1139327631216514,0.6396776459765459,3000,47400,0.569251537322998
m5b_smooth0.001,55,0.3520309911234173,0.11039612015371264,0.6711662246505897,3000,48000,0.5649423599243164
m5b_smooth0.001,56,0.37292674754066274,0.1171238963855709,0.6886869253968788,3000,48600,0.5354278087615967
m5b_smooth0.001,57,0.36166776371591974,0.11483253736643817,0.6879613791387178,3000,49200,0.6124489307403564
m5b_smooth0.001,58,0.36357628718243934,0.11515834775230845,0.6486958779220271,3000,49800,0.42023134231567383
m5b_smooth0.001,59,0.36153775676687905,0.11460430213203748,0.6849817305480715,3000,50400,0.6036837100982666
m5b_smooth0.001,60,0.36427095377188556,0.11524611108013376,0.6342495892350253,3000,51000,0.4290640354156494
m5b_smooth0.001,61,0.35132171475192064,0.1091161579651646,0.7283788109115216,3000,51600,0.6009552478790283
m5b_smooth0.001,62,0.3501671221912524,0.10995314078484347,0.6845370227218892,3000,52200,0.5761380195617676
m5b_smooth0.001,63,0.3638687490353996,0.1149751803025676,0.6736882755662348,3000,52800,0.6347637176513672
m5b_smooth0.001,64,0.35670390591501866,0.11248058131358694,0.6985799953762923,3000,53400,0.45050787925720215
m5b_smooth0.001,65,0.36991962354304375,0.11580619647414202,0.6650105486027014,3000,54000,0.6428079605102539
m5b_smooth0.001,66,0.35456844222178197,0.11207039832652024,0.7042103971626312,3000,54600,0.6056358814239502
m5b_smooth0.001,67,0.3705252000509581,0.11801402053798205,0.6756401322228525,3000,55200,0.6499440670013428
m5b_smooth0.001,68,0.37802897258010915,0.12196273155502399,0.6427090535003568,3000,55800,0.47600722312927246
m5b_smooth0.001,69,0.35839881236948684,0.11283121407767459,0.6756231749887961,3000,56400,0.6454372406005859
m5b_smooth0.001,70,0.3660417440876137,0.11495950004522718,0.6660573797838752,3000,57000,0.6729433536529541
m5b_smooth0.001,71,0.3681535940343301,0.11649667287372815,0.6756628456163256,3000,57600,0.4730978012084961
m5b_smooth0.001,72,0.3764431802543909,0.12038533873242994,0.6978457840220497,3000,58200,0.6134541034698486
m5b_smooth0.001,73,0.370897504929483,0.11786968727512984,0.6553832508963162,3000,58800,0.6471719741821289
m5b_smooth0.001,74,0.35348620427639776,0.1106684468964019,0.6498585068432049,3000,59400,0.6748707294464111
m5b_smooth0.001,75,0.3696765831818999,0.11654325698356949,0.6682528304522876,3000,60000,0.534949541091919
m5b_smooth0.001,76,0.36619004149447526,0.11598005913754908,0.6603544177056812,3000,60600,0.6385955810546875
m5b_smooth0.001,77,0.3780403272344142,0.1204396109271557,0.7088486190681694,3000,61200,0.6549293994903564
m5b_smooth0.001,78,0.359730023962133,0.11390734654437258,0.7112576591182119,3000,61800,0.7101681232452393
m5b_smooth0.001,79,0.3760182443262279,0.11993017236895506,0.6902463997781176,3000,62400,0.5603513717651367
m5b_smooth0.001,80,0.35512934732818946,0.11210475778310952,0.7016939146366754,3000,63000,0.6859142780303955
m5b_smooth0.001,81,0.3643401258696734,0.11438934010310338,0.7121507466372494,3000,63600,0.5496809482574463
m5b_smooth0.001,82,0.3779589166468877,0.12191087719870791,0.6763366192190349,3000,64200,0.7316737174987793
m5b_smooth0.001,83,0.3612748085562374,0.11429691149595618,0.7265211653216428,3000,64800,0.7408285140991211
m5b_smooth0.001,84,0.36084067872467707,0.11327549424009312,0.7073404717534049,3000,65400,0.6266560554504395
m5b_smooth0.001,85,0.3518036107298072,0.11140737503257356,0.7220128919007187,3000,66000,0.777947187423706
m5b_smooth0.001,86,0.352991589096252,0.11060081372295899,0.7498868947271456,3000,66600,0.725787878036499
m5b_smooth0.001,87,0.37983826285089134,0.12162303980961203,0.7133359583233736,3000,67200,0.7536802291870117
m5b_smooth0.001,88,0.37380179213371933,0.11914812139675245,0.7038251152101994,3000,67800,0.6127889156341553
m5b_smooth0.001,89,0.3444900220694935,0.10817629893621043,0.7452522286230112,3000,68400,0.7397055625915527
m5b_smooth0.001,90,0.37360564076362923,0.11942694981672933,0.6977121847873192,3000,69000,0.758659839630127
m5b_smooth0.001,91,0.36291332430533774,0.11486055480712756,0.7147628008056975,3000,69600,0.7743997573852539
m5b_smooth0.001,92,0.36592802604987174,0.11562581194762868,0.7417660236419373,3000,70200,0.635399341583252
m5b_smooth0.001,93,0.3573658522767276,0.11163316453916126,0.7564796263343753,3000,70800,0.7564306259155273
m5b_smooth0.001,94,0.3368054419882053,0.1048363375434465,0.764689270983833,3000,71400,0.7815220355987549
m5b_smooth0.001,95,0.35850146978055725,0.11242112836857544,0.7493934922256718,3000,72000,0.7900612354278564
m5b_smooth0.001,96,0.3580478504820432,0.1139688973459068,0.7578387256865657,3000,72600,0.6784243583679199
m5b_smooth0.001,97,0.36338462674155836,0.11493749337380985,0.7373434304623645,3000,73200,0.7814464569091797
m5b_smooth0.001,98,0.35905402174319934,0.11317554283466094,0.7584717415186706,3000,73800,0.787445068359375
m5b_smooth0.001,99,0.37132301159766906,0.1185158694713593,0.7443099739139231,3000,74400,0.821535587310791
m5b_smooth0.001,100,0.35858411202638796,0.11354398493338419,0.7835786604969499,3000,75000,0.797175407409668
m5b_smooth0.001,101,0.3768826277017372,0.12007587980552262,0.7491791646560562,3000,75600,0.7068653106689453
m5b_smooth0.001,102,0.35216373361184355,0.11132726777291915,0.7818167190862266,3000,76200,0.8084242343902588
m5b_smooth0.001,103,0.35361397603658346,0.11218796541349578,0.7672902456484842,3000,76800,0.8609416484832764
