day,method
85,expanding
86,expanding
87,expanding
88,expanding
89,expanding
90,expanding
91,expanding
92,expanding
93,expanding
94,expanding
95,expanding
96,rolling_7
97,rolling_7
98,rolling_7
99,rolling_7
100,rolling_7
101,rolling_7
102,rolling_7
103,rolling_7
104,rolling_14
105,rolling_14
106,rolling_14
107,rolling_14
108,rolling_14
109,rolling_14
110,rolling_14
111,rolling_14
112,rolling_14
113,rolling_14
114,rolling_14
115,rolling_14
116,rolling_14
117,rolling_14
118,rolling_14
119,rolling_14
