method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m5c_periodic,4,0.3598290740323687,0.11525466062485296,0.7522026881591807,3000,9600,0.17089152336120605
m5c_periodic,5,0.3451292292664457,0.1098141103081142,0.7636178319326127,3000,11400,0.20124578475952148
m5c_periodic,6,0.331711720182521,0.10493264471781807,0.813562438313535,3000,13200,0.2284409999847412
m5c_periodic,7,0.339249122052271,0.10697675301446705,0.7870166813502061,3000,15000,0.24364209175109863
m5c_periodic,8,0.34231600098555587,0.10842435667298829,0.7906071373108479,3000,16200,0.25652480125427246
m5c_periodic,9,0.33720261544514574,0.1069818781642305,0.7898593417360892,3000,17400,0.28402233123779297
m5c_periodic,10,0.3334059612913612,0.10518977761416677,0.7927557305647005,3000,18600,0.28772616386413574
m5c_periodic,11,0.3413013288393497,0.10695137455951656,0.8023749412257021,3000,19800,0.2929987907409668
m5c_periodic,12,0.3255251385806386,0.10187222876718928,0.7968764556143074,3000,21000,0.3179905414581299
m5c_periodic,13,0.3297655623630581,0.10278827599849918,0.7940100594460127,3000,22200,0.33664917945861816
m5c_periodic,14,0.3306316672455962,0.1035983822535701,0.805609362220429,3000,23400,0.3577396869659424
m5c_periodic,15,0.3045570082546956,0.09409574381463943,0.8327774969022093,3000,24000,0.3518252372741699
m5c_periodic,16,0.33280567864688,0.1040477058720325,0.8081130142827091,3000,24600,0.3648641109466553
m5c_periodic,17,0.3268046645462156,0.10287352064173587,0.8196505599707408,3000,25200,0.3684682846069336
m5c_periodic,18,0.3245145485721575,0.10187181762847566,0.825207278994946,3000,25800,0.39377713203430176
m5c_periodic,19,0.32234724946413473,0.10063989218493669,0.8254760907198319,3000,26400,0.40361833572387695
m5c_periodic,20,0.35551246984715024,0.11198719968035013,0.8036220301540435,3000,27000,0.4292261600494385
m5c_periodic,21,0.3160956530503429,0.09880564803168569,0.8151424380112218,3000,27600,0.4361433982849121
m5c_periodic,22,0.327314881420457,0.10130957767240606,0.819056073392603,3000,28200,0.4365873336791992
m5c_periodic,23,0.3192430013603167,0.09909886290592866,0.8034306259049476,3000,28800,0.44559550285339355
m5c_periodic,24,0.3168778605859144,0.09741920728092562,0.8219144466313809,3000,29400,0.4712252616882324
m5c_periodic,25,0.3049198892539175,0.0930095588898011,0.8376196411033264,3000,30000,0.47818875312805176
m5c_periodic,26,0.31911507042401405,0.09819026553263775,0.8195305563264348,3000,30600,0.48583054542541504
m5c_periodic,27,0.32842160169541373,0.10202113350269898,0.8129830035995617,3000,31200,0.48628997802734375
m5c_periodic,28,0.32178421851472383,0.10018204071015492,0.8217884272061872,3000,31800,0.4859340190887451
m5c_periodic,29,0.3173846212972236,0.09732687056953282,0.8166774911300673,3000,32400,0.5164175033569336
m5c_periodic,30,0.31357003709023357,0.09728854035660495,0.8417489893878999,3000,33000,0.5234246253967285
m5c_periodic,31,0.313507585058228,0.09776683705561554,0.8286498297889986,3000,33600,0.5378997325897217
m5c_periodic,32,0.31374776221359274,0.09760358356472396,0.8168374377472216,3000,34200,0.557642936706543
m5c_periodic,33,0.32632956090866017,0.10169746011767289,0.8218848489779602,3000,34800,0.5841419696807861
m5c_periodic,34,0.3101434208976333,0.09483878157698077,0.8468541595658815,3000,35400,0.5747182369232178
m5c_periodic,35,0.3177246065058996,0.09820006137676414,0.8223781300689201,3000,36000,0.617384672164917
m5c_periodic,36,0.3280658309333445,0.10219069248594694,0.8312585220361975,3000,36600,0.6147027015686035
m5c_periodic,37,0.3162130715624662,0.09772064121032198,0.8423085148754677,3000,37200,0.614180326461792
m5c_periodic,38,0.3189955557771033,0.09924926907487931,0.8183351968166441,3000,37800,0.628678560256958
m5c_periodic,39,0.3145209783876594,0.0966920383455428,0.820990545761588,3000,38400,0.6763420104980469
m5c_periodic,40,0.3175774692499022,0.09844244673317504,0.8332036398234226,3000,39000,0.682828426361084
m5c_periodic,41,0.31404061730049454,0.09762574427232953,0.8442463124725448,3000,39600,0.6597468852996826
m5c_periodic,42,0.3231266877031216,0.10084630292670582,0.8200898430140705,3000,40200,0.6805038452148438
m5c_periodic,43,0.31227849331937957,0.09644237248262509,0.8154105979000601,3000,40800,0.747246503829956
