method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.35204629149274325,0.11273613571067248,0.7589944041382154,3000,12000,0.06153678894042969
rolling_1,4,0.5801132430297076,0.1713588269775236,0.6009299086728942,3000,3000,0.012226104736328125
rolling_3,4,0.38182523381068184,0.12224424048571103,0.726445607602093,3000,9000,0.0373072624206543
rolling_7,4,0.35204629149274325,0.11273613571067248,0.7589944041382154,3000,12000,0.03682088851928711
rolling_14,4,0.35204629149274325,0.11273613571067248,0.7589944041382154,3000,12000,0.03302907943725586
decay_hl1,4,0.3903453433102083,0.12339082834713383,0.7286351142801177,3000,12000,0.023745059967041016
decay_hl3,4,0.357333731023187,0.11379085581106077,0.7554944345277504,3000,12000,0.028407812118530273
decay_hl7,4,0.35292371365196534,0.11277653732128931,0.7582667191991377,3000,12000,0.03234672546386719
expanding,5,0.3445064130504619,0.10961712380053532,0.7640695796151797,3000,15000,0.041708946228027344
rolling_1,5,0.60484280400009,0.17804326941086954,0.562477124314477,3000,3000,0.007373332977294922
rolling_3,5,0.3762830314316269,0.12066119057455649,0.7265246905544354,3000,9000,0.02867412567138672
rolling_7,5,0.3445064130504619,0.10961712380053532,0.7640695796151797,3000,15000,0.041475772857666016
rolling_14,5,0.3445064130504619,0.10961712380053532,0.7640695796151797,3000,15000,0.0417630672454834
decay_hl1,5,0.39466195115456426,0.12494988141763134,0.7201719652029466,3000,15000,0.026851177215576172
decay_hl3,5,0.35340235275665527,0.11206474188031867,0.7585647395168938,3000,15000,0.03482699394226074
decay_hl7,5,0.3466584477034855,0.11025749180178267,0.7629167236826778,3000,15000,0.03812265396118164
expanding,6,0.33125048984957634,0.10480915801425934,0.8139219160984384,3000,18000,0.05140495300292969
rolling_1,6,0.6071593931449962,0.173985252016567,0.5873613274830889,3000,3000,0.0072596073150634766
rolling_3,6,0.38276874187316107,0.12301268115324641,0.7495122273822323,3000,9000,0.026438474655151367
rolling_7,6,0.33125048984957634,0.10480915801425934,0.8139219160984384,3000,18000,0.04991555213928223
rolling_14,6,0.33125048984957634,0.10480915801425934,0.8139219160984384,3000,18000,0.05186033248901367
decay_hl1,6,0.41070864498448834,0.13072311023492902,0.7485026924108897,3000,18000,0.0325007438659668
decay_hl3,6,0.3505062778284549,0.11032210019881378,0.8035547261909683,3000,18000,0.040164947509765625
decay_hl7,6,0.33714654039515274,0.10634448767989778,0.8120170012083682,3000,18000,0.041463613510131836
expanding,7,0.3390531281598911,0.10691968129542266,0.7871212198840482,3000,21000,0.05727720260620117
rolling_1,7,0.5930446928969549,0.17309265076308747,0.570544900220647,3000,3000,0.007349967956542969
rolling_3,7,0.38852132207295864,0.12480216530882077,0.7191947186706429,3000,9000,0.02672100067138672
rolling_7,7,0.3390531281598911,0.10691968129542266,0.7871212198840482,3000,21000,0.055036306381225586
rolling_14,7,0.3390531281598911,0.10691968129542266,0.7871212198840482,3000,21000,0.05723237991333008
decay_hl1,7,0.4160669186441099,0.132416667659003,0.7209336747089483,3000,21000,0.03844952583312988
decay_hl3,7,0.3576290626626744,0.1127479230348803,0.7767403732891031,3000,21000,0.04419851303100586
decay_hl7,7,0.3450593179834098,0.10889397998797036,0.7854106055410848,3000,21000,0.04778432846069336
expanding,8,0.34147286776871305,0.10787953265328973,0.7918872712594247,3000,24000,0.06194734573364258
rolling_1,8,0.6402123134357735,0.18939556356786916,0.5578970157211453,3000,3000,0.007897138595581055
rolling_3,8,0.40094341204261946,0.1300089335419719,0.7167953703601566,3000,9000,0.027673006057739258
rolling_7,8,0.3457025211012699,0.10968635098216979,0.7865019771547025,3000,21000,0.054482460021972656
rolling_14,8,0.34147286776871305,0.10787953265328973,0.7918872712594247,3000,24000,0.06258201599121094
decay_hl1,8,0.4272749775140534,0.1367926152083718,0.7116321273389334,3000,24000,0.04059910774230957
decay_hl3,8,0.36269464324076495,0.11443564502491893,0.776519026608885,3000,24000,0.04795074462890625
decay_hl7,8,0.34782859033818037,0.10970365255553474,0.7882014085030091,3000,24000,0.05422472953796387
expanding,9,0.33603851707122717,0.10684308461781056,0.7897826425792587,3000,27000,0.06804990768432617
rolling_1,9,0.6380717677155219,0.18460659126547369,0.5453919424039811,3000,3000,0.0076923370361328125
rolling_3,9,0.3901053273664353,0.12472022879612223,0.7260346331730739,3000,9000,0.028707504272460938
rolling_7,9,0.3400134203298358,0.10818755131027542,0.7849682245034125,3000,21000,0.06011319160461426
rolling_14,9,0.33603851707122717,0.10684308461781056,0.7897826425792587,3000,27000,0.06832242012023926
decay_hl1,9,0.4299612891973301,0.13614219791457174,0.7109190820001939,3000,27000,0.03826403617858887
decay_hl3,9,0.3621711472811953,0.11343491618819423,0.7767471952121157,3000,27000,0.050475358963012695
decay_hl7,9,0.3442385773646385,0.10850703031399715,0.7875153867780219,3000,27000,0.06143903732299805
expanding,10,0.3317001890556942,0.10462904995943992,0.7952176710392717,3000,30000,0.07456803321838379
rolling_1,10,0.6377699450705133,0.18718813001790743,0.5491255848252198,3000,3000,0.007936477661132812
rolling_3,10,0.38913716374826707,0.12520388339228986,0.7154401046501063,3000,9000,0.028882265090942383
rolling_7,10,0.3412079971820001,0.10869734933311588,0.778120905483162,3000,21000,0.05659317970275879
rolling_14,10,0.3317001890556942,0.10462904995943992,0.7952176710392717,3000,30000,0.07314324378967285
decay_hl1,10,0.43196926305444183,0.13712659994380377,0.7145795026541562,3000,30000,0.042554616928100586
decay_hl3,10,0.3612151762806279,0.1128933847257672,0.780575783109965,3000,30000,0.051989078521728516
decay_hl7,10,0.34198354301305317,0.10711386694722078,0.7915991296771221,3000,30000,0.06002306938171387
expanding,11,0.33873257704497917,0.1061857880466152,0.805039180037477,3000,33000,0.07769179344177246
rolling_1,11,0.6725963349339664,0.19327964218233895,0.5491339976046474,3000,3000,0.007366657257080078
rolling_3,11,0.42396697531909383,0.13465426045667045,0.6948634407383761,3000,9000,0.026612520217895508
rolling_7,11,0.3508586620284125,0.11079161731230854,0.7874078364774157,3000,21000,0.057143449783325195
rolling_14,11,0.33873257704497917,0.1061857880466152,0.805039180037477,3000,33000,0.07705426216125488
decay_hl1,11,0.45658906893385887,0.14691685890913816,0.6867841464850449,3000,33000,0.04671883583068848
decay_hl3,11,0.37724740845046123,0.11796621553581925,0.7793590644396641,3000,33000,0.057443857192993164
decay_hl7,11,0.351985701952276,0.10974136754140032,0.7986319963582339,3000,33000,0.07164430618286133
expanding,12,0.3245368313262429,0.10168937563944612,0.7966873980849815,3000,36000,0.08598732948303223
rolling_1,12,0.6479126473893381,0.18444299106095113,0.5375091942787285,3000,3000,0.008116006851196289
rolling_3,12,0.38530265705058975,0.12170250562349899,0.7142724489760809,3000,9000,0.027893781661987305
