method,log_loss,brier,pr_auc,mean_train_rows,mean_fit_time_s,n_test_days
expanding,0.3106720260413414,0.095649922890169,0.8358260766473002,306000.0,0.5316508906228202,35
validation_selected(h=expanding),0.3106720260413414,0.095649922890169,0.8358260766473002,306000.0,0.5316508906228202,35
han_arw,0.3106720260413414,0.095649922890169,0.8358260766473002,306000.0,0.8718551158905029,35
rolling_14,0.3218932726719657,0.1004886377417726,0.812220141331277,42000.0,0.1093375205993652,35
diff_forgetting,0.3220141226996779,0.09866848855571,0.8351364156976052,306000.0,9.785461943490164,35
adamoe,0.3369867454184942,0.1060367210591433,0.7938495164534259,76200.0,1.1708311217171803,35
rolling_7,0.3377729461175379,0.1068578547710243,0.7844641823881994,21000.0,0.064240516935076,35
rolling_3,0.3888689599292371,0.1242591263380857,0.7181154139862906,9000.0,0.0341396944863455,35
decay_hl7,0.4201110690264494,0.1316047638265305,0.812362135166609,306000.0,0.4437160083225795,35
decay_hl3,0.4810224170569732,0.1551769531248261,0.7755578897163826,306000.0,0.4378193582807268,35
decay_hl1,0.5467940531355155,0.1811742325647851,0.6796029936347944,306000.0,0.4423561368669782,35
rolling_1,0.620239027178164,0.1799714697045389,0.552797882848713,3000.0,0.0083321094512939,35
sftl,0.9249051111085075,0.13280567207506724,0.6955049380591624,306000.0,0.0036620753152029856,35
