method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m1_global_mix,5,0.3445064130504619,0.10961712380053532,0.7640695796151797,3000,24000,0.29471826553344727
m1_global_mix,6,0.33125048984957634,0.10480915801425934,0.8139219160984384,3000,27000,0.37834835052490234
m1_global_mix,7,0.3390531281598911,0.10691968129542266,0.7871212198840482,3000,30000,0.29215526580810547
m1_global_mix,8,0.34147286776871305,0.10787953265328973,0.7918872712594247,3000,33000,0.37825679779052734
m1_global_mix,9,0.33603851707122717,0.10684308461781056,0.7897826425792587,3000,36000,0.41215038299560547
m1_global_mix,10,0.3317001890556942,0.10462904995943992,0.7952176710392717,3000,39000,0.42937350273132324
m1_global_mix,11,0.33873257704497917,0.1061857880466152,0.805039180037477,3000,42000,0.4597618579864502
m1_global_mix,12,0.3245368313262429,0.10168937563944612,0.7966873980849815,3000,45000,0.5042023658752441
m1_global_mix,13,0.32846235510602734,0.10237062175945429,0.7954088973505307,3000,48000,0.5112128257751465
m1_global_mix,14,0.3292218812638621,0.1032386277049117,0.8065422651275136,3000,51000,0.6431910991668701
m1_global_mix,15,0.30339035565352046,0.09367264322424618,0.8327759640636597,3000,54000,0.5595757961273193
m1_global_mix,16,0.3312121861292568,0.10342906900820849,0.8101577156449693,3000,57000,0.6275832653045654
m1_global_mix,17,0.32522992769714826,0.10243367765597505,0.8213526586800943,3000,60000,0.6061406135559082
m1_global_mix,18,0.3231447613371802,0.10141945682080647,0.8258113802680753,3000,63000,0.7166335582733154
m1_global_mix,19,0.3197123368464432,0.09967240879371299,0.828946375454573,3000,66000,0.6806254386901855
m1_global_mix,20,0.3543834338233132,0.11159061296570788,0.8045191808497133,3000,69000,0.7508635520935059
m1_global_mix,21,0.315525778905092,0.09872057016937308,0.8150855314564522,3000,72000,0.7904107570648193
m1_global_mix,22,0.3253494560748352,0.1006067776110901,0.8206990896807347,3000,75000,0.7595748901367188
m1_global_mix,23,0.3185658771809292,0.09892430169265445,0.8031570007647509,3000,78000,0.8677492141723633
m1_global_mix,24,0.31455817348847676,0.09671329673521295,0.8241927080169331,3000,81000,0.8469138145446777
m1_global_mix,25,0.30373095450770604,0.09273458066855303,0.8380197574417825,3000,84000,0.9374759197235107
m1_global_mix,26,0.3188202592414201,0.09816296796818799,0.8186820120009164,3000,87000,0.9387428760528564
m1_global_mix,27,0.32652718303985684,0.10149976309507186,0.8141037276664173,3000,90000,0.8566634654998779
m1_global_mix,28,0.3191649395590061,0.09933047600670862,0.8236055970148981,3000,93000,0.8912827968597412
m1_global_mix,29,0.31682920295555195,0.09716871013573954,0.8167780209442657,3000,96000,0.996575117111206
m1_global_mix,30,0.31256702485759424,0.09696004599060058,0.8419701556421487,3000,99000,1.1205434799194336
m1_global_mix,31,0.3123074819183051,0.09751050270122316,0.8284205779394184,3000,102000,1.1034636497497559
m1_global_mix,32,0.31285703386703095,0.09727207449958387,0.8169520469032063,3000,105000,1.0854439735412598
m1_global_mix,33,0.3244311473482566,0.10129208171416595,0.822140244163245,3000,108000,1.1656904220581055
m1_global_mix,34,0.30859707765874334,0.09431669096883592,0.8477107116015609,3000,111000,1.0424041748046875
m1_global_mix,35,0.317015386653718,0.09798781773498028,0.8228831896283283,3000,114000,1.2264320850372314
m1_global_mix,36,0.32682493273209035,0.10171505657357378,0.8329391409804354,3000,117000,1.1689262390136719
m1_global_mix,37,0.31501220874965624,0.09742891999547966,0.8422118690849044,3000,120000,1.3927063941955566
m1_global_mix,38,0.3175936726066808,0.09882321369347201,0.8194057652273761,3000,123000,1.0629026889801025
m1_global_mix,39,0.3121624489533774,0.09589093659062028,0.8229417829147977,3000,126000,1.414625644683838
m1_global_mix,40,0.3173662921422658,0.09837703022536946,0.8326903718997402,3000,129000,1.476381778717041
m1_global_mix,41,0.3131048046923505,0.09733367603746383,0.8439560522600421,3000,132000,1.3600938320159912
m1_global_mix,42,0.32044770191235283,0.09986512615124345,0.8237218599744862,3000,135000,1.3729102611541748
m1_global_mix,43,0.3105251071358087,0.09586232275219489,0.8176330596927213,3000,138000,1.5968270301818848
m1_global_mix,44,0.31960435695867434,0.09941909210504753,0.8255608487846167,3000,141000,1.568474292755127
m1_global_mix,45,0.32520843836631397,0.10044843665693774,0.8271552245064125,3000,144000,1.4564580917358398
m1_global_mix,46,0.30971579572206065,0.09543149768803982,0.8603284721669214,3000,147000,1.4893605709075928
m1_global_mix,47,0.31527140199689485,0.0968468789621707,0.82329822618817,3000,150000,1.550157070159912
m1_global_mix,48,0.3128493145155966,0.09648053365215792,0.8398245237065644,3000,153000,1.589747667312622
m1_global_mix,49,0.3175780305656107,0.09841122251638844,0.8315009415039708,3000,156000,1.7037973403930664
m1_global_mix,50,0.30965552472943864,0.09582078535698312,0.8274219006325607,3000,159000,1.5480406284332275
m1_global_mix,51,0.30383766596484146,0.09321734801892209,0.8333799053592276,3000,162000,1.6669912338256836
m1_global_mix,52,0.3182628518859299,0.09859469824617288,0.8233952521425206,3000,165000,1.8452231884002686
m1_global_mix,53,0.31072131294816185,0.09649501103403475,0.8213426162439135,3000,168000,1.7244336605072021
m1_global_mix,54,0.3146741170096509,0.09720791672063134,0.8180885299366891,3000,171000,1.65162992477417
m1_global_mix,55,0.30629817193377373,0.09449832477326021,0.8385533299485302,3000,174000,1.9048972129821777
m1_global_mix,56,0.32803975352007836,0.10163639179913712,0.8252702564786,3000,177000,1.9277100563049316
m1_global_mix,57,0.314274101454333,0.09809263355737054,0.8270879237629464,3000,180000,1.854863166809082
m1_global_mix,58,0.3239571909258529,0.10131406270920282,0.8098368161922761,3000,183000,1.9089760780334473
m1_global_mix,59,0.3139915609276097,0.09725870757933834,0.8125571881057239,3000,186000,1.8488867282867432
m1_global_mix,60,0.30454216090041436,0.09364262169880677,0.8241604396485394,3000,189000,2.017216444015503
m1_global_mix,61,0.33294194713603215,0.10357809021833964,0.8440625201409083,3000,192000,2.087956666946411
m1_global_mix,62,0.30039379785085013,0.0921005008271183,0.8506799974360675,3000,195000,2.039092779159546
m1_global_mix,63,0.3087984534191685,0.09503041407360595,0.8259752889783095,3000,198000,1.960221529006958
m1_global_mix,64,0.31526926522386634,0.09807628971320285,0.8334126359223645,3000,201000,2.0927395820617676
m1_global_mix,65,0.31599450167239873,0.09783676216040464,0.8330009688723196,3000,204000,2.1073083877563477
m1_global_mix,66,0.29560020670143977,0.09055696249925571,0.834259130744654,3000,207000,2.1337218284606934
m1_global_mix,67,0.30083715151505236,0.09171745851223098,0.8364574362652694,3000,210000,2.0064470767974854
m1_global_mix,68,0.309724659323776,0.09571254131952803,0.8428213435513766,3000,213000,2.193551540374756
m1_global_mix,69,0.29295283727247884,0.08841921940670254,0.8385823038042397,3000,216000,2.180943489074707
m1_global_mix,70,0.30953261892386247,0.09495446512979494,0.8365471169130836,3000,219000,2.182884693145752
m1_global_mix,71,0.29947739776048204,0.09166200471965764,0.8556456521462732,3000,222000,2.151254653930664
m1_global_mix,72,0.31656526469082646,0.0983302166293043,0.8217061967627637,3000,225000,2.301149368286133
m1_global_mix,73,0.3084156998638148,0.09548653606795857,0.8426282092153256,3000,228000,2.1321585178375244
m1_global_mix,74,0.30848978653984127,0.09493929356490712,0.8450360463806341,3000,231000,2.200406551361084
m1_global_mix,75,0.32084270150821353,0.0986023639079638,0.8518469006670952,3000,234000,2.3454527854919434
m1_global_mix,76,0.31875010954320987,0.0983128182253112,0.8155716083739418,3000,237000,2.2590229511260986
m1_global_mix,77,0.3216882967610552,0.09947227688553732,0.8261412013764053,3000,240000,2.475658416748047
m1_global_mix,78,0.3068367301525262,0.09442639994181229,0.8317751568671315,3000,243000,2.5497450828552246
m1_global_mix,79,0.3284306364734664,0.10165390008799081,0.7999701685417163,3000,246000,2.312922954559326
m1_global_mix,80,0.30835047826715944,0.09473484878301186,0.854746231838026,3000,249000,2.4757513999938965
m1_global_mix,81,0.32544747810363467,0.10203385488424387,0.8245143060169468,3000,252000,2.5418593883514404
m1_global_mix,82,0.32812743873218264,0.10344764973531421,0.8091268977347088,3000,255000,2.623640537261963
m1_global_mix,83,0.31235225370346786,0.09594893533283531,0.8610441220847728,3000,258000,2.5301647186279297
m1_global_mix,84,0.3183094226202869,0.0985057932792872,0.8383475149504067,3000,261000,2.544137716293335
m1_global_mix,85,0.3038054221520359,0.09305748698719772,0.8412339569312871,3000,264000,2.7382919788360596
m1_global_mix,86,0.3023338727302904,0.09257239335027377,0.844143722298157,3000,267000,2.6807291507720947
m1_global_mix,87,0.3183345138220169,0.09897406230600844,0.8249388860617128,3000,270000,2.8836965560913086
m1_global_mix,88,0.32861351235532715,0.10143472501615475,0.8238467714210888,3000,273000,2.7858853340148926
m1_global_mix,89,0.30118837973036505,0.09285681761980652,0.8595218464757116,3000,276000,2.9845547676086426
m1_global_mix,90,0.31457448927634285,0.09740702495026678,0.8340654826376704,3000,279000,2.878105878829956
m1_global_mix,91,0.31367161656533266,0.09665673436132241,0.8288915127169403,3000,282000,2.6440956592559814
m1_global_mix,92,0.3125434148416385,0.09647149257790882,0.836038532705613,3000,285000,2.775984525680542
m1_global_mix,93,0.318193834045055,0.09863106161362244,0.8447841853775107,3000,288000,3.0478241443634033
m1_global_mix,94,0.30380463130695773,0.09314834570729537,0.8536414811167357,3000,291000,2.764097213745117
m1_global_mix,95,0.30436284635808086,0.09347832558685093,0.8296671329807053,3000,294000,3.0869786739349365
m1_global_mix,96,0.2887276721004881,0.08762169716038655,0.8500172951162903,3000,297000,3.050184965133667
m1_global_mix,97,0.32287259255819173,0.10025227042479101,0.8205336323950565,3000,300000,2.7144615650177
m1_global_mix,98,0.31418195725509984,0.0961741101550073,0.8109565744460006,3000,303000,2.8481638431549072
m1_global_mix,99,0.30334352314122254,0.09257181812927018,0.8468495635682087,3000,306000,2.9357500076293945
m1_global_mix,100,0.32030577915021197,0.09992557470988452,0.811676821182521,3000,309000,2.8214569091796875
m1_global_mix,101,0.32339333268674103,0.10078498485418319,0.8276602397604229,3000,312000,3.207880973815918
m1_global_mix,102,0.3004466805696356,0.09209882752838511,0.8420439245905298,3000,315000,2.939225912094116
m1_global_mix,103,0.29671608118491427,0.08976346168979883,0.8461341283693797,3000,318000,3.457406997680664
m1_global_mix,104,0.3079648563833819,0.09475779029783445,0.8282650719078656,3000,321000,3.1959524154663086
m1_global_mix,105,0.3187335115260499,0.09792397940547584,0.8494084835549685,3000,324000,3.4088618755340576
m1_global_mix,106,0.3069579811184236,0.0938676701969382,0.8319392955695044,3000,327000,2.86277437210083
m1_global_mix,107,0.3097068273893506,0.09500588292488715,0.8347470259536979,3000,330000,3.097290515899658
m1_global_mix,108,0.30201135039404015,0.0928231470783331,0.8354554650922321,3000,333000,3.2417733669281006
m1_global_mix,109,0.30702360468370676,0.09477353109543332,0.840915120101485,3000,336000,3.1870133876800537
m1_global_mix,110,0.3139437364469458,0.0968408601531272,0.8277759473351588,3000,339000,3.280900001525879
