method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.35204629149274325,0.11273613571067248,0.7589944041382154,3000,12000,0.04358410835266113
rolling_1,4,0.5801132430297076,0.1713588269775236,0.6009299086728942,3000,3000,0.008591890335083008
rolling_3,4,0.38182523381068184,0.12224424048571103,0.726445607602093,3000,9000,0.031691551208496094
rolling_7,4,0.35204629149274325,0.11273613571067248,0.7589944041382154,3000,12000,0.03850817680358887
rolling_14,4,0.35204629149274325,0.11273613571067248,0.7589944041382154,3000,12000,0.043683528900146484
decay_hl1,4,0.3903453433102083,0.12339082834713383,0.7286351142801177,3000,12000,0.027410268783569336
decay_hl3,4,0.357333731023187,0.11379085581106077,0.7554944345277504,3000,12000,0.03349733352661133
decay_hl7,4,0.35292371365196534,0.11277653732128931,0.7582667191991377,3000,12000,0.03836464881896973
expanding,5,0.3445064130504619,0.10961712380053532,0.7640695796151797,3000,15000,0.04993271827697754
rolling_1,5,0.60484280400009,0.17804326941086954,0.562477124314477,3000,3000,0.007856130599975586
rolling_3,5,0.3762830314316269,0.12066119057455649,0.7265246905544354,3000,9000,0.03426170349121094
rolling_7,5,0.3445064130504619,0.10961712380053532,0.7640695796151797,3000,15000,0.048551082611083984
rolling_14,5,0.3445064130504619,0.10961712380053532,0.7640695796151797,3000,15000,0.049462080001831055
decay_hl1,5,0.39466195115456426,0.12494988141763134,0.7201719652029466,3000,15000,0.029400348663330078
decay_hl3,5,0.35340235275665527,0.11206474188031867,0.7585647395168938,3000,15000,0.03961348533630371
decay_hl7,5,0.3466584477034855,0.11025749180178267,0.7629167236826778,3000,15000,0.04326057434082031
expanding,6,0.33125048984957634,0.10480915801425934,0.8139219160984384,3000,18000,0.06094551086425781
rolling_1,6,0.6071593931449962,0.173985252016567,0.5873613274830889,3000,3000,0.007946968078613281
rolling_3,6,0.38276874187316107,0.12301268115324641,0.7495122273822323,3000,9000,0.03212618827819824
rolling_7,6,0.33125048984957634,0.10480915801425934,0.8139219160984384,3000,18000,0.0598907470703125
rolling_14,6,0.33125048984957634,0.10480915801425934,0.8139219160984384,3000,18000,0.0597071647644043
decay_hl1,6,0.41070864498448834,0.13072311023492902,0.7485026924108897,3000,18000,0.03682661056518555
decay_hl3,6,0.3505062778284549,0.11032210019881378,0.8035547261909683,3000,18000,0.04598045349121094
decay_hl7,6,0.33714654039515274,0.10634448767989778,0.8120170012083682,3000,18000,0.048815250396728516
expanding,7,0.3390531281598911,0.10691968129542266,0.7871212198840482,3000,21000,0.06358957290649414
rolling_1,7,0.5930446928969549,0.17309265076308747,0.570544900220647,3000,3000,0.008109807968139648
rolling_3,7,0.38852132207295864,0.12480216530882077,0.7191947186706429,3000,9000,0.03205680847167969
rolling_7,7,0.3390531281598911,0.10691968129542266,0.7871212198840482,3000,21000,0.06361770629882812
rolling_14,7,0.3390531281598911,0.10691968129542266,0.7871212198840482,3000,21000,0.06337475776672363
decay_hl1,7,0.4160669186441099,0.132416667659003,0.7209336747089483,3000,21000,0.03976750373840332
decay_hl3,7,0.3576290626626744,0.1127479230348803,0.7767403732891031,3000,21000,0.049781084060668945
decay_hl7,7,0.3450593179834098,0.10889397998797036,0.7854106055410848,3000,21000,0.0568394660949707
expanding,8,0.34147286776871305,0.10787953265328973,0.7918872712594247,3000,24000,0.06899213790893555
rolling_1,8,0.6402123134357735,0.18939556356786916,0.5578970157211453,3000,3000,0.008599996566772461
rolling_3,8,0.40094341204261946,0.1300089335419719,0.7167953703601566,3000,9000,0.03371596336364746
rolling_7,8,0.3457025211012699,0.10968635098216979,0.7865019771547025,3000,21000,0.0639650821685791
rolling_14,8,0.34147286776871305,0.10787953265328973,0.7918872712594247,3000,24000,0.06915998458862305
decay_hl1,8,0.4272749775140534,0.1367926152083718,0.7116321273389334,3000,24000,0.04561209678649902
decay_hl3,8,0.36269464324076495,0.11443564502491893,0.776519026608885,3000,24000,0.053536176681518555
decay_hl7,8,0.34782859033818037,0.10970365255553474,0.7882014085030091,3000,24000,0.06298470497131348
expanding,9,0.33603851707122717,0.10684308461781056,0.7897826425792587,3000,27000,0.07935070991516113
rolling_1,9,0.6380717677155219,0.18460659126547369,0.5453919424039811,3000,3000,0.008685111999511719
