method,log_loss,brier,pr_auc,mean_train_rows,mean_fit_time_s,n_test_days
m2_context_gate,0.41351201001545346,0.13319875022485228,0.6554251330298891,315000.0,1.0793810640062604,35
m1_global_mix,0.4198507262783647,0.13599131403751877,0.6389134231853272,315000.0,1.0793810640062604,35
expanding,0.421458287998176,0.1357730421991891,0.6433222141172479,306000.0,0.6642699718475342,35
validation_selected(h=expanding),0.421458287998176,0.1357730421991891,0.6433222141172479,306000.0,0.6642699718475342,35
han_arw,0.421458287998176,0.1357730421991891,0.6433222141172479,306000.0,0.9917150020599366,35
adamoe,0.4239165945580278,0.1371597319934192,0.6319153317195634,76200.0,1.3340212821960449,35
diff_forgetting,0.4256451542589429,0.13702692461281,0.6413303642242537,306000.0,11.334917218344552,35
rolling_14,0.4363926113722278,0.1415727872476152,0.6090505823256963,42000.0,0.1261408056531633,35
decay_hl7,0.4748335998615572,0.1539593535419665,0.6107368016272994,306000.0,0.5115536621638707,35
rolling_3,0.4821713353294457,0.1526829099211957,0.5850197511327108,9000.0,0.0362564427512032,35
rolling_7,0.5049783523435729,0.1629304527410076,0.5269991131041044,21000.0,0.0721634251730782,35
decay_hl3,0.5066428596873953,0.1657471845910197,0.5877493846665015,306000.0,0.4951144627162388,35
decay_hl1,0.5442232898552634,0.179867119635567,0.5675893249697093,306000.0,0.5051176820482527,35
rolling_1,0.6751464240764626,0.1904705893979481,0.4933406589394885,3000.0,0.0083300590515136,35
sftl,0.786630608354296,0.1505951600415366,0.5726895008145837,306000.0,0.0033231054033551,35
