method,day,log_loss,brier,pr_auc,n,n_train,fit_time
sftl,4,0.6289774179458618,0.2097695916891098,0.4194839288046292,3000,12000,0.0034723281860351
sftl,5,0.6410342454910278,0.2075504213571548,0.3903829919967221,3000,15000,0.0031380653381347
sftl,6,0.6473376750946045,0.1922436952590942,0.3486528041359606,3000,18000,0.0033283233642578
sftl,7,0.7224335670471191,0.2044101357460022,0.3181995016434448,3000,21000,0.003150463104248
sftl,8,0.7657960653305054,0.2158689796924591,0.3293696481785493,3000,24000,0.0031030178070068
sftl,9,0.8002749085426331,0.2276482731103897,0.3231532324329446,3000,27000,0.0030715465545654
sftl,10,0.7944262623786926,0.2259982228279113,0.367978821405902,3000,30000,0.0033938884735107
sftl,11,0.7765727639198303,0.2312808483839035,0.3734273286336946,3000,33000,0.0031111240386962
sftl,12,0.695841372013092,0.2123999297618866,0.370151752065415,3000,36000,0.0031900405883789
sftl,13,0.6511721014976501,0.1969763189554214,0.3807534831432892,3000,39000,0.0031952857971191
sftl,14,0.6767687797546387,0.2015080153942108,0.3485869825155178,3000,42000,0.0032410621643066
sftl,15,0.704413890838623,0.1987520903348922,0.3978206239139615,3000,45000,0.0030887126922607
sftl,16,0.7398603558540344,0.2104017734527588,0.4675312619951777,3000,48000,0.0034315586090087
sftl,17,0.7343876957893372,0.2114118188619613,0.473056677962264,3000,51000,0.00311279296875
sftl,18,0.7068069577217102,0.2060621380805969,0.4984667578873478,3000,54000,0.003272533416748
sftl,19,0.6764063239097595,0.196246400475502,0.490904724074614,3000,57000,0.0046844482421875
sftl,20,0.6900545358657837,0.1928423196077346,0.5010844661245016,3000,60000,0.0031766891479492
sftl,21,0.7322133779525757,0.1994891017675399,0.4194608393066896,3000,63000,0.0032875537872314
sftl,22,0.8087530732154846,0.2066318839788437,0.399503190540765,3000,66000,0.0034277439117431
sftl,23,0.8148127198219299,0.211933895945549,0.3933489564980468,3000,69000,0.0030670166015625
sftl,24,0.780790388584137,0.2164501696825027,0.4275070088049822,3000,72000,0.0032215118408203
sftl,25,0.7279723286628723,0.210208460688591,0.4359006627784152,3000,75000,0.0034003257751464
sftl,26,0.6299816966056824,0.18663090467453,0.4764009389209055,3000,78000,0.0032875537872314
sftl,27,0.6264546513557434,0.1836194694042205,0.4488803245039894,3000,81000,0.0034384727478027
sftl,28,0.6548293232917786,0.1772380322217941,0.4009038255830719,3000,84000,0.003159761428833
sftl,29,0.7336710691452026,0.1894790381193161,0.4869578880558083,3000,87000,0.0033273696899414
sftl,30,0.7441605925559998,0.1903153210878372,0.5641352632256229,3000,90000,0.0031468868255615
sftl,31,0.8225374221801758,0.2090566158294677,0.574680269675062,3000,93000,0.0033879280090332
sftl,32,0.7348194122314453,0.1935028880834579,0.5799367925952164,3000,96000,0.0031194686889648
sftl,33,0.7098225951194763,0.1830702871084213,0.5748312132314518,3000,99000,0.0031559467315673
sftl,34,0.6873758435249329,0.174330934882164,0.5765163324774885,3000,102000,0.0032405853271484
sftl,35,0.907029926776886,0.1914428323507309,0.5122068923433961,3000,105000,0.0030555725097656
sftl,36,1.0964407920837402,0.2105053663253784,0.4703041459838299,3000,108000,0.003314733505249
sftl,37,1.111935019493103,0.2227142751216888,0.5001912842661133,3000,111000,0.0030920505523681
sftl,38,0.9439786672592164,0.2110190093517303,0.5056404294850376,3000,114000,0.0030570030212402
sftl,39,0.8532748222351074,0.2017226368188858,0.5096810283263263,3000,117000,0.0031445026397705
sftl,40,0.8330144882202148,0.1913871616125106,0.540305165274745,3000,120000,0.0031344890594482
sftl,41,0.7875239253044128,0.1836771219968795,0.540222601900777,3000,123000,0.003403902053833
sftl,42,0.891062319278717,0.1863325387239456,0.4817874279353797,3000,126000,0.0031764507293701
sftl,43,1.0053961277008057,0.1881418079137802,0.5522609976384658,3000,129000,0.0032076835632324
sftl,44,1.1602387428283691,0.2098247110843658,0.5645739105553591,3000,132000,0.0032155513763427
sftl,45,1.0906741619110107,0.2059748321771621,0.5994451803938257,3000,135000,0.0030980110168457
