day,alpha,alpha_oracle,oracle_headroom
5,0.6,0.2,0.006787901309366129
6,0.4,0.0,0.01023913224228501
7,0.2,0.0,0.005644451728013977
8,0.0,0.4,0.015357597900382602
9,0.1,0.7,0.04020240461573199
10,0.4,0.9,0.030607559093009495
11,0.7,0.9,0.0064413887737131414
12,0.8,0.8,0.0
13,0.8,0.5,0.015378458519393012
14,0.7,0.0,0.06084287388467685
15,0.4,0.0,0.02589903899624202
16,0.1,0.0,0.0012357337728385875
17,0.0,0.4,0.01597000220354261
18,0.1,0.7,0.034985131565478056
19,0.4,0.6,0.0029068450274167823
20,0.6,0.3,0.010869608550571452
21,0.5,0.0,0.0414380014787859
22,0.2,0.0,0.009459616550603622
23,0.0,0.3,0.010905677353978849
24,0.0,0.7,0.06402919848202848
25,0.4,0.8,0.027213795226190884
26,0.7,0.7,0.0
27,0.8,0.4,0.024005143557367825
28,0.6,0.0,0.04723695578209963
29,0.4,0.0,0.028994777089415003
30,0.1,0.0,0.0017944296430110196
31,0.0,0.5,0.028665012550257662
32,0.1,0.7,0.04003154687147342
33,0.4,0.6,0.00533345277220576
34,0.6,0.3,0.006381161218902309
35,0.6,0.0,0.042814471987338065
36,0.3,0.0,0.018666398475621904
37,0.0,0.2,0.0025753343376302973
38,0.0,0.7,0.052276205107297635
39,0.3,0.8,0.027253587294318815
40,0.6,0.7,0.002022299547884965
41,0.7,0.4,0.008343648799645276
42,0.6,0.0,0.04236031178226091
43,0.4,0.0,0.03371797192247239
44,0.1,0.0,7.940160280639486e-05
45,0.0,0.5,0.023594651604484762
46,0.1,0.7,0.045547562442878664
47,0.5,0.7,0.004029296042804331
48,0.6,0.3,0.011121703343860867
49,0.6,0.0,0.04138929780965672
50,0.3,0.0,0.016856894235266318
51,0.0,0.1,0.0016424002257625636
52,0.0,0.6,0.04067147420917788
53,0.2,0.8,0.04158755214754034
54,0.5,0.7,0.004893173805656736
55,0.7,0.3,0.017473667906298618
56,0.6,0.0,0.0438638286011967
57,0.3,0.0,0.015775440744584257
58,0.1,0.0,0.0005357637616326127
59,0.0,0.5,0.022849525945360938
60,0.1,0.7,0.04606368913961961
61,0.5,0.6,0.001491665572396439
62,0.6,0.3,0.007468773100727577
63,0.6,0.0,0.05518146738418711
64,0.3,0.0,0.02153888974347662
65,0.0,0.1,0.0010816197665899918
66,0.0,0.6,0.03986270729985775
67,0.2,0.8,0.04006193854974088
68,0.6,0.7,0.0008108368804745081
69,0.7,0.4,0.012843070339611407
70,0.6,0.0,0.04029573273481246
71,0.4,0.0,0.030501516187845468
72,0.1,0.0,0.0007235484748035481
73,0.0,0.4,0.01718442058606684
74,0.1,0.7,0.036355213444996926
75,0.4,0.6,0.0061153243986926675
76,0.6,0.3,0.012931465465333691
77,0.5,0.0,0.037196192713771836
78,0.3,0.0,0.021503312265734376
79,0.0,0.1,0.0008402565398905604
80,0.0,0.6,0.033480607197514056
81,0.2,0.7,0.033847385720437995
82,0.5,0.6,0.001843676402954797
83,0.6,0.4,0.006609529073965559
84,0.6,0.0,0.0392316840739072
85,0.4,0.0,0.02782815943848449
86,0.1,0.0,0.00011023633590612203
87,0.0,0.5,0.028750030672936078
88,0.1,0.6,0.03329899557309729
89,0.4,0.7,0.007804486420950774
90,0.6,0.3,0.009204801034195631
91,0.5,0.0,0.03221292884982618
92,0.3,0.0,0.01995456264892609
93,0.0,0.0,0.0
94,0.0,0.5,0.028625144839591055
95,0.1,0.7,0.04516697712386791
96,0.5,0.7,0.0069633006101166295
97,0.7,0.4,0.011951086699422242
98,0.6,0.0,0.03408758204110929
99,0.4,0.0,0.02907348511822555
100,0.1,0.0,0.0015637164363882516
101,0.0,0.4,0.01916388909481187
102,0.1,0.8,0.048913237734569515
103,0.4,0.7,0.009139036640754106
104,0.6,0.3,0.007457853588793417
105,0.6,0.0,0.0448920517801481
106,0.3,0.0,0.017974102676507897
107,0.1,0.1,0.0
108,0.0,0.6,0.02977446374541176
109,0.2,0.7,0.032619096494404365
110,0.5,0.6,0.002034875095219102
111,0.6,0.4,0.0054543371696175735
112,0.6,0.0,0.03237252696349385
113,0.4,0.0,0.03488132311401537
114,0.1,0.0,0.0008459715735187334
115,0.0,0.5,0.023713814684113488
116,0.1,0.8,0.05863276161617886
117,0.5,0.7,0.003298467957768614
118,0.7,0.3,0.015468766141326418
119,0.6,0.0,0.050876853851197
