method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m1_global_mix,5,0.38205221628046443,0.12184986708308435,0.7204086257402851,3000,24000,0.09404349327087402
m1_global_mix,6,0.38854687835073054,0.12452802179115516,0.6326666983774503,3000,27000,0.10260987281799316
m1_global_mix,7,0.4468321750692177,0.14475694131449549,0.5290083866717487,3000,30000,0.10949254035949707
m1_global_mix,8,0.5301709722303891,0.17026467439377693,0.4399059226632977,3000,33000,0.11444878578186035
m1_global_mix,9,0.5583029289149797,0.18145469133105296,0.41429690638889105,3000,36000,0.12446093559265137
m1_global_mix,10,0.4933990933852727,0.160579258906779,0.5364370394224813,3000,39000,0.13324451446533203
m1_global_mix,11,0.4439480962746646,0.1421484656723609,0.652899643351052,3000,42000,0.14626097679138184
m1_global_mix,12,0.3852189347259271,0.12172149632173224,0.6937325669055969,3000,45000,0.1512138843536377
m1_global_mix,13,0.39317456910540294,0.1257403047030497,0.636901489083432,3000,48000,0.16610169410705566
m1_global_mix,14,0.4335497494933502,0.14323443030027674,0.5514954148542072,3000,51000,0.1668558120727539
m1_global_mix,15,0.4210549672165099,0.13692499096939934,0.590791352792218,3000,54000,0.18218588829040527
m1_global_mix,16,0.44710910210932936,0.14544486857905836,0.6566187576648257,3000,57000,0.19007420539855957
m1_global_mix,17,0.457572509966132,0.15094716231068442,0.6222841175964043,3000,60000,0.18930315971374512
m1_global_mix,18,0.4366326759019037,0.14225359381037103,0.6806847372520717,3000,63000,0.20807743072509766
m1_global_mix,19,0.38615479668469926,0.12280820730953913,0.7307958203852969,3000,66000,0.19881343841552734
m1_global_mix,20,0.40821789032376044,0.13119451302064142,0.6836979814899699,3000,69000,0.21671819686889648
m1_global_mix,21,0.41962782333364324,0.13683533559973607,0.5667972795222211,3000,72000,0.24300718307495117
m1_global_mix,22,0.43535651961206445,0.1407265275437589,0.5582826180778716,3000,75000,0.23769307136535645
m1_global_mix,23,0.4902418011168543,0.15912346529586727,0.4951567408855524,3000,78000,0.2506754398345947
m1_global_mix,24,0.5116121496933375,0.1685208055317124,0.49302436712211595,3000,81000,0.25815272331237793
m1_global_mix,25,0.4194368045530952,0.1356118224147246,0.6543773794640738,3000,84000,0.27627062797546387
m1_global_mix,26,0.3887065328596324,0.12342188689396107,0.6862627945718505,3000,87000,0.28414440155029297
m1_global_mix,27,0.3990893230640182,0.12915186891885472,0.6218088626504987,3000,90000,0.2844414710998535
m1_global_mix,28,0.4139877573668389,0.13407677077590965,0.5565321043850968,3000,93000,0.30026793479919434
m1_global_mix,29,0.42425764956057355,0.13843019828894834,0.6035051359464759,3000,96000,0.3029060363769531
m1_global_mix,30,0.44381347236063867,0.14512066000702092,0.6466978910307846,3000,99000,0.3287992477416992
m1_global_mix,31,0.48889423434228607,0.16320032927709965,0.643005886040396,3000,102000,0.31491589546203613
m1_global_mix,32,0.4411273183150406,0.1446085035082891,0.6664535619333759,3000,105000,0.3264811038970947
m1_global_mix,33,0.39071045249617564,0.12471188502479162,0.7235980011643605,3000,108000,0.3703339099884033
m1_global_mix,34,0.36615928655481716,0.115019826974749,0.7177421305629649,3000,111000,0.37968873977661133
m1_global_mix,35,0.4256607321900022,0.13927346795870862,0.5887966192198237,3000,114000,0.38637804985046387
m1_global_mix,36,0.4396329786093071,0.14223046049283555,0.5938082604192298,3000,117000,0.39295458793640137
m1_global_mix,37,0.48507359644584586,0.159600319625463,0.5591663653108803,3000,120000,0.40262627601623535
m1_global_mix,38,0.48300183313461126,0.15747416683533882,0.5560556889613538,3000,123000,0.43747639656066895
m1_global_mix,39,0.4207932056902752,0.13593707773540017,0.6400805700885406,3000,126000,0.43393659591674805
m1_global_mix,40,0.3897241016599184,0.1240805432436557,0.7102698395188956,3000,129000,0.45299839973449707
m1_global_mix,41,0.38184937736978153,0.12322113395246467,0.6749581527059652,3000,132000,0.4565768241882324
