method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.44246913169010454,0.14415608043652625,0.6999124624627568,3000,12000,0.050000667572021484
rolling_1,4,0.6447983056646103,0.18989353199325426,0.5939518695540404,3000,3000,0.008072853088378906
rolling_3,4,0.4382760398353619,0.141526122812684,0.7171565092707946,3000,9000,0.035598039627075195
rolling_7,4,0.44246913169010454,0.14415608043652625,0.6999124624627568,3000,12000,0.04630017280578613
rolling_14,4,0.44246913169010454,0.14415608043652625,0.6999124624627568,3000,12000,0.045287132263183594
decay_hl1,4,0.43708408000452437,0.14214345472218423,0.7203886827334457,3000,12000,0.0321197509765625
decay_hl3,4,0.42707950386303767,0.13939171675555875,0.7196755356117658,3000,12000,0.036699771881103516
decay_hl7,4,0.43328150001525306,0.1414462555161797,0.7096759547810144,3000,12000,0.04554557800292969
expanding,5,0.3771574322087783,0.11953807445852264,0.7288724660383548,3000,15000,0.05720210075378418
rolling_1,5,0.6354517364491831,0.18381775527936023,0.5355400296008708,3000,3000,0.008596181869506836
rolling_3,5,0.4071271966599038,0.13000429061029875,0.696383285566986,3000,9000,0.03412365913391113
rolling_7,5,0.3771574322087783,0.11953807445852264,0.7288724660383548,3000,15000,0.05684304237365723
rolling_14,5,0.3771574322087783,0.11953807445852264,0.7288724660383548,3000,15000,0.05713701248168945
decay_hl1,5,0.41597916146364633,0.1323661098333358,0.6844799793853265,3000,15000,0.034258365631103516
decay_hl3,5,0.38042066240528916,0.12047265030743481,0.7266539428363957,3000,15000,0.04600715637207031
decay_hl7,5,0.37623354777093465,0.11920148877097589,0.7307932521056676,3000,15000,0.045519113540649414
expanding,6,0.37830774610844553,0.12061362492598793,0.6454609254630406,3000,18000,0.0653681755065918
rolling_1,6,0.6374706682573236,0.17937397560673593,0.4594978985693531,3000,3000,0.008152008056640625
rolling_3,6,0.44296989370739487,0.1420619549386436,0.5855116287022499,3000,9000,0.03413510322570801
rolling_7,6,0.37830774610844553,0.12061362492598793,0.6454609254630406,3000,18000,0.0648190975189209
rolling_14,6,0.37830774610844553,0.12061362492598793,0.6454609254630406,3000,18000,0.0648341178894043
decay_hl1,6,0.4162931782989934,0.13197055853915993,0.5891534615163707,3000,18000,0.03464174270629883
decay_hl3,6,0.38517025588629245,0.1226550479521258,0.6346346436130973,3000,18000,0.04811882972717285
decay_hl7,6,0.3796062453388386,0.12104104145275482,0.641554452057109,3000,18000,0.05496358871459961
expanding,7,0.4411877233412037,0.14281559101530308,0.5370665496614858,3000,21000,0.07393050193786621
rolling_1,7,0.7410778985774695,0.19636826951573258,0.3722014206140217,3000,3000,0.00861501693725586
rolling_3,7,0.5316816296250351,0.16746208412331856,0.4633386378564816,3000,9000,0.03456902503967285
rolling_7,7,0.4411877233412037,0.14281559101530308,0.5370665496614858,3000,21000,0.07354855537414551
rolling_14,7,0.4411877233412037,0.14281559101530308,0.5370665496614858,3000,21000,0.0735478401184082
decay_hl1,7,0.45333061346682535,0.14588536402144245,0.46954372876036715,3000,21000,0.039922475814819336
decay_hl3,7,0.4407020804025806,0.14289345825137317,0.5156959414227165,3000,21000,0.053632259368896484
decay_hl7,7,0.4402037283890886,0.1428600966600804,0.5304432260416894,3000,21000,0.06383395195007324
expanding,8,0.5301709722303891,0.17026467439377693,0.4399059226632977,3000,24000,0.0772247314453125
rolling_1,8,0.7057849584755173,0.1961722708376141,0.41766149821798887,3000,3000,0.008658170700073242
rolling_3,8,0.543004163930423,0.17066510767290707,0.45397792143850874,3000,9000,0.03589034080505371
rolling_7,8,0.5585247144305164,0.1789170235141208,0.41663687004638794,3000,21000,0.06723737716674805
rolling_14,8,0.5301709722303891,0.17026467439377693,0.4399059226632977,3000,24000,0.07757401466369629
decay_hl1,8,0.47154026597425136,0.153132594980883,0.47448888280979445,3000,24000,0.042458534240722656
decay_hl3,8,0.4931113582611556,0.16097779685214303,0.4498030296009069,3000,24000,0.06178092956542969
decay_hl7,8,0.512250003049819,0.16625926060468627,0.4420308937209748,3000,24000,0.06670975685119629
expanding,9,0.5746950865013272,0.18617647460439568,0.4002811773667795,3000,27000,0.08697152137756348
rolling_1,9,0.6751198139659588,0.19073076224971194,0.4797572499704434,3000,3000,0.008612394332885742
rolling_3,9,0.5317153631321385,0.1665787047430536,0.4985385057186426,3000,9000,0.03592371940612793
rolling_7,9,0.6067644865586003,0.19505084558423294,0.3763971869145323,3000,21000,0.07019686698913574
rolling_14,9,0.5746950865013272,0.18617647460439568,0.4002811773667795,3000,27000,0.08722805976867676
decay_hl1,9,0.47687696625360504,0.15564410868345563,0.5177611677637777,3000,27000,0.04644417762756348
decay_hl3,9,0.511898076037849,0.1683856972487937,0.43772940373128805,3000,27000,0.06586599349975586
decay_hl7,9,0.543489913892551,0.17806976458495477,0.41394992214367843,3000,27000,0.07440400123596191
expanding,10,0.5731398442791618,0.18570395668835507,0.4397197891874386,3000,30000,0.09203958511352539
rolling_1,10,0.6480751142634124,0.1805648743889939,0.5343807974579428,3000,3000,0.008687496185302734
rolling_3,10,0.46786800040766663,0.15012650835683672,0.6137888546024969,3000,9000,0.03456521034240723
rolling_7,10,0.5647142190635952,0.18266562898948746,0.4539489988902864,3000,21000,0.0731050968170166
rolling_14,10,0.5731398442791618,0.18570395668835507,0.4397197891874386,3000,30000,0.09331440925598145
decay_hl1,10,0.4654987656307899,0.15165949960091,0.6150687843773297,3000,30000,0.061255455017089844
decay_hl3,10,0.48938455579096735,0.16072880214869206,0.5262208957439649,3000,30000,0.07227706909179688
decay_hl7,10,0.5294258518877555,0.17338695973121446,0.47321020013117876,3000,30000,0.08185195922851562
expanding,11,0.5723461355584055,0.1885492202666657,0.44918219813004845,3000,33000,0.10773873329162598
rolling_1,11,0.675849578649199,0.19583687998500643,0.539275923291347,3000,3000,0.008042335510253906
