method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.425250909711747,0.13642878316489357,0.6967357439218532,3000,12000,0.06173896789550781
rolling_1,4,0.620895221261489,0.1838148740391737,0.5743644732544927,3000,3000,0.012151718139648438
rolling_3,4,0.4144038694482799,0.13232893245405727,0.7129562545299439,3000,9000,0.030359268188476562
rolling_7,4,0.425250909711747,0.13642878316489357,0.6967357439218532,3000,12000,0.045461177825927734
rolling_14,4,0.425250909711747,0.13642878316489357,0.6967357439218532,3000,12000,0.04692387580871582
decay_hl1,4,0.4229859922496571,0.13629072622637145,0.7108350557631461,3000,12000,0.029313087463378906
decay_hl3,4,0.4106931802143053,0.13229596850054087,0.7139650982222265,3000,12000,0.03770780563354492
decay_hl7,4,0.4164972562198171,0.13399620527393943,0.7059456620540184,3000,12000,0.03867959976196289
expanding,5,0.39252916275158223,0.1267225542413526,0.6941471349945973,3000,15000,0.05214190483093262
rolling_1,5,0.6367482232140764,0.18626550359238558,0.5277944539855464,3000,3000,0.009103059768676758
rolling_3,5,0.41759642500511956,0.13400830410649608,0.6728332191109255,3000,9000,0.04407644271850586
rolling_7,5,0.39252916275158223,0.1267225542413526,0.6941471349945973,3000,15000,0.046706199645996094
rolling_14,5,0.39252916275158223,0.1267225542413526,0.6941471349945973,3000,15000,0.04683256149291992
decay_hl1,5,0.41968980047142107,0.13422419856818257,0.6698693984326144,3000,15000,0.028534650802612305
decay_hl3,5,0.3908598997050338,0.12545894132559215,0.6986153602647409,3000,15000,0.04168367385864258
decay_hl7,5,0.38950792209234913,0.12546781237802596,0.6981733404598203,3000,15000,0.050615787506103516
expanding,6,0.38853159606619403,0.1253013431219426,0.670514026152292,3000,18000,0.05838489532470703
rolling_1,6,0.6607611107272712,0.18857815112456622,0.47986948829274484,3000,3000,0.0071179866790771484
rolling_3,6,0.4756906945398793,0.15126860375858142,0.5821318318394016,3000,9000,0.029127836227416992
rolling_7,6,0.38853159606619403,0.1253013431219426,0.670514026152292,3000,18000,0.049844980239868164
rolling_14,6,0.38853159606619403,0.1253013431219426,0.670514026152292,3000,18000,0.04986834526062012
decay_hl1,6,0.4302732872894293,0.13751207197901869,0.6051121895839571,3000,18000,0.030675411224365234
decay_hl3,6,0.39756352424989183,0.1275174541758834,0.6551688383085761,3000,18000,0.04278993606567383
decay_hl7,6,0.39075020534877314,0.12571324598306088,0.6658796098519211,3000,18000,0.04759836196899414
expanding,7,0.46491160446294216,0.15015414145117306,0.5297166317968192,3000,21000,0.05884289741516113
rolling_1,7,0.768306297988301,0.20785707794903688,0.4036338738982682,3000,3000,0.007072925567626953
