method,log_loss,brier,pr_auc,mean_train_rows,mean_fit_time_s,n_test_days
m2_context_gate,0.4244668446222771,0.1371970076525238,0.6512988976131339,315000.0,0.6746873310634068,35
m2_m5_ensemble,0.4254426376870005,0.1375057671104623,0.6498632011006078,391200.0,1.534685925074986,35
m1_global_mix,0.4262767342592875,0.1382927925812013,0.6434324836790936,315000.0,0.6746873310634068,35
m5_multiscale_gate,0.4270646754590984,0.1379362874283503,0.647750347547571,76200.0,0.8599985940115792,35
expanding,0.4272532663749428,0.1377426506436282,0.6498971375925188,306000.0,0.4944649219512939,35
validation_selected(h=expanding),0.4272532663749428,0.1377426506436282,0.6498971375925188,306000.0,0.4944649219512939,35
m5c_periodic,0.4279809613201189,0.13831874997150279,0.6460892402556005,76200.0,0.9083044597080776,35
han_arw,0.428344438096749,0.1379753067556723,0.6490299631832648,297942.8571428572,0.6356486456734793,35
adamoe,0.4300087811617298,0.1392410447753247,0.6349291396836029,76200.0,0.8787459577832903,35
m5c_periodic_oracle,0.4308228353079777,0.13937201888880035,0.6411870807536265,76200.0,0.9083044597080776,35
diff_forgetting,0.4314504229654021,0.1390114633245175,0.6484909354397698,306000.0,7.569763742174421,35
rolling_14,0.4430775468511638,0.1437335503605673,0.616386686463338,42000.0,0.1230205467769077,35
decay_hl7,0.480660290177165,0.1562798102689039,0.6180655132892768,306000.0,0.3941898686545236,35
rolling_3,0.4912013670746731,0.1557524165362768,0.5865931220782687,9000.0,0.0363486017499651,35
decay_hl3,0.512491470576954,0.1682315687413902,0.5922750512055538,306000.0,0.3730950968606131,35
rolling_7,0.5146330545231048,0.165875793286517,0.5341911520285493,21000.0,0.071699047088623,35
decay_hl1,0.5492364053552063,0.1821587079700084,0.5670325506509386,306000.0,0.3798914296286447,35
rolling_1,0.6876022297454693,0.1921173005893491,0.4970285618476738,3000.0,0.0082387856074741,35
