method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m5b_high_smooth,4,0.4301639423721364,0.13922392784137552,0.7259879741367382,3000,9600,0.15366101264953613
m5b_high_smooth,5,0.40493918299107495,0.13033648604481812,0.7610362579761787,3000,11400,0.1593027114868164
m5b_high_smooth,6,0.4070018340490013,0.13171457033034603,0.6929083154627577,3000,13200,0.17629647254943848
m5b_high_smooth,7,0.4652971509347055,0.15098647165503107,0.5276250160096436,3000,15000,0.2046976089477539
m5b_high_smooth,8,0.5241999556216009,0.1700747266481328,0.4466027693200698,3000,16200,0.20250892639160156
m5b_high_smooth,9,0.4899628098217195,0.158304850944499,0.4461118942675247,3000,17400,0.21640443801879883
m5b_high_smooth,10,0.4644392862259465,0.1497111165871739,0.5362266360172802,3000,18600,0.24357390403747559
m5b_high_smooth,11,0.4497303385173965,0.1467430247104192,0.5844403573349669,3000,19800,0.25794196128845215
m5b_high_smooth,12,0.4001682599091195,0.12776854203572896,0.6644424271204067,3000,21000,0.26386332511901855
m5b_high_smooth,13,0.3766489046236187,0.11956517270270933,0.6475035259372173,3000,22200,0.2749507427215576
m5b_high_smooth,14,0.4088083803186203,0.13246364144827302,0.6060381409433111,3000,23400,0.2964141368865967
m5b_high_smooth,15,0.44950072731246504,0.147576658207837,0.6118074570332119,3000,24000,0.2841975688934326
m5b_high_smooth,16,0.4895685328260423,0.1622072739855832,0.6544352524455661,3000,24600,0.29608631134033203
m5b_high_smooth,17,0.47592956975764644,0.15715909565439065,0.687113265315262,3000,25200,0.29915308952331543
m5b_high_smooth,18,0.44045461596383706,0.144060896100716,0.7391970716870947,3000,25800,0.3034834861755371
m5b_high_smooth,19,0.40955019546799154,0.13130972774740096,0.7578588373814772,3000,26400,0.3087158203125
m5b_high_smooth,20,0.3932142789382245,0.12672885734689873,0.7002308281867743,3000,27000,0.32436513900756836
m5b_high_smooth,21,0.4016708842265386,0.12832155993371228,0.5903696238995544,3000,27600,0.32167601585388184
m5b_high_smooth,22,0.44603388182635567,0.1445009680602436,0.5098972398148077,3000,28200,0.34350132942199707
m5b_high_smooth,23,0.4619885156083527,0.1498167395547491,0.4894334491006035,3000,28800,0.3721137046813965
m5b_high_smooth,24,0.4357715583462715,0.14079438154181212,0.5957135188525732,3000,29400,0.3586924076080322
m5b_high_smooth,25,0.40612735837249153,0.13082828838365587,0.6539818246416191,3000,30000,0.34954261779785156
m5b_high_smooth,26,0.3678962778554328,0.11572102677961142,0.6825077650919583,3000,30600,0.3582427501678467
m5b_high_smooth,27,0.36306084863987176,0.1145177569860915,0.6685679995692104,3000,31200,0.36492109298706055
m5b_high_smooth,28,0.39630705895578255,0.1269435449126011,0.6422025422241822,3000,31800,0.3635842800140381
m5b_high_smooth,29,0.45217237161764057,0.14659648706092546,0.5847094377715271,3000,32400,0.3654789924621582
m5b_high_smooth,30,0.4669446606728897,0.1537751431063458,0.667458771521928,3000,33000,0.38132381439208984
m5b_high_smooth,31,0.46219647910458617,0.15298079231633727,0.7041899579830891,3000,33600,0.3921835422515869
m5b_high_smooth,32,0.4460457457864712,0.14493784807705162,0.7628912555644279,3000,34200,0.40277910232543945
m5b_high_smooth,33,0.41980418563159444,0.13488143165452907,0.7452339200873423,3000,34800,0.38899660110473633
m5b_high_smooth,34,0.405333801351635,0.13084720478905307,0.710127609060504,3000,35400,0.4078080654144287
m5b_high_smooth,35,0.4117688702674291,0.13211508622212442,0.6358675368977257,3000,36000,0.4042377471923828
m5b_high_smooth,36,0.43349719434598866,0.14026161513627664,0.5594180916514406,3000,36600,0.4084806442260742
m5b_high_smooth,37,0.42143677228492954,0.13542855887951485,0.5411948239715418,3000,37200,0.42371487617492676
m5b_high_smooth,38,0.41904704203546717,0.13519787332714508,0.5995817985929374,3000,37800,0.4284982681274414
m5b_high_smooth,39,0.41615076154426606,0.13438076763850357,0.633426265993251,3000,38400,0.4407491683959961
m5b_high_smooth,40,0.368958776756842,0.11702631976564933,0.6786763459437062,3000,39000,0.4609506130218506
m5b_high_smooth,41,0.361047981626617,0.11268838193451078,0.6666853582235933,3000,39600,0.45287561416625977
m5b_high_smooth,42,0.38182469871930985,0.12124115647353623,0.6437407033392994,3000,40200,0.45502805709838867
m5b_high_smooth,43,0.44232125751418705,0.14529830601514576,0.6218461417296279,3000,40800,0.4664583206176758
m5b_high_smooth,44,0.47823769604260863,0.15759745441180617,0.6580269825146219,3000,41400,0.5043902397155762
m5b_high_smooth,45,0.4587168156342431,0.15152119256187563,0.6861006546721781,3000,42000,0.5222599506378174
m5b_high_smooth,46,0.4232807707246487,0.1372606537893487,0.7382617892468474,3000,42600,0.5498065948486328
m5b_high_smooth,47,0.41501045641930445,0.13430877524610485,0.7091475286961355,3000,43200,0.5316181182861328
m5b_high_smooth,48,0.3902233790982491,0.12393448052520406,0.7090553580707332,3000,43800,0.5401003360748291
m5b_high_smooth,49,0.39993679525509296,0.1282225053318404,0.6048662938050452,3000,44400,0.5331025123596191
m5b_high_smooth,50,0.42949092696017926,0.1390859075188132,0.5488213412885183,3000,45000,0.5775470733642578
m5b_high_smooth,51,0.44215908306391033,0.1426326635993933,0.5477880363684746,3000,45600,0.5715377330780029
m5b_high_smooth,52,0.44196477073389095,0.14235365717911122,0.5761180194630586,3000,46200,0.558021068572998
m5b_high_smooth,53,0.39614852500353703,0.1265301939184629,0.6146458590578634,3000,46800,0.5791754722595215
m5b_high_smooth,54,0.39530959351700085,0.12611583183591618,0.6256295299161125,3000,47400,0.5716283321380615
m5b_high_smooth,55,0.3640788467006146,0.11404194765902861,0.6735256331711491,3000,48000,0.6236386299133301
m5b_high_smooth,56,0.37703354308590975,0.11887794616404707,0.6695747344814204,3000,48600,0.6187336444854736
m5b_high_smooth,57,0.4258060842296655,0.13840971719328313,0.6358570601366238,3000,49200,0.62870192527771
m5b_high_smooth,58,0.48282686482200204,0.15969722671359501,0.6736620306918596,3000,49800,0.640639066696167
m5b_high_smooth,59,0.4779762710170115,0.15804726883662862,0.6943645923192878,3000,50400,0.6055018901824951
