day,method,group,log_loss,brier,pr_auc,n
85,rolling_3,A,0.6296726751353926,0.18806200886298244,0.474214797978344,1517
85,rolling_3,B,0.6075868159209245,0.1919520405764961,0.4484584536537838,1483
85,rolling_3,overall,0.6187548987303738,0.189984981206696,0.46089277317042504,3000
85,expanding,A,0.4157109727477217,0.13327291780598174,0.6812302001914021,1517
85,expanding,B,0.4039177051785474,0.12929588276855386,0.687066244589686,1483
85,expanding,overall,0.4098811674793598,0.1313069368191466,0.6845660254721178,3000
85,m1_global_mix,A,0.4496162633370669,0.1468329093212303,0.6102802499406269,1517
85,m1_global_mix,B,0.4430986532884469,0.14586137824205558,0.5934549435314229,1483
85,m1_global_mix,overall,0.44639439143636567,0.14635264912442494,0.6033532943834552,3000
85,m2_context_gate,A,0.4618655042289433,0.1514472289754306,0.5872743810945618,1517
85,m2_context_gate,B,0.4559680448075425,0.15115595915367352,0.5687972402187496,1483
85,m2_context_gate,overall,0.4589501934549642,0.15130324459354202,0.5795419385867221,3000
86,rolling_3,A,0.553233857951774,0.17794557216597373,0.5939207318864204,1494
86,rolling_3,B,0.5830532309667232,0.1869722256489273,0.5467354686918486,1506
86,rolling_3,overall,0.5682031832052785,0.18247695221441643,0.5692051940274501,3000
86,expanding,A,0.44979293421546146,0.14804824742450332,0.7011388162458505,1494
86,expanding,B,0.4612349793834482,0.1531268032798618,0.6675883411871948,1506
86,expanding,overall,0.4555368408897908,0.15059768246389327,0.6849907762262415,3000
86,m1_global_mix,A,0.45009503568678466,0.148328816595798,0.7004717023808786,1494
86,m1_global_mix,B,0.4618132797744842,0.1537552487968967,0.6621675847750832,1506
86,m1_global_mix,overall,0.45597759421880985,0.15105288556074956,0.6825724695570257,3000
86,m2_context_gate,A,0.4591375349121905,0.1521958504040356,0.6807464813589093,1494
86,m2_context_gate,B,0.4717402316855513,0.15829029464342378,0.6377510879676613,1506
86,m2_context_gate,overall,0.46546408869241757,0.1552552614122085,0.6602572746307005,3000
87,rolling_3,A,0.5138365254002843,0.16409544725283257,0.7006080958438042,1507
87,rolling_3,B,0.506380105020994,0.1613066379776171,0.6876553945201263,1493
87,rolling_3,overall,0.5101257135248575,0.162707549836867,0.6938415703911558,3000
87,expanding,A,0.5073828016225416,0.17010372348965713,0.6736041118870514,1507
87,expanding,B,0.48671944875442247,0.1596346450011439,0.6849466838704577,1493
87,expanding,overall,0.4970993396785076,0.16489361209520706,0.6786505606183779,3000
87,m1_global_mix,A,0.5073828016225416,0.17010372348965713,0.6736041118870514,1507
87,m1_global_mix,B,0.48671944875442247,0.1596346450011439,0.6849466838704577,1493
87,m1_global_mix,overall,0.4970993396785076,0.16489361209520706,0.6786505606183779,3000
87,m2_context_gate,A,0.48630492183178786,0.16229456201617387,0.7067316711115023,1507
87,m2_context_gate,B,0.47188046069903655,0.1546263761392887,0.7070682280800423,1493
87,m2_context_gate,overall,0.4791263483413886,0.15847836151144404,0.7069509093395948,3000
88,rolling_3,A,0.4598895708923464,0.15016086533689585,0.748670599900854,1477
88,rolling_3,B,0.438020293582778,0.14103329536160186,0.736551888379225,1523
88,rolling_3,overall,0.44878726777818884,0.1455271023127716,0.742622891102147,3000
88,expanding,A,0.5289276590730879,0.1781491419386908,0.6763561261094219,1477
88,expanding,B,0.49490942155532003,0.1645877667578286,0.661232178372659,1523
88,expanding,overall,0.5116577338265678,0.1712644838052064,0.6690464014120794,3000
88,m1_global_mix,A,0.5070079287048261,0.17085511984424334,0.7034214983237932,1477
88,m1_global_mix,B,0.4753411407537015,0.1577766628209275,0.6910035648017554,1523
88,m1_global_mix,overall,0.4909317560216385,0.1642156231620733,0.6973195104081037,3000
88,m2_context_gate,A,0.4963596809634922,0.1670998271633003,0.7173106714246558,1477
88,m2_context_gate,B,0.46737522844169155,0.1548292046994424,0.7039323287853927,1523
88,m2_context_gate,overall,0.48164524056659147,0.16087044115914842,0.7104872031319935,3000
89,rolling_3,A,0.44151312593949243,0.14315216815817972,0.716243459787663,1526
89,rolling_3,B,0.4034845066618772,0.12938399928445976,0.7122526107988609,1474
89,rolling_3,overall,0.42282839766775754,0.13638740785155865,0.7139184081518358,3000
89,expanding,A,0.4450340066793836,0.145183385048185,0.6982727670670882,1526
89,expanding,B,0.4302409397993905,0.13921812596607167,0.6502657736459065,1474
89,expanding,overall,0.43776567981901365,0.1422524544191733,0.6746120713268593,3000
89,m1_global_mix,A,0.3998661948584272,0.12789319741597563,0.7567471096988995,1526
89,m1_global_mix,B,0.3787973212309485,0.11926865941921302,0.7420394391322678,1474
89,m1_global_mix,overall,0.38951435494945935,0.12365567441356626,0.7491159287942422,3000
89,m2_context_gate,A,0.41942376245463453,0.13540693547079968,0.7396567842951002,1526
89,m2_context_gate,B,0.4054343463271648,0.1297198722022552,0.6993157685129809,1474
89,m2_context_gate,overall,0.4125502959973377,0.13261269171818815,0.7197069981386461,3000
90,rolling_3,A,0.4735679776457301,0.15497167218491695,0.6687977302858084,1501
90,rolling_3,B,0.43326505544748595,0.1352175932084258,0.659622147778499,1499
90,rolling_3,overall,0.4534299508540074,0.1451012173896635,0.6637176100364246,3000
90,expanding,A,0.4075344483418606,0.13096132271288718,0.7290302827958072,1501
90,expanding,B,0.37382726914458086,0.11758302238554773,0.7256520078765758,1499
90,expanding,overall,0.39069209446961983,0.12427663198265988,0.7268010636001098,3000
90,m1_global_mix,A,0.40117608740557803,0.1296728469057428,0.7317687144845219,1501
90,m1_global_mix,B,0.3655646728079819,0.11451452913775333,0.7349245612099303,1499
90,m1_global_mix,overall,0.3833822505783125,0.12209874079433738,0.7327867781774805,3000
90,m2_context_gate,A,0.3931018548233592,0.12468173953807725,0.7574037503584644,1501
90,m2_context_gate,B,0.3599128646039823,0.11130798628356578,0.7610132553908997,1499
90,m2_context_gate,overall,0.3765184227104105,0.11799932082857303,0.7587264246282492,3000
91,rolling_3,A,0.5419514749444173,0.17463156196221022,0.49882505853229675,1499
91,rolling_3,B,0.5333178487177971,0.16933783128345303,0.43202772030887243,1501
91,rolling_3,overall,0.5376317839556983,0.1719829320459387,0.4648591844854574,3000
91,expanding,A,0.35622544558986735,0.10990240050247153,0.722284228530412,1499
91,expanding,B,0.369397979285105,0.11466688435143473,0.6455485165704604,1501
91,expanding,overall,0.36281610328205127,0.1122862305882361,0.6851028842928236,3000
91,m1_global_mix,A,0.4148385754317229,0.13658074950354368,0.6072540687546694,1499
91,m1_global_mix,B,0.4220363090386597,0.13662412225558213,0.5345731529193707,1501
91,m1_global_mix,overall,0.41843984147972696,0.13660245033714694,0.5723559968469742,3000
91,m2_context_gate,A,0.38139658824917444,0.12122229427480137,0.6670978057297182,1499
91,m2_context_gate,B,0.3911106279089098,0.12332708302735969,0.594149990730193,1501
91,m2_context_gate,overall,0.3862568460922621,0.12227539024733138,0.6323533255471104,3000
92,rolling_3,A,0.5397844860485527,0.17056497537477575,0.47090833791270365,1504
92,rolling_3,B,0.5077615303199519,0.16170410560634993,0.39790966688790935,1496
92,rolling_3,overall,0.523815705458557,0.16614635498358743,0.4359180363824498,3000
92,expanding,A,0.38727938624832875,0.1216808059328327,0.6753681616163625,1504
92,expanding,B,0.35557037204762776,0.1093985622023391,0.6452216744198331,1496
92,expanding,overall,0.3714671578335792,0.11555606039255989,0.6600882096621574,3000
92,m1_global_mix,A,0.40455776037675345,0.12914272186463746,0.6286743575639412,1504
92,m1_global_mix,B,0.3770104726287177,0.1185816208334259,0.578594029566056,1496
92,m1_global_mix,overall,0.39082084621973295,0.12387625281707332,0.6038270580887761,3000
92,m2_context_gate,A,0.4075452772725221,0.130402836108465,0.6219908557968589,1504
92,m2_context_gate,B,0.3805070695090605,0.12011323606763699,0.572187593034551,1496
92,m2_context_gate,overall,0.39406222433447596,0.12527175555477207,0.5970964787238932,3000
93,rolling_3,A,0.5060463159269596,0.1576407735193777,0.5062166366253052,1496
93,rolling_3,B,0.55070304896145,0.17203863277761525,0.49547229114848484,1504
93,rolling_3,overall,0.5284342247549174,0.1648589002941741,0.498752368290771,3000
93,expanding,A,0.435796182636969,0.13972282721378676,0.5528195990064482,1496
93,expanding,B,0.44583474352608854,0.14479130075556948,0.5872736252686928,1504
